step,policy_name,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,exec_cost_raw,exec_cost_norm,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
1,known_map_greedy_viewpoint,SEARCH,"(1, 2)","(17, 23)","(1, 9)","(20, 25)",staleness,"(20, 25)",1750,1.0,1.0,anchor_viewpoint_ring,True,initial_plan|commit_expired|segment_empty,4,4,adaptive_knownmap_greedy,8,8,38,8,0.0,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,21,3.9485629456091114,1.1143289550049265,0.018018018018018018,0.1935483870967742,0.0,0,False,,0
2,known_map_greedy_viewpoint,SEARCH,"(1, 3)","(17, 23)","(1, 9)","(20, 25)",staleness,"(20, 25)",1750,1.0,1.0,anchor_viewpoint_ring,False,,3,4,adaptive_knownmap_greedy,7,8,38,8,0.125,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,22,3.933387827939792,1.1762543588442063,0.021396396396396396,0.16666666666666666,0.0,0,False,,0
3,known_map_greedy_viewpoint,SEARCH,"(1, 4)","(17, 23)","(1, 9)","(20, 25)",staleness,"(20, 25)",1750,1.0,1.0,anchor_viewpoint_ring,False,,2,4,adaptive_knownmap_greedy,6,8,38,8,0.25,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,23,3.9196639434150446,1.1849366471609957,0.024774774774774775,0.14634146341463414,0.0,0,False,,0
4,known_map_greedy_viewpoint,SEARCH,"(1, 5)","(17, 23)","(1, 9)","(20, 25)",staleness,"(20, 25)",1750,1.0,1.0,anchor_viewpoint_ring,False,,1,4,adaptive_knownmap_greedy,5,8,38,8,0.375,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,24,3.906542967304709,1.1975769562043512,0.028153153153153154,0.13333333333333333,0.0,0,False,,0
5,known_map_greedy_viewpoint,SEARCH,"(1, 6)","(17, 23)","(1, 9)","(20, 25)",staleness,"(20, 25)",1750,1.0,1.0,anchor_viewpoint_ring,False,,0,4,adaptive_knownmap_greedy,4,8,38,8,0.5,1,40.38954824531249,0.0,1.0426622086224386,0.0,0.0,0.0,9.05,0.0,0,0.007710525982072159,0.0,False,0.0,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,25,3.893708377110908,1.2001534545719736,0.03153153153153153,0.13043478260869565,0.0,0,False,,0
6,known_map_greedy_viewpoint,SEARCH,"(1, 7)","(17, 24)","(1, 14)","(20, 26)",staleness,"(20, 26)",1720,1.0,1.0,anchor_viewpoint_ring,True,commit_expired,4,4,adaptive_knownmap_greedy,8,8,34,8,0.625,2,40.38954824531249,0.0,1.1780981159546977,0.0,0.0,0.0,9.05,0.0,0,0.3030351497716417,0.6475,True,0.2,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,26,3.880979890364003,1.2042672545514974,0.03490990990990991,0.13043478260869565,0.0,0,False,,0
7,known_map_greedy_viewpoint,SEARCH,"(1, 8)","(17, 24)","(1, 14)","(20, 26)",staleness,"(20, 26)",1720,1.0,1.0,anchor_viewpoint_ring,False,,3,4,adaptive_knownmap_greedy,7,8,34,8,0.125,2,40.38954824531249,0.0,1.1780981159546977,0.0,0.0,0.0,9.05,0.0,0,0.3030351497716417,0.6475,True,0.2,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,27,3.868286059249753,1.206037137373883,0.038288288288288286,0.13043478260869565,0.0,0,False,,0
8,known_map_greedy_viewpoint,SEARCH,"(1, 9)","(17, 24)","(1, 14)","(20, 26)",staleness,"(20, 26)",1720,1.0,1.0,anchor_viewpoint_ring,False,,2,4,adaptive_knownmap_greedy,6,8,34,8,0.25,2,40.38954824531249,0.0,1.1780981159546977,0.0,0.0,0.0,9.05,0.0,0,0.3030351497716417,0.6475,True,0.2,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,28,3.8556032851851665,1.2082957917779755,0.041666666666666664,0.13043478260869565,0.0,0,False,,0
9,known_map_greedy_viewpoint,SEARCH,"(1, 10)","(17, 24)","(1, 14)","(20, 26)",staleness,"(20, 26)",1720,1.0,1.0,anchor_viewpoint_ring,False,,1,4,adaptive_knownmap_greedy,5,8,34,8,0.375,2,40.38954824531249,0.0,1.1780981159546977,0.0,0.0,0.0,9.05,0.0,0,0.3030351497716417,0.6475,True,0.2,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,29,3.842924304614723,1.2100276394881,0.04504504504504504,0.13043478260869565,0.0,0,False,,0
10,known_map_greedy_viewpoint,SEARCH,"(1, 11)","(17, 24)","(1, 14)","(20, 26)",staleness,"(20, 26)",1720,1.0,1.0,anchor_viewpoint_ring,False,,0,4,adaptive_knownmap_greedy,4,8,34,8,0.5,2,40.38954824531249,0.0,1.1780981159546977,0.0,0.0,0.0,9.05,0.0,0,0.3030351497716417,0.6475,True,0.2,0.0,0.0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,False,0,30,3.8302471207654882,1.211983669381785,0.04842342342342342,0.13043478260869565,0.0,0,False,,0
