system_group,target_motion_mode,map_kind,method,lambda,n,success_all_found_mean,success_all_found_std,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,path_length_mean,path_length_std,duplicate_viewpoint_ratio_mean,duplicate_viewpoint_ratio_std,cross_region_assignment_ratio_mean,cross_region_assignment_ratio_std,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
single,random_walk,harbor_cove,anomaly,0.5,10.0,0.6,0.48989794855663565,30.2,8.874683092933518,135.33333333333334,45.84272631023983,0.8333333333333333,0.22360679774997896,2.5,0.6708203932499369,0.6764076576576576,0.14968564246493793,177.2,62.37114717559715,,,,,0.3330551199746246,0.2652394946470536,0.05867464676267403,0.008719010086808669
single,random_walk,harbor_cove,anomaly,0.75,10.0,0.5,0.5,31.1,8.5492689745966,139.4,47.72253136622155,0.8,0.22110831935702666,2.4,0.66332495807108,0.6800112612612612,0.14938118244414741,189.7,60.5707024889096,,,,,0.3049301199746246,0.1998886706249181,0.060887560552362864,0.013021334782348938
single,random_walk,harbor_cove,anomaly,1.0,10.0,0.5,0.5,31.1,8.5492689745966,130.4,50.586954840156174,0.8,0.22110831935702666,2.4,0.66332495807108,0.6742680180180181,0.1652254328430863,185.2,65.44127138129271,,,,,0.3049301199746246,0.1998886706249181,0.061579531987624524,0.013660193730904026
single,random_walk,harbor_cove,anomaly,1.25,10.0,0.7,0.45825756949558405,31.1,8.5492689745966,140.42857142857142,45.09626890761313,0.8666666666666666,0.22110831935702666,2.6,0.66332495807108,0.6590653153153154,0.15582168793375686,170.3,59.208192000769614,,,,,0.3049301199746246,0.1998886706249181,0.06216366929729065,0.01419731903151836
single,random_walk,harbor_cove,ucb,,10.0,0.7,0.45825756949558405,30.3,8.933644273195569,158.71428571428572,59.26626186894503,0.8999999999999998,0.1527525231651947,2.7,0.45825756949558405,0.6809121621621622,0.14241690416932345,183.1,62.0184649922908,,,,,0.335436072355577,0.2636234156440722,0.0601294696689206,0.009977035003609469
single,random_walk,open_water,anomaly,0.5,10.0,0.7,0.45825756949558405,61.4,37.879281936171914,116.42857142857143,40.39397813273354,0.8333333333333333,0.26874192494328497,2.5,0.806225774829855,0.5439201451905625,0.17889731871875758,153.5,65.94581108758918,,,,,0.2279618321504972,0.1542824339263896,0.04782173583097381,0.001910051890061812
single,random_walk,open_water,anomaly,0.75,10.0,0.6,0.48989794855663565,56.2,32.73163607276605,103.0,35.2845575287547,0.7999999999999999,0.2666666666666667,2.4,0.8,0.5470054446460979,0.20210936110563715,157.8,72.46764795410432,,,,,0.2613666569853423,0.13275193067511123,0.049167909960177246,0.0028648811800850837
single,random_walk,open_water,anomaly,1.0,10.0,0.6,0.48989794855663565,50.5,21.592822881689184,119.16666666666667,47.512863755221304,0.8333333333333333,0.223606797749979,2.5,0.6708203932499369,0.5768602540834846,0.21296059242384277,167.5,69.70401710088164,,,,,0.2842663906492997,0.14245436661747232,0.050271344252646157,0.00407389053855309
single,random_walk,open_water,anomaly,1.25,10.0,0.9,0.30000000000000004,56.9,32.540590037674484,148.22222222222223,58.08954348011692,0.9666666666666666,0.1,2.9,0.3,0.5518148820326678,0.1868113184843766,157.4,61.60389598069265,,,,,0.27004916770996723,0.14005739734673217,0.05064415644854305,0.004361296574342406
single,random_walk,open_water,ucb,,10.0,0.7,0.45825756949558405,55.666666666666664,34.7115094585195,156.57142857142858,51.27198383650287,0.8333333333333333,0.3073181485764296,2.5,0.9219544457292888,0.6416969147005445,0.1602445578969177,181.6,57.46163937793631,,,,,0.27189007866571513,0.1721371004065852,0.04975254707799879,0.0024976246706133517
