system_group,target_motion_mode,method,lambda,n,success_all_found_mean,success_all_found_std,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,path_length_mean,path_length_std,duplicate_viewpoint_ratio_mean,duplicate_viewpoint_ratio_std,cross_region_assignment_ratio_mean,cross_region_assignment_ratio_std,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
single,random_walk,anomaly,0.5,30.0,0.6333333333333333,0.48189440982669857,49.36666666666667,36.46960682845679,146.21052631578948,51.033094471156055,0.8444444444444446,0.22333056935824208,2.533333333333333,0.6699917080747262,0.639420206461896,0.15534129786553327,180.6,60.763256441153096,,,,,0.2582110708837758,0.20050862795906696,0.052612966435515565,0.00723219125886573
single,random_walk,anomaly,0.75,30.0,0.5333333333333333,0.498887651569859,46.0,25.760434778939583,138.4375,51.18467635679647,0.8111111111111112,0.2224998266055643,2.433333333333333,0.6674994798166929,0.6496257236745461,0.17600460094662815,185.83333333333334,62.9645844017801,,,,,0.2720291443901241,0.16290386464081527,0.054236014615979475,0.009735397843980925
single,random_walk,anomaly,1.0,30.0,0.5333333333333333,0.498887651569859,45.4,24.649002684354862,140.4375,51.129698744956436,0.8222222222222224,0.2060804110110156,2.466666666666667,0.6182412330330471,0.6614872018116119,0.1805784766093222,186.9,62.14035189257729,,,,,0.2647363221161514,0.1705805319165697,0.05495158284777691,0.009989131742131112
single,random_walk,anomaly,1.25,30.0,0.7,0.458257569495584,46.9,29.046342282635177,152.57142857142858,52.57608675014891,0.8888888888888891,0.17916128329552333,2.6666666666666665,0.53748384988657,0.6506034766353743,0.17810766349039617,178.8,59.499243692672266,,,,,0.2578353574058561,0.17438971646796741,0.05541719964846805,0.010382723899239598
single,random_walk,ucb,,30.0,0.6333333333333333,0.4818944098266986,45.96551724137931,30.542771319984624,165.68421052631578,51.974743493535755,0.8555555555555557,0.2224998266055643,2.566666666666667,0.6674994798166927,0.6898102607630211,0.13912250432505574,192.93333333333334,54.71193247871579,,,,,0.27610810994401763,0.20406689162069602,0.053907056051981955,0.007889539300646033
single,static,anomaly,0.5,30.0,0.6,0.4898979485566357,45.333333333333336,23.046812264509718,150.77777777777777,47.58682772406148,0.8555555555555556,0.1862561623804468,2.566666666666667,0.5587684871413403,0.6309953617885815,0.12362733737555605,186.46666666666667,57.1773459412807,,,,,0.29743499935207685,0.17681675592737914,0.05311296231497082,0.00810835229283624
single,static,anomaly,0.75,30.0,0.43333333333333335,0.49553562491061676,45.46666666666667,22.913945292962733,147.3846153846154,53.879550083123036,0.7777777777777779,0.21659542988464367,2.3333333333333335,0.6497862896539309,0.6513665934008969,0.13408474417799093,199.86666666666667,58.002145554185226,,,,,0.29557866475838596,0.18073931028406673,0.053808745378145624,0.0083234520076189
single,static,anomaly,1.0,30.0,0.5333333333333333,0.49888765156985887,45.4,22.72678302502725,157.0625,52.604026402453265,0.8222222222222224,0.2060804110110156,2.466666666666667,0.618241233033047,0.6379422020572888,0.12658659589622848,195.76666666666668,56.461009161682156,,,,,0.2928576863105414,0.17887342764613193,0.05438481651980682,0.008418207494711562
single,static,anomaly,1.25,30.0,0.4666666666666667,0.498887651569859,45.6,22.894832022387355,131.5,48.07100403123933,0.8111111111111113,0.18625616238044676,2.433333333333333,0.5587684871413403,0.6192902202417673,0.13243593405923296,189.36666666666667,63.311654184325,,,,,0.2964100726036045,0.1851618815020076,0.05500653906581055,0.008749573054532809
single,static,ucb,,30.0,0.5333333333333333,0.4988876515698589,45.6,21.685017869487677,158.6875,37.067031763414775,0.8,0.23726840560069584,2.4,0.7118052168020874,0.63720675752146,0.11946826642308157,196.63333333333333,48.76848937126878,,,,,0.2868970650631186,0.18663482305067794,0.05445351770893518,0.009567567224684907
two_coordinated,random_walk,anomaly,0.5,30.0,0.6666666666666666,0.4714045207910316,62.333333333333336,47.62025712749657,150.7,62.2664436113064,0.8555555555555556,0.22249982660556428,2.566666666666667,0.6674994798166929,0.6849206226433862,0.19295984889392492,,,0.0,0.0,0.04031577937211154,0.04118012829918844,0.26008147095441586,0.09139125395810355,0.028755347492639593,0.007121499773636883
two_coordinated,random_walk,anomaly,0.75,30.0,0.5,0.5,61.41379310344828,52.49270375663013,151.2,43.592354069645445,0.7666666666666668,0.2741991706500682,2.3,0.8225975119502046,0.7343386942422491,0.14393248443000967,,,0.0,0.0,0.032776020665359167,0.033460242697599,0.2628566293769728,0.09706474565070042,0.028928653065073487,0.007599505930584948
two_coordinated,random_walk,anomaly,1.0,30.0,0.7666666666666667,0.4229525846816507,62.3,52.67076988235505,165.04347826086956,54.446206607886445,0.9,0.1953155092360772,2.7,0.5859465277082315,0.6911020083250895,0.1665097025567906,,,0.0,0.0,0.040371014518603504,0.04203435390911318,0.27833504449912494,0.11129662096194402,0.02916146223200802,0.006436428755445019
two_coordinated,random_walk,anomaly,1.25,30.0,0.7333333333333333,0.44221663871405337,64.83333333333333,55.93930242285432,155.3181818181818,51.93998841638506,0.8888888888888888,0.19876159799998128,2.6666666666666665,0.596284793999944,0.6845686032990455,0.17313504981272246,,,0.0,0.0,0.026567647684526748,0.03745098958271007,0.2770793187492605,0.10997953197410576,0.02939288658429273,0.006739177462763125
