system_group,target_motion_mode,map_kind,method,q,n,success_all_found_mean,time_to_first_detection_mean,time_to_all_found_mean,detection_rate_mean,found_count_mean,known_free_observation_ratio_final_mean,path_length_mean,duplicate_viewpoint_ratio_mean,cross_region_assignment_ratio_mean
single,random_walk,harbor_cove,anomaly,0.8,10,0.4,30.2,110.0,0.7666666666666667,2.3,0.6934684684684685,188.0,,
single,random_walk,harbor_cove,anomaly,0.85,10,0.6,30.2,140.33333333333334,0.8333333333333333,2.5,0.6606418918918918,180.2,,
single,random_walk,harbor_cove,anomaly,0.9,10,0.5,31.1,130.4,0.8,2.4,0.6742680180180181,185.2,,
single,random_walk,harbor_cove,anomaly,0.95,10,0.6,30.2,138.16666666666666,0.8666666666666666,2.6,0.6807995495495496,178.9,,
single,random_walk,harbor_cove,ucb,,10,0.7,30.3,158.71428571428572,0.8999999999999998,2.7,0.6809121621621622,183.1,,
single,random_walk,open_water,anomaly,0.8,10,0.8,48.4,149.125,0.9333333333333332,2.8,0.592513611615245,167.3,,
single,random_walk,open_water,anomaly,0.85,10,0.8,48.6,137.375,0.9333333333333332,2.8,0.5549455535390201,157.9,,
single,random_walk,open_water,anomaly,0.9,10,0.6,50.5,119.16666666666667,0.8333333333333333,2.5,0.5768602540834846,167.5,,
single,random_walk,open_water,anomaly,0.95,10,0.6,52.3,113.0,0.8333333333333333,2.5,0.5474591651542651,163.8,,
single,random_walk,open_water,ucb,,10,0.7,55.666666666666664,156.57142857142858,0.8333333333333333,2.5,0.6416969147005445,181.6,,
single,random_walk,peninsula_passage,anomaly,0.8,10,0.6,55.3,180.66666666666666,0.8666666666666666,2.6,0.6981395348837209,204.4,,
single,random_walk,peninsula_passage,anomaly,0.85,10,0.6,54.5,188.33333333333334,0.8666666666666666,2.6,0.7318863049095607,209.0,,
single,random_walk,peninsula_passage,anomaly,0.9,10,0.5,54.6,176.0,0.8333333333333333,2.5,0.7333333333333334,208.0,,
single,random_walk,peninsula_passage,anomaly,0.95,10,0.6,50.6,176.16666666666666,0.8666666666666666,2.6,0.7094573643410852,201.7,,
single,random_walk,peninsula_passage,ucb,,10,0.5,52.9,188.2,0.8333333333333333,2.5,0.7468217054263566,214.1,,
single,static,harbor_cove,anomaly,0.8,10,0.6,31.3,120.33333333333333,0.8666666666666666,2.6,0.6439752252252252,168.2,,
single,static,harbor_cove,anomaly,0.85,10,0.6,31.3,122.83333333333333,0.8666666666666666,2.6,0.642454954954955,169.7,,
single,static,harbor_cove,anomaly,0.9,10,0.5,31.3,108.8,0.8333333333333333,2.5,0.638795045045045,174.4,,
single,static,harbor_cove,anomaly,0.95,10,0.4,31.5,139.25,0.8,2.4,0.6872747747747747,199.7,,
single,static,harbor_cove,ucb,,10,0.4,31.8,140.0,0.7666666666666667,2.3,0.6413851351351351,200.0,,
single,static,open_water,anomaly,0.8,10,0.5,48.0,147.4,0.7999999999999999,2.4,0.6134301270417423,193.7,,
single,static,open_water,anomaly,0.85,10,0.6,48.0,160.16666666666666,0.8333333333333333,2.5,0.6174682395644284,192.1,,
single,static,open_water,anomaly,0.9,10,0.7,48.4,170.57142857142858,0.8666666666666666,2.6,0.6190108892921959,191.4,,
single,static,open_water,anomaly,0.95,10,0.9,47.9,149.0,0.9333333333333333,2.8,0.5504537205081669,158.1,,
single,static,open_water,ucb,,10,0.8,48.2,160.0,0.9,2.7,0.5661524500907441,176.0,,
single,static,peninsula_passage,anomaly,0.8,10,0.2,53.6,184.0,0.7,2.1,0.7050645994832042,228.8,,
single,static,peninsula_passage,anomaly,0.85,10,0.2,53.6,184.0,0.7,2.1,0.701343669250646,228.8,,
single,static,peninsula_passage,anomaly,0.9,10,0.4,56.5,193.75,0.7666666666666667,2.3,0.6560206718346253,221.5,,
single,static,peninsula_passage,anomaly,0.95,10,0.3,56.5,173.0,0.7333333333333334,2.2,0.674470284237726,219.9,,
single,static,peninsula_passage,ucb,,10,0.4,56.8,174.75,0.7333333333333333,2.2,0.7040826873385013,213.9,,
two_coordinated,random_walk,harbor_cove,anomaly,0.8,10,0.7,45.9,161.42857142857142,0.8333333333333334,2.5,0.7482182017543859,,0.0,0.01961436255220507
two_coordinated,random_walk,harbor_cove,anomaly,0.85,10,0.7,44.0,161.42857142857142,0.8333333333333334,2.5,0.7490679824561404,,0.0,0.0179476958855384
two_coordinated,random_walk,harbor_cove,anomaly,0.9,10,0.9,48.2,169.66666666666666,0.9333333333333332,2.8,0.728234649122807,,0.0,0.01860714952280182
two_coordinated,random_walk,harbor_cove,anomaly,0.95,10,0.7,47.3,156.0,0.8333333333333334,2.5,0.7332236842105263,,0.0,0.01019598155467718
two_coordinated,random_walk,harbor_cove,ucb,,10,0.6,53.1,159.16666666666666,0.8333333333333334,2.5,0.7740679824561403,,0.0,0.01423534798534797
two_coordinated,random_walk,open_water,anomaly,0.8,10,0.6,60.8,120.5,0.8,2.4,0.6303492484526967,,0.0,0.02002801962598173
two_coordinated,random_walk,open_water,anomaly,0.85,10,0.7,64.1,129.28571428571428,0.8666666666666666,2.6,0.6255968169761273,,0.0,0.024167213765175857
two_coordinated,random_walk,open_water,anomaly,0.9,10,0.7,58.4,125.0,0.8999999999999998,2.7,0.6014809902740937,,0.0,0.030929970317033713
two_coordinated,random_walk,open_water,anomaly,0.95,10,0.7,57.5,140.0,0.8666666666666666,2.6,0.6374889478337754,,0.0,0.03309707096222063
two_coordinated,random_walk,open_water,ucb,,10,0.6,64.8,164.33333333333334,0.8333333333333333,2.5,0.7234526967285587,,0.0,0.01754986187412799
two_coordinated,random_walk,peninsula_passage,anomaly,0.8,10,0.6,79.3,192.0,0.8333333333333333,2.5,0.7470455683525288,,0.0,0.04372765893024518
two_coordinated,random_walk,peninsula_passage,anomaly,0.85,10,0.6,79.3,192.5,0.7999999999999999,2.4,0.7482223335002505,,0.0,0.05301051149434773
two_coordinated,random_walk,peninsula_passage,anomaly,0.9,10,0.7,80.3,199.14285714285714,0.8666666666666666,2.6,0.7435903855783675,,0.0,0.07157592371597499
two_coordinated,random_walk,peninsula_passage,anomaly,0.95,10,0.5,70.44444444444444,169.6,0.7333333333333333,2.2,0.7402854281422133,,0.00125,0.05442633385619129
two_coordinated,random_walk,peninsula_passage,ucb,,10,0.6,65.5,156.16666666666666,0.8333333333333333,2.5,0.699248873309965,,0.0,0.0361648698409497
two_coordinated,static,harbor_cove,anomaly,0.8,10,0.4,88.8,164.25,0.7,2.1,0.7865405701754385,,0.0,0.03086227551258399
two_coordinated,static,harbor_cove,anomaly,0.85,10,0.4,66.5,165.75,0.7666666666666667,2.3,0.7711074561403509,,0.0,0.028133780888928074
two_coordinated,static,harbor_cove,anomaly,0.9,10,0.3,76.4,158.33333333333334,0.7333333333333333,2.2,0.7663651315789475,,0.0,0.023596194625610308
two_coordinated,static,harbor_cove,anomaly,0.95,10,0.4,57.1,110.25,0.7333333333333334,2.2,0.7099506578947369,,0.0,0.01900935374149658
two_coordinated,static,harbor_cove,ucb,,10,0.5,52.0,117.6,0.6666666666666667,2.0,0.6989309210526315,,0.00041666666666665997,0.013556338028169001
two_coordinated,static,open_water,anomaly,0.8,10,0.7,73.0,126.42857142857143,0.8666666666666666,2.6,0.5799071618037136,,0.0,0.03859124643704077
two_coordinated,static,open_water,anomaly,0.85,10,0.7,75.1,146.57142857142858,0.8666666666666666,2.6,0.607316534040672,,0.0,0.039520146241814366
two_coordinated,static,open_water,anomaly,0.9,10,0.6,72.4,143.5,0.8,2.4,0.6186118479221927,,0.0,0.03942058024719311
two_coordinated,static,open_water,anomaly,0.95,10,0.4,63.5,102.5,0.8,2.4,0.6419319186560566,,0.0,0.030479390681003547
two_coordinated,static,open_water,ucb,,10,0.7,65.2,161.42857142857142,0.9,2.7,0.63921308576481,,0.0,0.015446343879440268
two_coordinated,static,peninsula_passage,anomaly,0.8,10,0.6,69.7,185.66666666666666,0.8666666666666666,2.6,0.6856284426639959,,0.0,0.028994659664927848
two_coordinated,static,peninsula_passage,anomaly,0.85,10,0.6,60.77777777777778,183.0,0.7666666666666666,2.3,0.6689033550325487,,0.00041666666666665997,0.03145261073526424
two_coordinated,static,peninsula_passage,anomaly,0.9,10,0.6,60.55555555555556,178.16666666666666,0.7666666666666666,2.3,0.6821732598898348,,0.00041666666666665997,0.04257929269330585
two_coordinated,static,peninsula_passage,anomaly,0.95,10,0.7,73.4,194.0,0.8999999999999998,2.7,0.679694541812719,,0.0,0.02445263463456091
