conditional_run | group=two_usv_static | map=open_water | seed=0 | motion=static
conditional_run | group=two_usv_static | map=open_water | seed=1 | motion=static
conditional_run | group=two_usv_static | map=open_water | seed=2 | motion=static
conditional_run | group=two_usv_static | map=open_water | seed=3 | motion=static
conditional_run | group=two_usv_static | map=open_water | seed=4 | motion=static
conditional_run | group=two_usv_static | map=open_water | seed=5 | motion=static
conditional_run | group=two_usv_static | map=open_water | seed=6 | motion=static
conditional_run | group=two_usv_static | map=open_water | seed=7 | motion=static
conditional_run | group=two_usv_static | map=open_water | seed=8 | motion=static
conditional_run | group=two_usv_static | map=open_water | seed=9 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=0 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=1 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=2 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=3 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=4 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=5 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=6 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=7 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=8 | motion=static
conditional_run | group=two_usv_static | map=harbor_cove | seed=9 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=0 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=1 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=2 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=3 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=4 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=5 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=6 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=7 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=8 | motion=static
conditional_run | group=two_usv_static | map=peninsula_passage | seed=9 | motion=static
conditional_output_dir=F:\pythonprojects\baseline_GP\results\paper_parallel_run_20260501_190059\conditional_ucb_anomaly\two_usv_static
