map_kind,episode_seed,baseline_mode,challenger_mode,success_all_found_baseline,success_all_found_conditional,delta_success_all_found,time_to_first_detection_baseline,time_to_first_detection_conditional,delta_time_to_first_detection,time_to_all_found_baseline,time_to_all_found_conditional,delta_time_to_all_found,detection_rate_baseline,detection_rate_conditional,delta_detection_rate,found_count_baseline,found_count_conditional,delta_found_count,known_free_observation_ratio_final_baseline,known_free_observation_ratio_final_conditional,delta_known_free_observation_ratio_final,path_length_baseline,path_length_conditional,delta_path_length,path_length_total_baseline,path_length_total_conditional,delta_path_length_total,duplicate_viewpoint_ratio_baseline,duplicate_viewpoint_ratio_conditional,delta_duplicate_viewpoint_ratio,cross_region_assignment_ratio_baseline,cross_region_assignment_ratio_conditional,delta_cross_region_assignment_ratio,reservation_wait_fallback_count_baseline,reservation_wait_fallback_count_conditional,delta_reservation_wait_fallback_count,anomaly_conditional_alpha_mean_baseline,anomaly_conditional_alpha_mean_conditional,delta_anomaly_conditional_alpha_mean,anomaly_conditional_trigger_rate_baseline,anomaly_conditional_trigger_rate_conditional,delta_anomaly_conditional_trigger_rate
open_water,0,anomaly_upper_tail,ucb_anomaly_conditional,,True,,52.0,52.0,0.0,88.0,90.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,0.35390199637023595,0.3561705989110708,0.00226860254083483,88.0,90.0,2.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,1,anomaly_upper_tail,ucb_anomaly_conditional,,False,,61.0,61.0,0.0,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,2.0,1.0,0.7409255898366606,0.8448275862068966,0.103901996370236,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,2,anomaly_upper_tail,ucb_anomaly_conditional,,False,,64.0,64.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7672413793103449,0.7304900181488203,-0.036751361161524554,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,3,anomaly_upper_tail,ucb_anomaly_conditional,,True,,61.0,141.0,80.0,,214,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.8634301270417423,0.7781306715063521,-0.0852994555353902,240.0,214.0,-26.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,4,anomaly_upper_tail,ucb_anomaly_conditional,,True,,38.0,38.0,0.0,201.0,155.0,-46.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7078039927404719,0.574410163339383,-0.1333938294010889,201.0,155.0,-46.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,5,anomaly_upper_tail,ucb_anomaly_conditional,,True,,11.0,11.0,0.0,58.0,119.0,61.0,1.0,1.0,0.0,3.0,3.0,0.0,0.24863883847549909,0.5399274047186933,0.2912885662431942,58.0,119.0,61.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,6,anomaly_upper_tail,ucb_anomaly_conditional,,True,,22.0,27.0,5.0,160.0,183.0,23.0,1.0,1.0,0.0,3.0,3.0,0.0,0.46098003629764067,0.6297640653357531,0.16878402903811246,160.0,183.0,23.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,7,anomaly_upper_tail,ucb_anomaly_conditional,,True,,41.0,41.0,0.0,102.0,103.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.3911070780399274,0.4074410163339383,0.01633393829401092,102.0,103.0,1.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,8,anomaly_upper_tail,ucb_anomaly_conditional,,False,,68,,,,,,0.6666666666666666,0.0,-0.6666666666666666,2.0,0.0,-2.0,0.8203266787658802,0.7622504537205081,-0.05807622504537202,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,9,anomaly_upper_tail,ucb_anomaly_conditional,,True,,87.0,66.0,-21.0,106.0,232.0,126.0,1.0,1.0,0.0,3.0,3.0,0.0,0.41424682395644286,0.793557168784029,0.3793103448275862,106.0,232.0,126.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,0,anomaly_upper_tail,ucb_anomaly_conditional,,True,,22.0,22.0,0.0,,228,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.8682432432432432,0.7381756756756757,-0.13006756756756754,240.0,228.0,-12.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,1,anomaly_upper_tail,ucb_anomaly_conditional,,True,,38.0,38.0,0.0,,132,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.7657657657657657,0.6509009009009009,-0.1148648648648648,240.0,132.0,-108.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,2,anomaly_upper_tail,ucb_anomaly_conditional,,True,,35.0,35.0,0.0,207.0,137.0,-70.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7302927927927928,0.6593468468468469,-0.07094594594594594,207.0,137.0,-70.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,3,anomaly_upper_tail,ucb_anomaly_conditional,,True,,35.0,36.0,1.0,,234,,0.3333333333333333,1.0,0.6666666666666667,1.0,3.0,2.0,0.7961711711711712,0.731418918918919,-0.06475225225225223,240.0,234.0,-6.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,4,anomaly_upper_tail,ucb_anomaly_conditional,,True,,36.0,36.0,0.0,67.0,67.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.3490990990990991,0.3490990990990991,0.0,67.0,67.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,5,anomaly_upper_tail,ucb_anomaly_conditional,,True,,18.0,18.0,0.0,,204,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.7905405405405406,0.7240990990990991,-0.06644144144144148,240.0,204.0,-36.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,6,anomaly_upper_tail,ucb_anomaly_conditional,,False,,44.0,44.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8293918918918919,0.8333333333333334,0.0039414414414414845,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,7,anomaly_upper_tail,ucb_anomaly_conditional,,True,,34.0,34.0,0.0,86.0,109.0,23.0,1.0,1.0,0.0,3.0,3.0,0.0,0.4583333333333333,0.5332207207207207,0.07488738738738737,86.0,109.0,23.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,8,anomaly_upper_tail,ucb_anomaly_conditional,,False,,32.0,23.0,-9.0,131,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.589527027027027,0.7150900900900901,0.12556306306306309,131.0,240.0,109.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,9,anomaly_upper_tail,ucb_anomaly_conditional,,False,,17.0,17.0,0.0,161,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.5653153153153153,0.8744369369369369,0.3091216216216216,161.0,240.0,79.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,0,anomaly_upper_tail,ucb_anomaly_conditional,,True,,63.0,67.0,4.0,179.0,162.0,-17.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7260981912144703,0.7188630490956073,-0.007235142118863003,179.0,162.0,-17.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,1,anomaly_upper_tail,ucb_anomaly_conditional,,True,,30.0,30.0,0.0,154.0,154.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5953488372093023,0.6082687338501293,0.012919896640826933,154.0,154.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,2,anomaly_upper_tail,ucb_anomaly_conditional,,True,,65.0,64.0,-1.0,178.0,221.0,43.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7204134366925065,0.7850129198966408,0.06459948320413433,178.0,221.0,43.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,3,anomaly_upper_tail,ucb_anomaly_conditional,,False,,57.0,57.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7772609819121447,0.8873385012919897,0.110077519379845,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,4,anomaly_upper_tail,ucb_anomaly_conditional,,False,,25.0,34.0,9.0,133,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.5229974160206718,0.8630490956072352,0.34005167958656335,133.0,240.0,107.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,5,anomaly_upper_tail,ucb_anomaly_conditional,,False,,45.0,45.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7844961240310078,0.7271317829457364,-0.05736434108527133,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,6,anomaly_upper_tail,ucb_anomaly_conditional,,False,,78.0,34.0,-44.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8780361757105943,0.7545219638242894,-0.12351421188630496,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,7,anomaly_upper_tail,ucb_anomaly_conditional,,True,,19.0,19.0,0.0,,230,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.7080103359173127,0.7266149870801034,0.018604651162790753,240.0,230.0,-10.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,8,anomaly_upper_tail,ucb_anomaly_conditional,,False,,130.0,145.0,15.0,236,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.9229974160206719,0.7457364341085271,-0.1772609819121448,236.0,240.0,4.0,,,,,,,,,,,,,,0.0,,,0.0,
peninsula_passage,9,anomaly_upper_tail,ucb_anomaly_conditional,,True,,34.0,34.0,0.0,,174,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.6976744186046512,0.6516795865633075,-0.04599483204134369,240.0,174.0,-66.0,,,,,,,,,,,,,,0.0,,,0.0,
