map_kind,episode_seed,baseline_mode,challenger_mode,success_all_found_baseline,success_all_found_conditional,delta_success_all_found,time_to_first_detection_baseline,time_to_first_detection_conditional,delta_time_to_first_detection,time_to_all_found_baseline,time_to_all_found_conditional,delta_time_to_all_found,detection_rate_baseline,detection_rate_conditional,delta_detection_rate,found_count_baseline,found_count_conditional,delta_found_count,known_free_observation_ratio_final_baseline,known_free_observation_ratio_final_conditional,delta_known_free_observation_ratio_final,path_length_baseline,path_length_conditional,delta_path_length,path_length_total_baseline,path_length_total_conditional,delta_path_length_total,duplicate_viewpoint_ratio_baseline,duplicate_viewpoint_ratio_conditional,delta_duplicate_viewpoint_ratio,cross_region_assignment_ratio_baseline,cross_region_assignment_ratio_conditional,delta_cross_region_assignment_ratio,reservation_wait_fallback_count_baseline,reservation_wait_fallback_count_conditional,delta_reservation_wait_fallback_count,anomaly_conditional_alpha_mean_baseline,anomaly_conditional_alpha_mean_conditional,delta_anomaly_conditional_alpha_mean,anomaly_conditional_trigger_rate_baseline,anomaly_conditional_trigger_rate_conditional,delta_anomaly_conditional_trigger_rate
open_water,0,ucb,ucb_anomaly_conditional,,True,,52.0,52.0,0.0,90.0,90.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.3561705989110708,0.3561705989110708,0.0,90.0,90.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,1,ucb,ucb_anomaly_conditional,,False,,61.0,61.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8448275862068966,0.8448275862068966,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,2,ucb,ucb_anomaly_conditional,,False,,64.0,64.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7304900181488203,0.7304900181488203,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,3,ucb,ucb_anomaly_conditional,,True,,141.0,141.0,0.0,214.0,214.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7781306715063521,0.7781306715063521,0.0,214.0,214.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,4,ucb,ucb_anomaly_conditional,,True,,38.0,38.0,0.0,155.0,155.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.574410163339383,0.574410163339383,0.0,155.0,155.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,5,ucb,ucb_anomaly_conditional,,True,,11.0,11.0,0.0,119.0,119.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5399274047186933,0.5399274047186933,0.0,119.0,119.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,6,ucb,ucb_anomaly_conditional,,True,,27.0,27.0,0.0,183.0,183.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6297640653357531,0.6297640653357531,0.0,183.0,183.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,7,ucb,ucb_anomaly_conditional,,True,,41.0,41.0,0.0,103.0,103.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.4074410163339383,0.4074410163339383,0.0,103.0,103.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,8,ucb,ucb_anomaly_conditional,,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.7622504537205081,0.7622504537205081,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,9,ucb,ucb_anomaly_conditional,,True,,66.0,66.0,0.0,232.0,232.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.793557168784029,0.793557168784029,0.0,232.0,232.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,0,ucb,ucb_anomaly_conditional,,True,,22.0,22.0,0.0,228.0,228.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7381756756756757,0.7381756756756757,0.0,228.0,228.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,1,ucb,ucb_anomaly_conditional,,True,,38.0,38.0,0.0,132.0,132.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6509009009009009,0.6509009009009009,0.0,132.0,132.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,2,ucb,ucb_anomaly_conditional,,True,,35.0,35.0,0.0,137.0,137.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6593468468468469,0.6593468468468469,0.0,137.0,137.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,3,ucb,ucb_anomaly_conditional,,True,,36.0,36.0,0.0,234.0,234.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.731418918918919,0.731418918918919,0.0,234.0,234.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,4,ucb,ucb_anomaly_conditional,,True,,36.0,36.0,0.0,67.0,67.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.3490990990990991,0.3490990990990991,0.0,67.0,67.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
