map_kind,episode_seed,baseline_mode,challenger_mode,success_all_found_baseline,success_all_found_conditional,delta_success_all_found,time_to_first_detection_baseline,time_to_first_detection_conditional,delta_time_to_first_detection,time_to_all_found_baseline,time_to_all_found_conditional,delta_time_to_all_found,detection_rate_baseline,detection_rate_conditional,delta_detection_rate,found_count_baseline,found_count_conditional,delta_found_count,known_free_observation_ratio_final_baseline,known_free_observation_ratio_final_conditional,delta_known_free_observation_ratio_final,path_length_baseline,path_length_conditional,delta_path_length,path_length_total_baseline,path_length_total_conditional,delta_path_length_total,duplicate_viewpoint_ratio_baseline,duplicate_viewpoint_ratio_conditional,delta_duplicate_viewpoint_ratio,cross_region_assignment_ratio_baseline,cross_region_assignment_ratio_conditional,delta_cross_region_assignment_ratio,reservation_wait_fallback_count_baseline,reservation_wait_fallback_count_conditional,delta_reservation_wait_fallback_count,anomaly_conditional_alpha_mean_baseline,anomaly_conditional_alpha_mean_conditional,delta_anomaly_conditional_alpha_mean,anomaly_conditional_trigger_rate_baseline,anomaly_conditional_trigger_rate_conditional,delta_anomaly_conditional_trigger_rate
open_water,0,anomaly_upper_tail,ucb_anomaly_conditional,,True,,62.0,62.0,0.0,90.0,120.0,30.0,1.0,1.0,0.0,3.0,3.0,0.0,0.37477313974591653,0.47005444646098005,0.09528130671506352,90.0,120.0,30.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,1,anomaly_upper_tail,ucb_anomaly_conditional,,True,,63.0,62.0,-1.0,212.0,128.0,-84.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6828493647912885,0.5204174228675136,-0.16243194192377497,212.0,128.0,-84.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,2,anomaly_upper_tail,ucb_anomaly_conditional,,True,,60.0,65.0,5.0,217.0,198.0,-19.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7277676950998185,0.5612522686025408,-0.16651542649727769,217.0,198.0,-19.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,3,anomaly_upper_tail,ucb_anomaly_conditional,,True,,45.0,45.0,0.0,,216,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.8039927404718693,0.7917422867513612,-0.012250453720508148,240.0,216.0,-24.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,4,anomaly_upper_tail,ucb_anomaly_conditional,,True,,36.0,37.0,1.0,,219,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.603448275862069,0.6588021778584392,0.05535390199637025,240.0,219.0,-21.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,5,anomaly_upper_tail,ucb_anomaly_conditional,,True,,12.0,12.0,0.0,197.0,127.0,-70.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6152450090744102,0.470961887477314,-0.14428312159709616,197.0,127.0,-70.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,6,anomaly_upper_tail,ucb_anomaly_conditional,,True,,43.0,44.0,1.0,176.0,157.0,-19.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6025408348457351,0.5226860254083484,-0.07985480943738665,176.0,157.0,-19.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,7,anomaly_upper_tail,ucb_anomaly_conditional,,True,,42.0,42.0,0.0,89.0,115.0,26.0,1.0,1.0,0.0,3.0,3.0,0.0,0.367967332123412,0.45462794918330307,0.08666061705989109,89.0,115.0,26.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,8,anomaly_upper_tail,ucb_anomaly_conditional,,False,,69.0,61.0,-8.0,,,,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.7409255898366606,0.6637931034482759,-0.07713248638838466,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,9,anomaly_upper_tail,ucb_anomaly_conditional,,False,,52.0,52.0,0.0,213,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.6705989110707804,0.5471869328493648,-0.12341197822141559,213.0,240.0,27.0,,,,,,,,,,,,,,0.0,,,0.0,
