map_kind,episode_seed,baseline_mode,challenger_mode,success_all_found_baseline,success_all_found_conditional,delta_success_all_found,time_to_first_detection_baseline,time_to_first_detection_conditional,delta_time_to_first_detection,time_to_all_found_baseline,time_to_all_found_conditional,delta_time_to_all_found,detection_rate_baseline,detection_rate_conditional,delta_detection_rate,found_count_baseline,found_count_conditional,delta_found_count,known_free_observation_ratio_final_baseline,known_free_observation_ratio_final_conditional,delta_known_free_observation_ratio_final,path_length_baseline,path_length_conditional,delta_path_length,path_length_total_baseline,path_length_total_conditional,delta_path_length_total,duplicate_viewpoint_ratio_baseline,duplicate_viewpoint_ratio_conditional,delta_duplicate_viewpoint_ratio,cross_region_assignment_ratio_baseline,cross_region_assignment_ratio_conditional,delta_cross_region_assignment_ratio,reservation_wait_fallback_count_baseline,reservation_wait_fallback_count_conditional,delta_reservation_wait_fallback_count,anomaly_conditional_alpha_mean_baseline,anomaly_conditional_alpha_mean_conditional,delta_anomaly_conditional_alpha_mean,anomaly_conditional_trigger_rate_baseline,anomaly_conditional_trigger_rate_conditional,delta_anomaly_conditional_trigger_rate
open_water,0,ucb,ucb_anomaly_conditional,,True,,62.0,62.0,0.0,120.0,120.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.47005444646098005,0.47005444646098005,0.0,120.0,120.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,1,ucb,ucb_anomaly_conditional,,True,,62.0,62.0,0.0,128.0,128.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5204174228675136,0.5204174228675136,0.0,128.0,128.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,2,ucb,ucb_anomaly_conditional,,True,,65.0,65.0,0.0,198.0,198.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5612522686025408,0.5612522686025408,0.0,198.0,198.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,3,ucb,ucb_anomaly_conditional,,True,,45.0,45.0,0.0,216.0,216.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7917422867513612,0.7917422867513612,0.0,216.0,216.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,4,ucb,ucb_anomaly_conditional,,True,,37.0,37.0,0.0,219.0,219.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6588021778584392,0.6588021778584392,0.0,219.0,219.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,5,ucb,ucb_anomaly_conditional,,True,,12.0,12.0,0.0,127.0,127.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.470961887477314,0.470961887477314,0.0,127.0,127.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,6,ucb,ucb_anomaly_conditional,,True,,44.0,44.0,0.0,157.0,157.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5226860254083484,0.5226860254083484,0.0,157.0,157.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,7,ucb,ucb_anomaly_conditional,,True,,42.0,42.0,0.0,115.0,115.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.45462794918330307,0.45462794918330307,0.0,115.0,115.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,8,ucb,ucb_anomaly_conditional,,False,,61.0,61.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.6637931034482759,0.6637931034482759,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
open_water,9,ucb,ucb_anomaly_conditional,,False,,52.0,52.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.5471869328493648,0.5471869328493648,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,0,ucb,ucb_anomaly_conditional,,True,,35.0,35.0,0.0,170.0,170.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6413288288288288,0.6413288288288288,0.0,170.0,170.0,0.0,,,,,,,,,,,,,,0.011764705882352941,,,0.029411764705882353,
harbor_cove,1,ucb,ucb_anomaly_conditional,,False,,37.0,37.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.6807432432432432,0.6807432432432432,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,2,ucb,ucb_anomaly_conditional,,False,,38.0,38.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.6097972972972973,0.6097972972972973,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,3,ucb,ucb_anomaly_conditional,,True,,37.0,37.0,0.0,137.0,137.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5726351351351351,0.5726351351351351,0.0,137.0,137.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,4,ucb,ucb_anomaly_conditional,,False,,39.0,39.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.7421171171171171,0.7421171171171171,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,5,ucb,ucb_anomaly_conditional,,True,,19.0,19.0,0.0,147.0,147.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5670045045045045,0.5670045045045045,0.0,147.0,147.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,6,ucb,ucb_anomaly_conditional,,False,,44.0,44.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7606981981981982,0.7606981981981982,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,7,ucb,ucb_anomaly_conditional,,False,,39.0,39.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.6796171171171171,0.6796171171171171,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,8,ucb,ucb_anomaly_conditional,,False,,12.0,12.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.6891891891891891,0.6891891891891891,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
harbor_cove,9,ucb,ucb_anomaly_conditional,,True,,18.0,18.0,0.0,106.0,106.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.47072072072072074,0.47072072072072074,0.0,106.0,106.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,
