map_kind,episode_seed,baseline_mode,challenger_mode,success_all_found_baseline,success_all_found_conditional,delta_success_all_found,time_to_first_detection_baseline,time_to_first_detection_conditional,delta_time_to_first_detection,time_to_all_found_baseline,time_to_all_found_conditional,delta_time_to_all_found,detection_rate_baseline,detection_rate_conditional,delta_detection_rate,found_count_baseline,found_count_conditional,delta_found_count,known_free_observation_ratio_final_baseline,known_free_observation_ratio_final_conditional,delta_known_free_observation_ratio_final,path_length_baseline,path_length_conditional,delta_path_length,path_length_total_baseline,path_length_total_conditional,delta_path_length_total,duplicate_viewpoint_ratio_baseline,duplicate_viewpoint_ratio_conditional,delta_duplicate_viewpoint_ratio,cross_region_assignment_ratio_baseline,cross_region_assignment_ratio_conditional,delta_cross_region_assignment_ratio,reservation_wait_fallback_count_baseline,reservation_wait_fallback_count_conditional,delta_reservation_wait_fallback_count,anomaly_conditional_alpha_mean_baseline,anomaly_conditional_alpha_mean_conditional,delta_anomaly_conditional_alpha_mean,anomaly_conditional_trigger_rate_baseline,anomaly_conditional_trigger_rate_conditional,delta_anomaly_conditional_trigger_rate
open_water,0,anomaly_upper_tail,ucb_anomaly_conditional,,False,,11.0,11.0,0.0,85,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.41732979664014147,0.832449160035367,0.4151193633952255,,,,,480,,0.0,0.0,0.0,0.0058823529411764705,0.0,-0.0058823529411764705,0.0,0.0,0.0,,0.0,,,0.0,
open_water,1,anomaly_upper_tail,ucb_anomaly_conditional,,True,,21.0,21.0,0.0,230.0,232.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,0.812555260831123,0.8236074270557029,0.01105216622457994,,,,,464,,0.0,0.0,0.0,0.04782608695652174,0.017241379310344827,-0.030584707646176913,0.0,0.0,0.0,,0.0,,,0.0,
open_water,2,anomaly_upper_tail,ucb_anomaly_conditional,,True,,79.0,80.0,1.0,,173,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.7961980548187445,0.7130857648099027,-0.0831122900088418,,,,,346,,0.0,0.0,0.0,0.014583333333333334,0.0,-0.014583333333333334,0.0,0.0,0.0,,0.0,,,0.0,
open_water,3,anomaly_upper_tail,ucb_anomaly_conditional,,False,,169.0,171.0,2.0,,,,0.6666666666666666,0.3333333333333333,-0.3333333333333333,2.0,1.0,-1.0,0.8388594164456233,0.7891246684350133,-0.049734748010610064,,,,,480,,0.0,0.0,0.0,0.09375,0.0375,-0.05625,0.0,0.0,0.0,,0.0,,,0.0,
open_water,4,anomaly_upper_tail,ucb_anomaly_conditional,,False,,137.0,158.0,21.0,188,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.7183908045977011,0.8366489832007074,0.11825817860300625,,,,,480,,0.0,0.0,0.0,0.0026595744680851063,0.0,-0.0026595744680851063,0.0,0.0,0.0,,0.0,,,0.0,
open_water,5,anomaly_upper_tail,ucb_anomaly_conditional,,True,,44.0,71.0,27.0,102.0,159.0,57.0,1.0,1.0,0.0,3.0,3.0,0.0,0.4666224580017683,0.6456675508399646,0.1790450928381963,,,,,318,,0.0,0.0,0.0,0.0,0.03773584905660377,0.03773584905660377,0.0,0.0,0.0,,0.0,,,0.0,
open_water,6,anomaly_upper_tail,ucb_anomaly_conditional,,False,,21.0,44.0,23.0,93,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.3775419982316534,0.8868258178603006,0.5092838196286471,,,,,480,,0.0,0.0,0.0,0.06989247311827956,0.008333333333333333,-0.06155913978494623,0.0,0.0,0.0,,0.0,,,0.0,
open_water,7,anomaly_upper_tail,ucb_anomaly_conditional,,True,,43.0,43.0,0.0,75.0,75.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.371131741821397,0.3713527851458886,0.0002210433244915766,,,,,150,,0.0,0.0,0.0,0.06,0.06666666666666667,0.006666666666666668,0.0,0.0,0.0,,0.0,,,0.0,
open_water,8,anomaly_upper_tail,ucb_anomaly_conditional,,True,,20.0,20.0,0.0,102.0,187.0,85.0,1.0,1.0,0.0,3.0,3.0,0.0,0.44297082228116713,0.6710875331564987,0.22811671087533159,,,,,374,,0.0,0.0,0.0,0.014705882352941176,0.008021390374331552,-0.006684491978609625,0.0,0.0,0.0,,0.0,,,0.0,
open_water,9,anomaly_upper_tail,ucb_anomaly_conditional,,True,,39.0,29.0,-10.0,,160,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.773209549071618,0.6646772767462422,-0.10853227232537577,,,,,320,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
