map_kind,episode_seed,baseline_mode,challenger_mode,success_all_found_baseline,success_all_found_conditional,delta_success_all_found,time_to_first_detection_baseline,time_to_first_detection_conditional,delta_time_to_first_detection,time_to_all_found_baseline,time_to_all_found_conditional,delta_time_to_all_found,detection_rate_baseline,detection_rate_conditional,delta_detection_rate,found_count_baseline,found_count_conditional,delta_found_count,known_free_observation_ratio_final_baseline,known_free_observation_ratio_final_conditional,delta_known_free_observation_ratio_final,path_length_baseline,path_length_conditional,delta_path_length,path_length_total_baseline,path_length_total_conditional,delta_path_length_total,duplicate_viewpoint_ratio_baseline,duplicate_viewpoint_ratio_conditional,delta_duplicate_viewpoint_ratio,cross_region_assignment_ratio_baseline,cross_region_assignment_ratio_conditional,delta_cross_region_assignment_ratio,reservation_wait_fallback_count_baseline,reservation_wait_fallback_count_conditional,delta_reservation_wait_fallback_count,anomaly_conditional_alpha_mean_baseline,anomaly_conditional_alpha_mean_conditional,delta_anomaly_conditional_alpha_mean,anomaly_conditional_trigger_rate_baseline,anomaly_conditional_trigger_rate_conditional,delta_anomaly_conditional_trigger_rate
open_water,0,ucb,ucb_anomaly_conditional,,False,,11.0,11.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.832449160035367,0.832449160035367,0.0,,,,,480,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,1,ucb,ucb_anomaly_conditional,,True,,21.0,21.0,0.0,232.0,232.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8236074270557029,0.8236074270557029,0.0,,,,,464,,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,2,ucb,ucb_anomaly_conditional,,True,,80.0,80.0,0.0,173.0,173.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7130857648099027,0.7130857648099027,0.0,,,,,346,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,3,ucb,ucb_anomaly_conditional,,False,,171.0,171.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.7891246684350133,0.7891246684350133,0.0,,,,,480,,0.0,0.0,0.0,0.0375,0.0375,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,4,ucb,ucb_anomaly_conditional,,False,,158.0,158.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8366489832007074,0.8366489832007074,0.0,,,,,480,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,5,ucb,ucb_anomaly_conditional,,True,,71.0,71.0,0.0,159.0,159.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6456675508399646,0.6456675508399646,0.0,,,,,318,,0.0,0.0,0.0,0.03773584905660377,0.03773584905660377,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,6,ucb,ucb_anomaly_conditional,,False,,44.0,44.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8868258178603006,0.8868258178603006,0.0,,,,,480,,0.0,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,7,ucb,ucb_anomaly_conditional,,True,,43.0,43.0,0.0,75.0,75.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.3713527851458886,0.3713527851458886,0.0,,,,,150,,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,8,ucb,ucb_anomaly_conditional,,True,,20.0,20.0,0.0,187.0,187.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6710875331564987,0.6710875331564987,0.0,,,,,374,,0.0,0.0,0.0,0.008021390374331552,0.008021390374331552,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,9,ucb,ucb_anomaly_conditional,,True,,29.0,29.0,0.0,160.0,160.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6646772767462422,0.6646772767462422,0.0,,,,,320,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
