map_kind,episode_seed,baseline_mode,challenger_mode,success_all_found_baseline,success_all_found_conditional,delta_success_all_found,time_to_first_detection_baseline,time_to_first_detection_conditional,delta_time_to_first_detection,time_to_all_found_baseline,time_to_all_found_conditional,delta_time_to_all_found,detection_rate_baseline,detection_rate_conditional,delta_detection_rate,found_count_baseline,found_count_conditional,delta_found_count,known_free_observation_ratio_final_baseline,known_free_observation_ratio_final_conditional,delta_known_free_observation_ratio_final,path_length_baseline,path_length_conditional,delta_path_length,path_length_total_baseline,path_length_total_conditional,delta_path_length_total,duplicate_viewpoint_ratio_baseline,duplicate_viewpoint_ratio_conditional,delta_duplicate_viewpoint_ratio,cross_region_assignment_ratio_baseline,cross_region_assignment_ratio_conditional,delta_cross_region_assignment_ratio,reservation_wait_fallback_count_baseline,reservation_wait_fallback_count_conditional,delta_reservation_wait_fallback_count,anomaly_conditional_alpha_mean_baseline,anomaly_conditional_alpha_mean_conditional,delta_anomaly_conditional_alpha_mean,anomaly_conditional_trigger_rate_baseline,anomaly_conditional_trigger_rate_conditional,delta_anomaly_conditional_trigger_rate
open_water,0,anomaly_upper_tail,ucb_anomaly_conditional,,True,,7.0,7.0,0.0,231.0,232.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6993810786914235,0.6825817860300619,-0.016799292661361598,,,,,464,,0.0,0.0,0.0,0.021645021645021644,0.0,-0.021645021645021644,0.0,0.0,0.0,,0.0,,,0.0,
open_water,1,anomaly_upper_tail,ucb_anomaly_conditional,,True,,38.0,38.0,0.0,135.0,227.0,92.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5287356321839081,0.7194960212201591,0.19076038903625103,,,,,454,,0.0,0.0,0.0,0.09259259259259259,0.0022026431718061676,-0.09038994942078642,0.0,0.0,0.0,,0.0,,,0.0,
open_water,2,anomaly_upper_tail,ucb_anomaly_conditional,,True,,76.0,150.0,74.0,,184,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.7221485411140584,0.6580459770114943,-0.0641025641025641,,,,,368,,0.0,0.0,0.0,0.035416666666666666,0.035326086956521736,-9.057971014492933e-05,0.0,0.0,0.0,,0.0,,,0.0,
open_water,3,anomaly_upper_tail,ucb_anomaly_conditional,,False,,218.0,138.0,-80.0,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,2.0,1.0,0.8034924845269673,0.7141909814323607,-0.0893015030946066,,,,,480,,0.0,0.0,0.0,0.025,0.029166666666666667,0.004166666666666666,0.0,0.0,0.0,,0.0,,,0.0,
open_water,4,anomaly_upper_tail,ucb_anomaly_conditional,,False,,173.0,49.0,-124.0,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,2.0,1.0,0.7537577365163572,0.853448275862069,0.0996905393457117,,,,,480,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,5,anomaly_upper_tail,ucb_anomaly_conditional,,True,,69.0,111.0,42.0,,183,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.7194960212201591,0.7033598585322723,-0.016136162687886757,,,,,366,,0.0,0.0,0.0,0.05416666666666667,0.0,-0.05416666666666667,0.0,0.0,0.0,,0.0,,,0.0,
open_water,6,anomaly_upper_tail,ucb_anomaly_conditional,,True,,25.0,30.0,5.0,56.0,49.0,-7.0,1.0,1.0,0.0,3.0,3.0,0.0,0.27674624226348365,0.24071618037135278,-0.03603006189213087,,,,,98,,0.0,0.0,0.0,0.05357142857142857,0.030612244897959183,-0.022959183673469385,0.0,0.0,0.0,,0.0,,,0.0,
open_water,7,anomaly_upper_tail,ucb_anomaly_conditional,,True,,45.0,55.0,10.0,62.0,94.0,32.0,1.0,1.0,0.0,3.0,3.0,0.0,0.3114500442086649,0.4374447391688771,0.1259946949602122,,,,,188,,0.0,0.0,0.0,0.06451612903225806,0.0,-0.06451612903225806,0.0,0.0,0.0,,0.0,,,0.0,
open_water,8,anomaly_upper_tail,ucb_anomaly_conditional,,False,,43.0,44.0,1.0,222,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.7681255526083113,0.7526525198938993,-0.015473032714412027,,,,,480,,0.0,0.0,0.0,0.0472972972972973,0.035416666666666666,-0.011880630630630634,0.0,0.0,0.0,,0.0,,,0.0,
open_water,9,anomaly_upper_tail,ucb_anomaly_conditional,,True,,30.0,30.0,0.0,155.0,161.0,6.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6027851458885941,0.6301945181255526,0.027409372236958496,,,,,322,,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,0,anomaly_upper_tail,ucb_anomaly_conditional,,False,,236,,,,,,0.3333333333333333,0.0,-0.3333333333333333,1.0,0.0,-1.0,0.8105811403508771,0.8464912280701754,0.03591008771929827,,,,,480,,0.0,0.0,0.0,0.022916666666666665,0.025,0.0020833333333333363,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,1,anomaly_upper_tail,ucb_anomaly_conditional,,True,,112.0,150.0,38.0,,207,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.8434758771929824,0.8612938596491229,0.017817982456140413,,,,,414,,0.0,0.0,0.0,0.04375,0.0,-0.04375,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,2,anomaly_upper_tail,ucb_anomaly_conditional,,False,,50.0,115.0,65.0,,,,0.6666666666666666,0.3333333333333333,-0.3333333333333333,2.0,1.0,-1.0,0.8475877192982456,0.8692434210526315,0.021655701754385914,,,,,480,,0.0,0.0,0.0,0.0,0.04583333333333333,0.04583333333333333,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,3,anomaly_upper_tail,ucb_anomaly_conditional,,True,,18.0,12.0,-6.0,41.0,41.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.26288377192982454,0.2576754385964912,-0.005208333333333315,,,,,82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,4,anomaly_upper_tail,ucb_anomaly_conditional,,True,,12.0,13.0,1.0,,135,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.7705592105263158,0.5992324561403509,-0.1713267543859649,,,,,270,,0.0,0.0,0.0,0.0375,0.0,-0.0375,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,5,anomaly_upper_tail,ucb_anomaly_conditional,,False,,45.0,26.0,-19.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8900767543859649,0.8555372807017544,-0.03453947368421051,,,,,480,,0.0,0.0,0.0,0.0125,0.041666666666666664,0.029166666666666664,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,6,anomaly_upper_tail,ucb_anomaly_conditional,,True,,18.0,18.0,0.0,235.0,63.0,-172.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8135964912280702,0.3730811403508772,-0.440515350877193,,,,,126,,0.0,0.0,0.0,0.05531914893617021,0.0,-0.05531914893617021,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,7,anomaly_upper_tail,ucb_anomaly_conditional,,False,,43.0,109.0,66.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7946820175438597,0.8651315789473685,0.07044956140350878,,,,,480,,0.0,0.0,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,8,anomaly_upper_tail,ucb_anomaly_conditional,,False,,163.0,63.0,-100.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8300438596491229,0.8097587719298246,-0.020285087719298267,,,,,480,,0.0,0.004166666666666667,0.004166666666666667,0.01875,0.0125,-0.006249999999999999,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,9,anomaly_upper_tail,ucb_anomaly_conditional,,True,,67.0,19.0,-48.0,199.0,142.0,-57.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8001644736842105,0.6167763157894737,-0.18338815789473684,,,,,284,,0.0,0.0,0.0,0.04522613065326633,0.01056338028169014,-0.03466275037157619,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,0,anomaly_upper_tail,ucb_anomaly_conditional,,False,,122.0,114.0,-8.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8324987481221833,0.8222333500250375,-0.010265398097145773,,,,,480,,0.0,0.0,0.0,0.1125,0.020833333333333332,-0.09166666666666667,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,1,anomaly_upper_tail,ucb_anomaly_conditional,,False,,18.0,21.0,3.0,151,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.5378067100650976,0.6752628943415123,0.1374561842764147,,,,,480,,0.0,0.0,0.0,0.026490066225165563,0.022916666666666665,-0.003573399558498898,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,2,anomaly_upper_tail,ucb_anomaly_conditional,,False,,13.0,13.0,0.0,151,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.6174261392088132,0.8067100650976464,0.18928392588883325,,,,,480,,0.0,0.0,0.0,0.0728476821192053,0.0125,-0.0603476821192053,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,3,anomaly_upper_tail,ucb_anomaly_conditional,,False,,71.0,88.0,17.0,221,,,1.0,0.6666666666666666,-0.33333333333333337,3.0,2.0,-1.0,0.6765147721582374,0.6226840260390586,-0.05383074611917882,,,,,480,,0.0,0.0,0.0,0.10633484162895927,0.008333333333333333,-0.09800150829562594,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,4,anomaly_upper_tail,ucb_anomaly_conditional,,True,,41.0,32.0,-9.0,,182,,0.6666666666666666,1.0,0.33333333333333337,2.0,3.0,1.0,0.8445167751627441,0.6634952428642964,-0.18102153229844775,,,,,364,,0.0,0.0,0.0,0.025,0.013736263736263736,-0.011263736263736265,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,5,anomaly_upper_tail,ucb_anomaly_conditional,,True,,29.0,29.0,0.0,181.0,181.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7551326990485728,0.6875312969454181,-0.06760140210315468,,,,,362,,0.0,0.0,0.0,0.013812154696132596,0.013812154696132596,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,6,anomaly_upper_tail,ucb_anomaly_conditional,,True,,40.0,39.0,-1.0,208.0,150.0,-58.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6537305958938407,0.5368052078117176,-0.11692538808212316,,,,,300,,0.0,0.0,0.0,0.021634615384615384,0.02666666666666667,0.005032051282051284,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,7,anomaly_upper_tail,ucb_anomaly_conditional,,True,,162.0,154.0,-8.0,,211,,0.3333333333333333,1.0,0.6666666666666667,1.0,3.0,2.0,0.7010515773660491,0.6594892338507762,-0.04156234351527288,,,,,422,,0.0,0.0,0.0,0.010416666666666666,0.0,-0.010416666666666666,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,8,anomaly_upper_tail,ucb_anomaly_conditional,,True,,49.0,48.0,-1.0,157.0,235.0,78.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6039058587881823,0.6492238357536304,0.04531797696544815,,,,,470,,0.0,0.0,0.0,0.01592356687898089,0.0,-0.01592356687898089,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,9,anomaly_upper_tail,ucb_anomaly_conditional,,False,,,114,,,,,0.0,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.599148723084627,0.7661492238357537,0.1670005007511267,,,,,480,,0.004166666666666667,0.0,-0.004166666666666667,0.020833333333333332,0.03333333333333333,0.0125,0.0,0.0,0.0,,0.0,,,0.0,
