map_kind,episode_seed,baseline_mode,challenger_mode,success_all_found_baseline,success_all_found_conditional,delta_success_all_found,time_to_first_detection_baseline,time_to_first_detection_conditional,delta_time_to_first_detection,time_to_all_found_baseline,time_to_all_found_conditional,delta_time_to_all_found,detection_rate_baseline,detection_rate_conditional,delta_detection_rate,found_count_baseline,found_count_conditional,delta_found_count,known_free_observation_ratio_final_baseline,known_free_observation_ratio_final_conditional,delta_known_free_observation_ratio_final,path_length_baseline,path_length_conditional,delta_path_length,path_length_total_baseline,path_length_total_conditional,delta_path_length_total,duplicate_viewpoint_ratio_baseline,duplicate_viewpoint_ratio_conditional,delta_duplicate_viewpoint_ratio,cross_region_assignment_ratio_baseline,cross_region_assignment_ratio_conditional,delta_cross_region_assignment_ratio,reservation_wait_fallback_count_baseline,reservation_wait_fallback_count_conditional,delta_reservation_wait_fallback_count,anomaly_conditional_alpha_mean_baseline,anomaly_conditional_alpha_mean_conditional,delta_anomaly_conditional_alpha_mean,anomaly_conditional_trigger_rate_baseline,anomaly_conditional_trigger_rate_conditional,delta_anomaly_conditional_trigger_rate
open_water,0,ucb,ucb_anomaly_conditional,,True,,7.0,7.0,0.0,232.0,232.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6825817860300619,0.6825817860300619,0.0,,,,,464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,1,ucb,ucb_anomaly_conditional,,True,,38.0,38.0,0.0,227.0,227.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7194960212201591,0.7194960212201591,0.0,,,,,454,,0.0,0.0,0.0,0.0022026431718061676,0.0022026431718061676,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,2,ucb,ucb_anomaly_conditional,,True,,150.0,150.0,0.0,184.0,184.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6580459770114943,0.6580459770114943,0.0,,,,,368,,0.0,0.0,0.0,0.035326086956521736,0.035326086956521736,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,3,ucb,ucb_anomaly_conditional,,False,,138.0,138.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7141909814323607,0.7141909814323607,0.0,,,,,480,,0.0,0.0,0.0,0.029166666666666667,0.029166666666666667,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,4,ucb,ucb_anomaly_conditional,,False,,49.0,49.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.853448275862069,0.853448275862069,0.0,,,,,480,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,5,ucb,ucb_anomaly_conditional,,True,,111.0,111.0,0.0,183.0,183.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7033598585322723,0.7033598585322723,0.0,,,,,366,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,6,ucb,ucb_anomaly_conditional,,True,,30.0,30.0,0.0,49.0,49.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.24071618037135278,0.24071618037135278,0.0,,,,,98,,0.0,0.0,0.0,0.030612244897959183,0.030612244897959183,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,7,ucb,ucb_anomaly_conditional,,True,,55.0,55.0,0.0,94.0,94.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.4374447391688771,0.4374447391688771,0.0,,,,,188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,8,ucb,ucb_anomaly_conditional,,False,,44.0,44.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7526525198938993,0.7526525198938993,0.0,,,,,480,,0.0,0.0,0.0,0.035416666666666666,0.035416666666666666,0.0,0.0,0.0,0.0,,0.0,,,0.0,
open_water,9,ucb,ucb_anomaly_conditional,,True,,30.0,30.0,0.0,161.0,161.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6301945181255526,0.6301945181255526,0.0,,,,,322,,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,0,ucb,ucb_anomaly_conditional,,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.8464912280701754,0.8464912280701754,0.0,,,,,480,,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,1,ucb,ucb_anomaly_conditional,,True,,150.0,150.0,0.0,207.0,207.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8612938596491229,0.8612938596491229,0.0,,,,,414,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,2,ucb,ucb_anomaly_conditional,,False,,115.0,115.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.8692434210526315,0.8692434210526315,0.0,,,,,480,,0.0,0.0,0.0,0.04583333333333333,0.04583333333333333,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,3,ucb,ucb_anomaly_conditional,,True,,12.0,12.0,0.0,41.0,41.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.2576754385964912,0.2576754385964912,0.0,,,,,82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,4,ucb,ucb_anomaly_conditional,,True,,13.0,13.0,0.0,135.0,135.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5992324561403509,0.5992324561403509,0.0,,,,,270,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,5,ucb,ucb_anomaly_conditional,,False,,26.0,26.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8555372807017544,0.8555372807017544,0.0,,,,,480,,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,6,ucb,ucb_anomaly_conditional,,True,,18.0,18.0,0.0,63.0,63.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.3730811403508772,0.3730811403508772,0.0,,,,,126,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,7,ucb,ucb_anomaly_conditional,,False,,,109,,,,,0.0,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.9002192982456141,0.8651315789473685,-0.03508771929824561,,,,,480,,0.0,0.0,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,8,ucb,ucb_anomaly_conditional,,False,,63.0,63.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8097587719298246,0.8097587719298246,0.0,,,,,480,,0.004166666666666667,0.004166666666666667,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,,0.0,,,0.0,
harbor_cove,9,ucb,ucb_anomaly_conditional,,True,,19.0,19.0,0.0,142.0,142.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6167763157894737,0.6167763157894737,0.0,,,,,284,,0.0,0.0,0.0,0.01056338028169014,0.01056338028169014,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,0,ucb,ucb_anomaly_conditional,,False,,114.0,114.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8222333500250375,0.8222333500250375,0.0,,,,,480,,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,1,ucb,ucb_anomaly_conditional,,False,,21.0,21.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.6752628943415123,0.6752628943415123,0.0,,,,,480,,0.0,0.0,0.0,0.022916666666666665,0.022916666666666665,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,2,ucb,ucb_anomaly_conditional,,False,,13.0,13.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.8067100650976464,0.8067100650976464,0.0,,,,,480,,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,3,ucb,ucb_anomaly_conditional,,False,,88.0,88.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.6226840260390586,0.6226840260390586,0.0,,,,,480,,0.0,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,4,ucb,ucb_anomaly_conditional,,True,,32.0,32.0,0.0,182.0,182.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6634952428642964,0.6634952428642964,0.0,,,,,364,,0.0,0.0,0.0,0.013736263736263736,0.013736263736263736,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,5,ucb,ucb_anomaly_conditional,,True,,29.0,29.0,0.0,181.0,181.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6875312969454181,0.6875312969454181,0.0,,,,,362,,0.0,0.0,0.0,0.013812154696132596,0.013812154696132596,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,6,ucb,ucb_anomaly_conditional,,True,,39.0,39.0,0.0,150.0,150.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5368052078117176,0.5368052078117176,0.0,,,,,300,,0.0,0.0,0.0,0.02666666666666667,0.02666666666666667,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,7,ucb,ucb_anomaly_conditional,,True,,154.0,154.0,0.0,211.0,211.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6594892338507762,0.6594892338507762,0.0,,,,,422,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,8,ucb,ucb_anomaly_conditional,,True,,48.0,48.0,0.0,235.0,235.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6492238357536304,0.6492238357536304,0.0,,,,,470,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,
peninsula_passage,9,ucb,ucb_anomaly_conditional,,False,,114.0,114.0,0.0,,,,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.7661492238357537,0.7661492238357537,0.0,,,,,480,,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,,0.0,,,0.0,
