episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,52,90,1.0,3,0.3561705989110708,19.147583333809354,90,0.006944444444444444,0.006944444444444444,7.444444444444445,0,0.09615384615384616,0.048013477290637076
1,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,61,,0.6666666666666666,2,0.8448275862068966,19.93417916673934,240,0.0026041666666666665,0.0026041666666666665,7.0625,0,0.3442622950819672,0.04849139576374773
2,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,64,,0.6666666666666666,2,0.7304900181488203,18.599057142748688,240,0.0026041666666666665,0.0026041666666666665,8.558333333333334,0,0.296875,0.04484730166479732
3,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,141,214,1.0,3,0.7781306715063521,20.189972093185347,214,0.0029205607476635513,0.0029205607476635513,8.30841121495327,0,0.22695035460992907,0.05132381672505315
4,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,38,155,1.0,3,0.574410163339383,22.872941935460286,155,0.004032258064516129,0.004032258064516129,6.838709677419355,0,0.2631578947368421,0.05134025891141633
5,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,11,119,1.0,3,0.5399274047186933,17.977141666506213,119,0.005252100840336135,0.005252100840336135,10.184873949579831,0,0.0,0.049522119042283236
6,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,27,183,1.0,3,0.6297640653357531,17.055091891568342,183,0.0034153005464480873,0.0034153005464480873,9.551912568306012,0,0.6296296296296297,0.05232177797704821
7,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,41,103,1.0,3,0.4074410163339383,18.535228571549634,103,0.006067961165048544,0.006067961165048544,7.951456310679611,0,0.14634146341463414,0.046896274877272826
8,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.7622504537205081,19.07476400017913,240,0.0026041666666666665,0.0026041666666666665,7.479166666666667,0,0.24583333333333332,0.052229072236565734
9,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,66,232,1.0,3,0.793557168784029,18.35698085097705,232,0.0026939655172413795,0.0026939655172413795,6.668103448275862,0,0.4696969696969697,0.052539976291166614
0,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,22,228,1.0,3,0.7381756756756757,18.101563999880455,228,0.0027412280701754384,0.0027412280701754384,5.008771929824562,0,0.5454545454545454,0.07298224392055457
1,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,38,132,1.0,3,0.6509009009009009,22.694577777454267,132,0.004734848484848485,0.004734848484848485,5.666666666666667,0,0.47368421052631576,0.05898658203501453
2,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,35,137,1.0,3,0.6593468468468469,17.938564285551756,137,0.004562043795620438,0.004562043795620438,5.875912408759124,0,0.14285714285714285,0.056101803446913304
3,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,36,234,1.0,3,0.731418918918919,20.08400199949392,234,0.002670940170940171,0.002670940170940171,4.568376068376068,0,0.16666666666666666,0.05481402384226466
4,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,36,67,1.0,3,0.3490990990990991,18.10613571459336,67,0.009328358208955223,0.009328358208955223,6.074626865671642,0,0.3055555555555556,0.061313497883973334
5,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,18,204,1.0,3,0.7240990990990991,16.17936904750379,204,0.0030637254901960784,0.0030637254901960784,5.338235294117647,0,0.16666666666666666,0.05654702790953877
