episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,62,120,1.0,3,0.47005444646098005,20.639483333525277,120,0.005208333333333333,0.005208333333333333,7.208333333333333,0,0.27419354838709675,0.049740015491294705
1,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,62,128,1.0,3,0.5204174228675136,22.71277307688881,128,0.0048828125,0.0048828125,7.5234375,0,0.43548387096774194,0.050807341598954225
2,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,65,198,1.0,3,0.5612522686025408,24.903919999997015,198,0.0031565656565656565,0.0031565656565656565,6.671717171717172,0,0.38461538461538464,0.05761074884691184
3,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,45,216,1.0,3,0.7917422867513612,27.895299999809968,216,0.0028935185185185184,0.0028935185185185184,7.643518518518518,0,0.1111111111111111,0.05040632961903322
4,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,37,219,1.0,3,0.6588021778584392,24.713664444425376,219,0.0028538812785388126,0.0028538812785388126,8.598173515981735,0,0.4594594594594595,0.05105170368153453
5,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,12,127,1.0,3,0.470961887477314,19.55768846164574,127,0.004921259842519685,0.004921259842519685,10.433070866141732,0,0.16666666666666666,0.05486022763092142
6,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,44,157,1.0,3,0.5226860254083484,22.542334375316386,157,0.003980891719745223,0.003980891719745223,7.3949044585987265,0,0.4318181818181818,0.05186743548890949
7,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,42,115,1.0,3,0.45462794918330307,22.667062500052754,115,0.005434782608695652,0.005434782608695652,8.434782608695652,0,0.16666666666666666,0.047589370961881546
8,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,61,,0.3333333333333333,1,0.6637931034482759,24.68543265310974,240,0.0026041666666666665,0.0026041666666666665,7.7875,0,0.32786885245901637,0.03938629813655012
9,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,52,,0.6666666666666666,2,0.5471869328493648,22.309497959287576,240,0.0026041666666666665,0.0026041666666666665,9.683333333333334,0,0.3269230769230769,0.04845031719835822
0,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,35,170,1.0,3,0.6413288288288288,20.536694117789224,170,0.003676470588235294,0.003676470588235294,5.882352941176471,0,0.14285714285714285,0.06592937932791065
1,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,37,,0.6666666666666666,2,0.6807432432432432,26.051828000418027,240,0.0026041666666666665,0.0026041666666666665,4.129166666666666,0,0.32432432432432434,0.059908714392715445
2,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,38,,0.6666666666666666,2,0.6097972972972973,20.207609803322818,240,0.005208333333333333,0.005208333333333333,3.9583333333333335,0,0.07894736842105263,0.04690476724701403
3,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,37,137,1.0,3,0.5726351351351351,24.42354285709111,137,0.013686131386861315,0.013686131386861315,5.423357664233577,0,0.1891891891891892,0.0533949402579752
4,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,39,,0.3333333333333333,1,0.7421171171171171,25.339830188763784,240,0.0026041666666666665,0.0026041666666666665,3.529166666666667,0,0.23076923076923078,0.06718019849414038
