two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=0
two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=1
two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=2
two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=3
two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=4
two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=5
two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=6
two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=7
two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=8
two_usv_independent_6_3 | motion=static | clue=ucb | map=open_water | seed=9
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=0
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=1
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=2
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=3
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=4
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=5
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=6
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=7
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=8
two_usv_independent_6_3 | motion=static | clue=ucb | map=harbor_cove | seed=9
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=0
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=1
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=2
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=3
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=4
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=5
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=6
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=7
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=8
two_usv_independent_6_3 | motion=static | clue=ucb | map=peninsula_passage | seed=9
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=0
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=1
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=2
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=3
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=4
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=5
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=6
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=7
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=8
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=open_water | seed=9
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=0
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=1
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=2
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=3
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=4
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=5
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=6
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=7
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=8
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=harbor_cove | seed=9
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=0
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=1
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=2
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=3
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=4
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=5
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=6
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=7
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=8
two_usv_independent_6_3 | motion=static | clue=anomaly_upper_tail | map=peninsula_passage | seed=9
two_usv_independent_6_3_output_dir=F:\pythonprojects\baseline_GP\results\paper_parallel_run_20260501_190059\two_usv_independent_6_3\two_usv_independent_static
