map_kind,episode_seed,clue_acquisition_mode,baseline_assignment_mode,challenger_assignment_mode,success_all_found_independent,success_all_found_coordinated,delta_coordinated_minus_independent_success_all_found,time_to_first_detection_independent,time_to_first_detection_coordinated,delta_coordinated_minus_independent_time_to_first_detection,time_to_all_found_independent,time_to_all_found_coordinated,delta_coordinated_minus_independent_time_to_all_found,time_to_next_detection_independent,time_to_next_detection_coordinated,delta_coordinated_minus_independent_time_to_next_detection,detection_rate_independent,detection_rate_coordinated,delta_coordinated_minus_independent_detection_rate,found_count_independent,found_count_coordinated,delta_coordinated_minus_independent_found_count,known_free_observation_ratio_final_independent,known_free_observation_ratio_final_coordinated,delta_coordinated_minus_independent_known_free_observation_ratio_final,path_length_total_independent,path_length_total_coordinated,delta_coordinated_minus_independent_path_length_total,duplicate_viewpoint_ratio_independent,duplicate_viewpoint_ratio_coordinated,delta_coordinated_minus_independent_duplicate_viewpoint_ratio,cross_region_assignment_ratio_independent,cross_region_assignment_ratio_coordinated,delta_coordinated_minus_independent_cross_region_assignment_ratio,reservation_wait_fallback_count_independent,reservation_wait_fallback_count_coordinated,delta_coordinated_minus_independent_reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean_independent,reservation_near_neighbor_step_ratio_mean_coordinated,delta_coordinated_minus_independent_reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count_independent,reservation_same_cell_violation_count_coordinated,delta_coordinated_minus_independent_reservation_same_cell_violation_count,reservation_swap_violation_count_independent,reservation_swap_violation_count_coordinated,delta_coordinated_minus_independent_reservation_swap_violation_count,wait_count_total_independent,wait_count_total_coordinated,delta_coordinated_minus_independent_wait_count_total,anomaly_top_band_selection_ratio_pre_first_detection_independent,anomaly_top_band_selection_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_independent,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
open_water,0,anomaly_upper_tail,independent,coordinated,True,,,6,7,1.0,182,231,49.0,88.0,,,1.0,1.0,0.0,3,3,0.0,0.5873121131741822,0.6993810786914235,0.11206896551724133,364,,,0.005494505494505495,0.0,-0.005494505494505495,0.5521978021978022,0.021645021645021644,-0.5305527805527805,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0.6428571428571429,-0.3571428571428571,0.03348879371769503,0.034291134197081,0.000802340479385967
open_water,1,anomaly_upper_tail,independent,coordinated,True,,,18,38,20.0,139,135,-4.0,60.5,,,1.0,1.0,0.0,3,3,0.0,0.5192307692307693,0.5287356321839081,0.009504862953138793,278,,,0.18705035971223022,0.0,-0.18705035971223022,0.32014388489208634,0.09259259259259259,-0.22755129229949375,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.19444444444444445,0.2894736842105263,0.09502923976608188,0.027846293014795218,0.033428368716177395,0.005582075701382177
open_water,2,anomaly_upper_tail,independent,coordinated,False,,,153,76,-77.0,,,,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,2,1.0,0.6633510167992926,0.7221485411140584,0.0587975243147657,480,,,0.0125,0.0,-0.0125,0.32916666666666666,0.035416666666666666,-0.29375,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.37254901960784315,0.2565789473684211,-0.11597007223942207,0.02224217423014372,0.023278852042607788,0.001036677812464068
open_water,3,anomaly_upper_tail,independent,coordinated,False,,,161,218,57.0,,,,,,,0.3333333333333333,0.3333333333333333,0.0,1,1,0.0,0.7336427939876216,0.8034924845269673,0.06984969053934575,477,,,0.025,0.0,-0.025,0.48333333333333334,0.025,-0.4583333333333333,0,0,0.0,0.007291666666666667,0.0,-0.007291666666666667,0,0,0.0,0,0,0.0,3,0,-3.0,0.36335403726708076,0.28211009174311924,-0.08124394552396152,0.01753346165729943,0.01813659213624838,0.0006031304789489503
open_water,4,anomaly_upper_tail,independent,coordinated,False,,,232,173,-59.0,,,,,,,0.3333333333333333,0.3333333333333333,0.0,1,1,0.0,0.650972590627763,0.7537577365163572,0.10278514588859422,480,,,0.0375,0.0,-0.0375,0.3958333333333333,0.0,-0.3958333333333333,0,0,0.0,0.000992063492063492,0.0,-0.000992063492063492,0,0,0.0,0,0,0.0,0,0,0.0,0.30387931034482757,0.2976878612716763,-0.006191449073151278,0.02122150230547728,0.023234756565637487,0.0020132542601602084
open_water,5,anomaly_upper_tail,independent,coordinated,False,,,46,69,23.0,,,,89.0,,,0.6666666666666666,0.6666666666666666,0.0,2,2,0.0,0.7911140583554377,0.7194960212201591,-0.07161803713527859,480,,,0.004166666666666667,0.0,-0.004166666666666667,0.13541666666666666,0.05416666666666667,-0.08124999999999999,0,0,0.0,0.0,0.0013764880952380951,0.0013764880952380951,0,0,0.0,0,0,0.0,0,0,0.0,0.2391304347826087,0.2318840579710145,-0.007246376811594207,0.020859681719457585,0.02331706644369287,0.0024573847242352863
open_water,6,anomaly_upper_tail,independent,coordinated,True,,,26,25,-1.0,97,56,-41.0,35.5,,,1.0,1.0,0.0,3,3,0.0,0.3757736516357206,0.27674624226348365,-0.09902740937223692,194,,,0.0,0.0,0.0,0.24742268041237114,0.05357142857142857,-0.19385125184094257,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.15384615384615385,0.26,0.10615384615384615,0.030719612134337507,0.031587064197992794,0.0008674520636552871
open_water,7,anomaly_upper_tail,independent,coordinated,True,,,46,45,-1.0,60,62,2.0,7.0,,,1.0,1.0,0.0,3,3,0.0,0.29619805481874445,0.3114500442086649,0.01525198938992045,120,,,0.016666666666666666,0.0,-0.016666666666666666,0.05,0.06451612903225806,0.01451612903225806,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.34782608695652173,0.23333333333333334,-0.11449275362318839,0.023868736772995905,0.023691105980957236,-0.00017763079203866883
open_water,8,anomaly_upper_tail,independent,coordinated,True,,,12,43,31.0,101,222,121.0,44.5,,,1.0,1.0,0.0,3,3,0.0,0.4297082228116711,0.7681255526083113,0.3384173297966402,202,,,0.0,0.0,0.0,0.24752475247524752,0.0472972972972973,-0.2002274551779502,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.20833333333333334,0.23255813953488372,0.024224806201550375,0.028605596353125293,0.03337464303643201,0.004769046683306719
open_water,9,anomaly_upper_tail,independent,coordinated,False,,,34,30,-4.0,,155,,19.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.6286472148541115,0.6027851458885941,-0.02586206896551735,480,,,0.0125,0.0,-0.0125,0.33125,0.0,-0.33125,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.17647058823529413,0.05,-0.1264705882352941,0.02390305175969501,0.026680181111838685,0.002777129352143675
