map_kind,episode_seed,clue_acquisition_mode,baseline_assignment_mode,challenger_assignment_mode,success_all_found_independent,success_all_found_coordinated,delta_coordinated_minus_independent_success_all_found,time_to_first_detection_independent,time_to_first_detection_coordinated,delta_coordinated_minus_independent_time_to_first_detection,time_to_all_found_independent,time_to_all_found_coordinated,delta_coordinated_minus_independent_time_to_all_found,time_to_next_detection_independent,time_to_next_detection_coordinated,delta_coordinated_minus_independent_time_to_next_detection,detection_rate_independent,detection_rate_coordinated,delta_coordinated_minus_independent_detection_rate,found_count_independent,found_count_coordinated,delta_coordinated_minus_independent_found_count,known_free_observation_ratio_final_independent,known_free_observation_ratio_final_coordinated,delta_coordinated_minus_independent_known_free_observation_ratio_final,path_length_total_independent,path_length_total_coordinated,delta_coordinated_minus_independent_path_length_total,duplicate_viewpoint_ratio_independent,duplicate_viewpoint_ratio_coordinated,delta_coordinated_minus_independent_duplicate_viewpoint_ratio,cross_region_assignment_ratio_independent,cross_region_assignment_ratio_coordinated,delta_coordinated_minus_independent_cross_region_assignment_ratio,reservation_wait_fallback_count_independent,reservation_wait_fallback_count_coordinated,delta_coordinated_minus_independent_reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean_independent,reservation_near_neighbor_step_ratio_mean_coordinated,delta_coordinated_minus_independent_reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count_independent,reservation_same_cell_violation_count_coordinated,delta_coordinated_minus_independent_reservation_same_cell_violation_count,reservation_swap_violation_count_independent,reservation_swap_violation_count_coordinated,delta_coordinated_minus_independent_reservation_swap_violation_count,wait_count_total_independent,wait_count_total_coordinated,delta_coordinated_minus_independent_wait_count_total,anomaly_top_band_selection_ratio_pre_first_detection_independent,anomaly_top_band_selection_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_independent,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_coordinated,delta_coordinated_minus_independent_unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
open_water,0,ucb,independent,coordinated,False,,,7,7,0.0,,232,,118.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.610079575596817,0.6825817860300619,0.0725022104332449,480,,,0.0,0.0,0.0,0.14375,0.0,-0.14375,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.7857142857142857,0.6428571428571429,-0.1428571428571428,0.03394336550086886,0.03440100863632224,0.0004576431354533783
open_water,1,ucb,independent,coordinated,True,,,18,38,20.0,155,227,72.0,68.5,,,1.0,1.0,0.0,3,3,0.0,0.43258178603006187,0.7194960212201591,0.28691423519009723,310,,,0.03225806451612903,0.0,-0.03225806451612903,0.2064516129032258,0.0022026431718061676,-0.20424896973141965,0,0,0.0,0.0008064516129032258,0.0,-0.0008064516129032258,0,0,0.0,0,0,0.0,0,0,0.0,0.2222222222222222,0.21052631578947367,-0.011695906432748537,0.027877702315431904,0.03290493591257573,0.005027233597143823
open_water,2,ucb,independent,coordinated,False,,,207,150,-57.0,,184,,28.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.634394341290893,0.6580459770114943,0.02365163572060125,480,,,0.0875,0.0,-0.0875,0.5375,0.035326086956521736,-0.5021739130434782,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.25120772946859904,0.2866666666666667,0.03545893719806764,0.022485274344158344,0.024427350497775946,0.0019420761536176022
open_water,3,ucb,independent,coordinated,False,,,126,138,12.0,,,,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,2,1.0,0.5532714412024757,0.7141909814323607,0.16091954022988497,480,,,0.0,0.0,0.0,0.2520833333333333,0.029166666666666667,-0.22291666666666665,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3492063492063492,0.2753623188405797,-0.07384403036576948,0.018344487247228262,0.018265048616937084,-7.943863029117801e-05
open_water,4,ucb,independent,coordinated,False,,,204,49,-155.0,,,,27.0,,,0.6666666666666666,0.6666666666666666,0.0,2,2,0.0,0.6478779840848806,0.853448275862069,0.20557029177718833,480,,,0.008333333333333333,0.0,-0.008333333333333333,0.25,0.0,-0.25,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3137254901960784,0.16326530612244897,-0.15046018407362946,0.020137832180319358,0.022297670150572733,0.0021598379702533754
open_water,5,ucb,independent,coordinated,False,,,46,111,65.0,,183,,107.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.6312997347480106,0.7033598585322723,0.07206012378426174,480,,,0.0,0.0,0.0,0.24583333333333332,0.0,-0.24583333333333332,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.2391304347826087,0.24324324324324326,0.004112808460634554,0.020859681719457585,0.02396233620474447,0.0031026544852868834
open_water,6,ucb,independent,coordinated,True,,,26,30,4.0,84,49,-35.0,29.0,,,1.0,1.0,0.0,3,3,0.0,0.3680371352785146,0.24071618037135278,-0.12732095490716183,168,,,0.011904761904761904,0.0,-0.011904761904761904,0.15476190476190477,0.030612244897959183,-0.12414965986394558,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.23076923076923078,0.25,0.019230769230769218,0.030719612134337507,0.03703229266966669,0.006312680535329185
open_water,7,ucb,independent,coordinated,True,,,46,55,9.0,60,94,34.0,7.0,,,1.0,1.0,0.0,3,3,0.0,0.2948717948717949,0.4374447391688771,0.14257294429708223,120,,,0.0,0.0,0.0,0.05,0.0,-0.05,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.32608695652173914,0.2636363636363636,-0.06245059288537552,0.023658498328464332,0.024972511933198653,0.001314013604734321
open_water,8,ucb,independent,coordinated,True,,,44,44,0.0,150,,,53.0,,,1.0,0.6666666666666666,-0.33333333333333337,3,2,-1.0,0.4916003536693192,0.7526525198938993,0.26105216622458005,300,,,0.006666666666666667,0.0,-0.006666666666666667,0.30333333333333334,0.035416666666666666,-0.2679166666666667,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.2840909090909091,0.26136363636363635,-0.022727272727272763,0.033534471127759466,0.03088443621930315,-0.002650034908456316
open_water,9,ucb,independent,coordinated,False,,,92,30,-62.0,,161,,18.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.7128647214854111,0.6301945181255526,-0.08267020335985853,480,,,0.0,0.0,0.0,0.20833333333333334,0.021739130434782608,-0.18659420289855072,0,0,0.0,0.00026041666666666666,0.0,-0.00026041666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0.2608695652173913,0.13333333333333333,-0.12753623188405797,0.023105525985691197,0.026680181111838685,0.003574655126147488
harbor_cove,0,ucb,independent,coordinated,False,,,65,,,,,,,,,0.3333333333333333,0.0,-0.3333333333333333,1,0,-1.0,0.6491228070175439,0.8464912280701754,0.19736842105263153,480,,,0.004166666666666667,0.0,-0.004166666666666667,0.41458333333333336,0.025,-0.38958333333333334,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.2923076923076923,0.24791666666666667,-0.04439102564102565,0.030000118693096323,0.02908389632718662,-0.0009162223659097031
harbor_cove,1,ucb,independent,coordinated,False,,,77,150,73.0,,207,,,,,0.3333333333333333,1.0,0.6666666666666667,1,3,2.0,0.6943530701754386,0.8612938596491229,0.1669407894736843,480,,,0.004166666666666667,0.0,-0.004166666666666667,0.33541666666666664,0.0,-0.33541666666666664,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.3181818181818182,0.2833333333333333,-0.03484848484848485,0.02735610849699812,0.024613129327196632,-0.0027429791698014884
harbor_cove,2,ucb,independent,coordinated,False,,,53,115,62.0,,,,,,,0.3333333333333333,0.3333333333333333,0.0,1,1,0.0,0.8007127192982456,0.8692434210526315,0.06853070175438591,480,,,0.0,0.0,0.0,0.3375,0.04583333333333333,-0.2916666666666667,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.27358490566037735,0.16521739130434782,-0.10836751435602954,0.022584085683700877,0.021594704632962973,-0.0009893810507379044
harbor_cove,3,ucb,independent,coordinated,True,,,17,12,-5.0,45,41,-4.0,14.0,,,1.0,1.0,0.0,3,3,0.0,0.27055921052631576,0.2576754385964912,-0.012883771929824539,90,,,0.0,0.0,0.0,0.03333333333333333,0.0,-0.03333333333333333,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.29411764705882354,0.0,-0.29411764705882354,0.03564533435690838,0.03722647074368106,0.0015811363867726802
harbor_cove,4,ucb,independent,coordinated,False,,,13,13,0.0,,135,,164.0,,,0.6666666666666666,1.0,0.33333333333333337,2,3,1.0,0.7351973684210527,0.5992324561403509,-0.13596491228070173,480,,,0.020833333333333332,0.0,-0.020833333333333332,0.42083333333333334,0.0,-0.42083333333333334,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.46153846153846156,0.38461538461538464,-0.07692307692307693,0.04242495833798647,0.03795994004416523,-0.004465018293821239
