episode_seed,map_kind,system_name,assignment_mode,target_motion_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,11,,0.6666666666666666,2,0.832449160035367,136.30067458335967,0.0,0.0,0,0,0,0.0,0,0,0.5,0.029589431637524685
1,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,232,1.0,3,0.8236074270557029,152.7818172414519,0.0,0.017241379310344827,0,0,0,0.0,0,0,0.19047619047619047,0.02533641070577062
2,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,80,173,1.0,3,0.7130857648099027,143.8228687862132,0.0,0.0,0,0,0,0.0,0,0,0.2375,0.023942835645766866
3,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,171,,0.3333333333333333,1,0.7891246684350133,135.58119999999386,0.0,0.0375,0,0,0,0.0,0,0,0.27485380116959063,0.022117509423264573
4,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,158,,0.6666666666666666,2,0.8366489832007074,130.98428458326148,0.0,0.0,0,0,0,0.0,0,0,0.22784810126582278,0.020408031187927483
5,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,71,159,1.0,3,0.6456675508399646,143.4745584905293,0.0,0.03773584905660377,0,0,0,0.0,0,0,0.1619718309859155,0.025556396145666946
6,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,44,,0.6666666666666666,2,0.8868258178603006,130.8078583333554,0.0,0.008333333333333333,0,0,0,0.0,0,0,0.26136363636363635,0.03500889840064015
7,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,43,75,1.0,3,0.3713527851458886,120.38791066695315,0.0,0.06666666666666667,0,0,0,0.0,0,0,0.1744186046511628,0.023274061741002418
8,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,20,187,1.0,3,0.6710875331564987,111.33948449211717,0.0,0.008021390374331552,0,0,0,0.0,0,0,0.35,0.028673956728238775
9,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,29,160,1.0,3,0.6646772767462422,116.46932187497896,0.0,0.0,0,0,0,0.0,0,0,0.06896551724137931,0.023859243063678384
0,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,68,,0.3333333333333333,1,0.9226973684210527,93.97570208325305,0.0,0.014583333333333334,0,0,0,0.0,0,0,0.3382352941176471,0.03047263025543747
1,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,83,168,1.0,3,0.7362938596491229,117.29427976184698,0.0,0.03571428571428571,0,0,0,0.0,0,0,0.3253012048192771,0.027584570813639613
2,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,43,,0.6666666666666666,2,0.9136513157894737,104.91415124999246,0.0,0.014583333333333334,0,0,0,0.0,0,0,0.13953488372093023,0.025275431186447535
3,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,7,48,1.0,3,0.29851973684210525,104.3351541672261,0.0,0.0,0,0,0,0.0,0,0,0.42857142857142855,0.037710285479630984
4,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,24,228,1.0,3,0.8908991228070176,105.57516535094405,0.0,0.0,0,0,0,0.0,0,0,0.25,0.04301022781371199
5,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,39,183,1.0,3,0.7735745614035088,107.03601092871872,0.0,0.0,0,0,0,0.0,0,0,0.20512820512820512,0.04283718754016545
6,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,14,182,1.0,3,0.7541118421052632,122.04260879124186,0.0,0.027472527472527472,0,0,0,0.0,0,0,0.17857142857142858,0.036343232088664364
7,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,16,146,1.0,3,0.7168311403508771,107.05128972590937,0.0,0.0,0,0,0,0.0,0,0,0.15625,0.04068657390293526
8,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,146,,0.6666666666666666,2,0.899671052631579,123.93872000012986,0.0,0.0,0,0,0,0.0,0,0,0.24315068493150685,0.02709579268906888
9,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,91,,0.6666666666666666,2,0.8344298245614035,177.47368499999538,0.0,0.05,0,0,0,0.0,0,0,0.35714285714285715,0.03336440211452619
