episode_seed,map_kind,system_name,assignment_mode,target_motion_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,7,232,1.0,3,0.6825817860300619,129.82876120680697,0.0,0.0,0,0,0,0.0,0,0,0.6428571428571429,0.03440100863632224
1,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,38,227,1.0,3,0.7194960212201591,157.24134229072052,0.0,0.0022026431718061676,0,0,0,0.0,0,0,0.21052631578947367,0.03290493591257573
2,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,150,184,1.0,3,0.6580459770114943,153.54516684775538,0.0,0.035326086956521736,0,0,0,0.0,0,0,0.2866666666666667,0.024427350497775946
3,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,138,,0.6666666666666666,2,0.7141909814323607,161.4037816667557,0.0,0.029166666666666667,0,0,0,0.0,0,0,0.2753623188405797,0.018265048616937084
4,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,49,,0.6666666666666666,2,0.853448275862069,169.08685125005528,0.0,0.0,0,0,0,0.0,0,0,0.16326530612244897,0.022297670150572733
5,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,111,183,1.0,3,0.7033598585322723,145.7651633880759,0.0,0.0,0,0,0,0.0,0,0,0.24324324324324326,0.02396233620474447
6,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,30,49,1.0,3,0.24071618037135278,115.35794897994195,0.0,0.030612244897959183,0,0,0,0.0,0,0,0.25,0.03703229266966669
7,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,55,94,1.0,3,0.4374447391688771,129.61881914924697,0.0,0.0,0,0,0,0.0,0,0,0.2636363636363636,0.024972511933198653
8,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,44,,0.6666666666666666,2,0.7526525198938993,147.59725833335628,0.0,0.035416666666666666,0,0,0,0.0,0,0,0.26136363636363635,0.03088443621930315
9,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,30,161,1.0,3,0.6301945181255526,121.52090372671087,0.0,0.021739130434782608,0,0,0,0.0,0,0,0.13333333333333333,0.026680181111838685
0,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,,,0.0,0,0.8464912280701754,135.65273083357474,0.0,0.025,0,0,0,0.0,0,0,0.24791666666666667,0.02908389632718662
1,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,150,207,1.0,3,0.8612938596491229,136.98753429939708,0.0,0.0,0,0,0,0.0,0,0,0.2833333333333333,0.024613129327196632
2,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,115,,0.3333333333333333,1,0.8692434210526315,142.16475916672002,0.0,0.04583333333333333,0,0,0,0.0,0,0,0.16521739130434782,0.021594704632962973
3,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,12,41,1.0,3,0.2576754385964912,103.10282439054501,0.0,0.0,0,0,0,0.0,0,0,0.0,0.03722647074368106
4,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,13,135,1.0,3,0.5992324561403509,125.360487407414,0.0,0.0,0,0,0,0.0,0,0,0.38461538461538464,0.03795994004416523
5,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,26,,0.6666666666666666,2,0.8555372807017544,157.28403708343043,0.0,0.041666666666666664,0,0,0,0.0,0,0,0.21153846153846154,0.032789953036268533
6,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,18,63,1.0,3,0.3730811403508772,106.33870952375536,0.0,0.0,0,0,0,0.0,0,0,0.25,0.04784926121599446
7,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,,,0.0,0,0.9002192982456141,139.67260666657543,0.0,0.0,0,0,0,0.0,0,0,0.3020833333333333,0.029532634500247495
8,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,63,,0.6666666666666666,2,0.8097587719298246,125.40692750011051,0.004166666666666667,0.0125,0,0,0,0.0,0,0,0.18253968253968253,0.028783020959278312
9,harbor_cove,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,19,142,1.0,3,0.6167763157894737,178.34227535245768,0.0,0.01056338028169014,0,0,0,0.0,0,0,0.18421052631578946,0.033228292265900454
0,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,114,,0.6666666666666666,2,0.8222333500250375,248.9026895834589,0.0,0.020833333333333332,0,0,0,0.0,0,0,0.32894736842105265,0.024346399335214198
1,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,,0.6666666666666666,2,0.6752628943415123,210.93304458340754,0.0,0.022916666666666665,0,0,0,0.0,0,0,0.35714285714285715,0.03312247347860154
2,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,13,,0.6666666666666666,2,0.8067100650976464,263.7620858333169,0.0,0.0125,0,0,0,0.0,0,0,0.5,0.03848583532851235
3,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,88,,0.6666666666666666,2,0.6226840260390586,227.83142375007324,0.0,0.008333333333333333,0,0,0,0.0,0,0,0.19318181818181818,0.024017344386372444
4,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,32,182,1.0,3,0.6634952428642964,242.87110384620274,0.0,0.013736263736263736,0,0,0,0.0,0,0,0.125,0.03207061808482217
5,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,29,181,1.0,3,0.6875312969454181,207.93049171259764,0.0,0.013812154696132596,0,0,0,0.0,0,0,0.1724137931034483,0.032797457821532566
6,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,39,150,1.0,3,0.5368052078117176,235.24518066665527,0.0,0.02666666666666667,0,0,0,0.0,0,0,0.28205128205128205,0.027354734088354725
7,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,154,211,1.0,3,0.6594892338507762,212.18505165880651,0.0,0.0,0,0,0,0.0,0,0,0.24025974025974026,0.024434265740759808
8,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,48,235,1.0,3,0.6492238357536304,243.70973702124445,0.0,0.0,0,0,0,0.0,0,0,0.125,0.026087462957671174
9,peninsula_passage,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,114,,0.6666666666666666,2,0.7661492238357537,277.16604625003737,0.0,0.03333333333333333,0,0,0,0.0,0,0,0.21052631578947367,0.02213310240982746
0,open_water,two_usv_coordinated,coordinated,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,7,231,1.0,3,0.6993810786914235,158.08969264064405,0.0,0.021645021645021644,0,0,0,0.0,0,0,0.6428571428571429,0.034291134197081
1,open_water,two_usv_coordinated,coordinated,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,38,135,1.0,3,0.5287356321839081,176.2945444443041,0.0,0.09259259259259259,0,0,0,0.0,0,0,0.2894736842105263,0.033428368716177395
2,open_water,two_usv_coordinated,coordinated,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,76,,0.6666666666666666,2,0.7221485411140584,175.3525875000681,0.0,0.035416666666666666,0,0,0,0.0,0,0,0.2565789473684211,0.023278852042607788
