episode_seed,map_kind,target_motion_mode,baseline_viewpoint_generation_mode,challenger_viewpoint_generation_mode,time_to_first_detection_delta,time_to_all_found_delta,success_all_found_delta,detection_rate_delta,found_count_delta,known_free_observation_ratio_final_delta,path_length_delta,planning_time_ms_mean_delta,candidate_pool_size_mean_delta,reachable_pool_size_mean_delta,a_star_checked_pool_size_mean_delta,selected_viewpoint_rank_mean_delta
,open_water,static,infosampled_pool_v1,simple_ring_v1,-2.0,,-1.0,-0.33333333333333337,-1.0,0.2617967332123412,120.0,-0.990016025997857,0.4391025641025621,0.4391025641025621,5.772435897435898,-0.22115384615384626
,open_water,static,infosampled_pool_v1,simple_ring_v1,-3.0,60.0,0.0,0.0,0.0,0.1411070780399274,60.0,-4.846802024529072,-0.13157894736842124,-0.13157894736842124,5.368421052631579,-0.285425101214575
,open_water,static,infosampled_pool_v1,simple_ring_v1,-14.0,,-1.0,-0.33333333333333337,-1.0,0.23185117967332125,42.0,-2.4720366667755407,1.3249999999999993,1.3249999999999993,5.949999999999999,-0.5916666666666663
,open_water,static,infosampled_pool_v1,simple_ring_v1,30.0,,-1.0,-0.33333333333333337,-1.0,-0.06624319419237745,24.0,-10.008999999782564,-0.03090909090909122,-0.03090909090909122,4.969090909090909,0.05090909090909079
,open_water,static,infosampled_pool_v1,simple_ring_v1,-3.0,21.0,0.0,0.0,0.0,-0.00045372050816694376,21.0,-5.658735873063904,-0.17596371882086004,-0.17596371882086004,4.979591836734695,-0.30249433106575996
,open_water,static,infosampled_pool_v1,simple_ring_v1,0.0,-70.0,0.0,0.0,0.0,-0.21778584392014522,-70.0,-5.494805128516115,0.8846153846153832,0.8846153846153832,6.0,-1.2756410256410258
,open_water,static,infosampled_pool_v1,simple_ring_v1,-8.0,-72.0,0.0,0.0,0.0,-0.16923774954627946,-72.0,-6.324546140008888,0.59375,0.59375,6.0,0.3345588235294117
,open_water,static,infosampled_pool_v1,simple_ring_v1,-2.0,-22.0,0.0,0.0,0.0,-0.06215970961887474,-22.0,-3.371220394926734,1.5416666666666679,1.5416666666666679,6.75,0.03289473684210531
,open_water,static,infosampled_pool_v1,simple_ring_v1,0.0,,1.0,0.6666666666666667,2.0,0.00907441016333932,-69.0,-6.931572653285208,1.9387755102040813,1.9387755102040813,6.73469387755102,0.6000000000000001
,open_water,static,infosampled_pool_v1,simple_ring_v1,-2.0,,1.0,0.33333333333333337,1.0,-0.15517241379310348,-145.0,-4.770045327598574,0.8592910848549948,0.8592910848549948,5.471535982814178,-1.0085929108485496
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,-10.0,-95.0,0.0,0.0,0.0,-0.24549549549549549,-95.0,-3.02395411750231,1.029411764705884,1.029411764705884,6.0,-0.1352941176470588
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,-20.0,,1.0,0.33333333333333337,1.0,-0.07319819819819817,-108.0,-6.937328000497441,1.2859259259259268,1.2859259259259268,5.925925925925927,-0.013333333333333641
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,3.0,,0.0,0.0,0.0,0.1942567567567568,0.0,0.638582789230572,0.6209150326797399,0.6209150326797399,5.111111111111111,0.1960784313725492
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,1.0,-2.0,0.0,0.0,0.0,-0.08051801801801795,-2.0,-7.819414285742305,0.571428571428573,0.571428571428573,5.75,-0.17857142857142883
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,0.0,,1.0,0.6666666666666667,2.0,-0.43130630630630634,-178.0,-6.014707112164629,1.9056603773584904,1.9056603773584904,6.0,0.6429608127721336
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,0.0,-29.0,0.0,0.0,0.0,-0.0737612612612612,-29.0,-3.018163333232831,0.7666666666666657,0.7666666666666657,5.833333333333332,-0.20833333333333304
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,0.0,,0.0,0.0,0.0,-0.11148648648648651,0.0,-10.557905962502087,-0.3513207547169799,-0.3513207547169799,4.188679245283019,0.5735849056603772
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,3.0,,0.0,0.0,0.0,0.06475225225225223,0.0,-5.750416528389906,1.0626415094339627,1.0626415094339627,5.6226415094339615,0.12037735849056608
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,-4.0,,1.0,0.33333333333333337,1.0,-0.042229729729729715,-100.0,-10.970090616236234,1.9215686274509807,1.9215686274509807,6.372549019607842,-0.13935574229691872
,harbor_cove,static,infosampled_pool_v1,simple_ring_v1,0.0,37.0,0.0,0.0,0.0,0.034909909909909886,37.0,-9.429796060937932,1.59090909090909,1.59090909090909,6.0,-0.13636363636363624
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,-42.0,,1.0,0.6666666666666667,2.0,0.2552971576227391,-30.0,-3.1313110476289054,1.4885714285714258,1.4885714285714258,5.7885714285714265,-0.19619047619047647
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,0.0,-112.0,0.0,0.0,0.0,-0.3545219638242894,-112.0,-15.070881301172943,0.2032520325203251,0.2032520325203251,4.666666666666668,0.2032520325203251
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,25.0,-23.0,0.0,0.0,0.0,-0.16795865633074936,-23.0,-14.292470945724439,2.1621621621621614,2.1621621621621614,7.0,1.1173986486486487
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,23.0,,0.0,-0.3333333333333333,-1.0,-0.15865633074935404,0.0,-6.6184129376216205,0.5675779745860581,0.5675779745860581,5.567577974586058,-0.16211012706969585
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,-10.0,67.0,0.0,0.0,0.0,0.1359173126614987,67.0,-8.86583914279375,0.14285714285714235,0.14285714285714235,5.142857142857142,0.3990476190476189
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,-2.0,,0.0,0.3333333333333333,1.0,-0.15658914728682172,0.0,-11.459516326720738,1.1428571428571423,1.1428571428571423,6.0,0.18367346938775508
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,-1.0,,1.0,0.33333333333333337,1.0,-0.20878552971576236,-81.0,-16.156817708311642,1.4791666666666679,1.4791666666666679,6.0,-0.11458333333333348
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,9.0,,0.0,0.0,0.0,0.024289405684754573,0.0,-11.753808162972504,0.8775510204081627,0.8775510204081627,5.387755102040817,-0.20408163265306145
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,-2.0,,0.0,0.0,0.0,-0.05116279069767449,0.0,-18.283755569299363,0.4264455782312915,0.4264455782312915,4.905612244897959,0.5442176870748296
,peninsula_passage,static,infosampled_pool_v1,simple_ring_v1,0.0,-22.0,0.0,0.0,0.0,-0.0036175710594315014,-22.0,-7.579591553695945,0.5761689291101035,0.5761689291101035,5.345399698340874,0.35520361990950233
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,78.0,,-1.0,-0.33333333333333337,-1.0,0.4673321234119782,150.0,-1.7622098644251345,0.45464852607709716,0.45464852607709716,5.565759637188211,-0.2777777777777777
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,5.0,,1.0,0.33333333333333337,1.0,-0.24773139745916517,-77.0,-2.190367045345326,0.8333333333333321,0.8333333333333321,6.0,0.9242424242424243
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,-11.0,,1.0,0.33333333333333337,1.0,-0.2513611615245009,-126.0,-1.2581484472010978,1.5510204081632644,1.5510204081632644,6.73469387755102,-0.22360248447204967
