episode_seed,map_kind,target_motion_mode,policy_name,assignment_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,viewpoint_generation_mode,terminated_reason,completed_steps,time_to_first_detection,time_to_all_found,success_all_found,detection_rate,found_count,known_free_observation_ratio_final,path_length_total,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,reservation_wait_fallback_count,candidate_pool_size_mean,reachable_pool_size_mean,a_star_checked_pool_size_mean
0,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,232,7,232,True,1.0,3,0.6825817860300619,464,129.82876120680697,0.0,0.0,0,,,
1,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,227,38,227,True,1.0,3,0.7194960212201591,454,157.24134229072052,0.0,0.0022026431718061676,0,,,
2,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,184,150,184,True,1.0,3,0.6580459770114943,368,153.54516684775538,0.0,0.035326086956521736,0,,,
3,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,138,,False,0.6666666666666666,2,0.7141909814323607,480,161.4037816667557,0.0,0.029166666666666667,0,,,
4,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,49,,False,0.6666666666666666,2,0.853448275862069,480,169.08685125005528,0.0,0.0,0,,,
5,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,183,111,183,True,1.0,3,0.7033598585322723,366,145.7651633880759,0.0,0.0,0,,,
6,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,49,30,49,True,1.0,3,0.24071618037135278,98,115.35794897994195,0.0,0.030612244897959183,0,,,
7,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,94,55,94,True,1.0,3,0.4374447391688771,188,129.61881914924697,0.0,0.0,0,,,
8,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,44,,False,0.6666666666666666,2,0.7526525198938993,480,147.59725833335628,0.0,0.035416666666666666,0,,,
9,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,161,30,161,True,1.0,3,0.6301945181255526,322,121.52090372671087,0.0,0.021739130434782608,0,,,
0,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,,,False,0.0,0,0.8464912280701754,480,135.65273083357474,0.0,0.025,0,,,
1,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,207,150,207,True,1.0,3,0.8612938596491229,414,136.98753429939708,0.0,0.0,0,,,
2,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,115,,False,0.3333333333333333,1,0.8692434210526315,480,142.16475916672002,0.0,0.04583333333333333,0,,,
3,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,41,12,41,True,1.0,3,0.2576754385964912,82,103.10282439054501,0.0,0.0,0,,,
4,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,135,13,135,True,1.0,3,0.5992324561403509,270,125.360487407414,0.0,0.0,0,,,
5,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,26,,False,0.6666666666666666,2,0.8555372807017544,480,157.28403708343043,0.0,0.041666666666666664,0,,,
6,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,63,18,63,True,1.0,3,0.3730811403508772,126,106.33870952375536,0.0,0.0,0,,,
7,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,,,False,0.0,0,0.9002192982456141,480,139.67260666657543,0.0,0.0,0,,,
8,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,63,,False,0.6666666666666666,2,0.8097587719298246,480,125.40692750011051,0.004166666666666667,0.0125,0,,,
9,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,142,19,142,True,1.0,3,0.6167763157894737,284,178.34227535245768,0.0,0.01056338028169014,0,,,
0,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,114,,False,0.6666666666666666,2,0.8222333500250375,480,248.9026895834589,0.0,0.020833333333333332,0,,,
1,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,21,,False,0.6666666666666666,2,0.6752628943415123,480,210.93304458340754,0.0,0.022916666666666665,0,,,
2,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,13,,False,0.6666666666666666,2,0.8067100650976464,480,263.7620858333169,0.0,0.0125,0,,,
3,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,88,,False,0.6666666666666666,2,0.6226840260390586,480,227.83142375007324,0.0,0.008333333333333333,0,,,
4,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,182,32,182,True,1.0,3,0.6634952428642964,364,242.87110384620274,0.0,0.013736263736263736,0,,,
5,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,181,29,181,True,1.0,3,0.6875312969454181,362,207.93049171259764,0.0,0.013812154696132596,0,,,
6,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,150,39,150,True,1.0,3,0.5368052078117176,300,235.24518066665527,0.0,0.02666666666666667,0,,,
7,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,211,154,211,True,1.0,3,0.6594892338507762,422,212.18505165880651,0.0,0.0,0,,,
8,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,235,48,235,True,1.0,3,0.6492238357536304,470,243.70973702124445,0.0,0.0,0,,,
9,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,114,,False,0.6666666666666666,2,0.7661492238357537,480,277.16604625003737,0.0,0.03333333333333333,0,,,
