episode_seed,map_kind,target_motion_mode,policy_name,assignment_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,viewpoint_generation_mode,terminated_reason,completed_steps,time_to_first_detection,time_to_all_found,success_all_found,detection_rate,found_count,known_free_observation_ratio_final,path_length_total,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,reservation_wait_fallback_count,candidate_pool_size_mean,reachable_pool_size_mean,a_star_checked_pool_size_mean
0,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,89,7,89,True,1.0,3,0.4248452696728559,178,111.18661011235244,0.0,0.0,0,,,
1,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,216,37,216,True,1.0,3,0.6494252873563219,432,122.65000648145124,0.0,0.0,0,,,
2,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,129,,False,0.3333333333333333,1,0.8355437665782494,480,136.7779608333649,0.0,0.014583333333333334,0,,,
3,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,76,,False,0.6666666666666666,2,0.7796198054818745,480,147.92911666669775,0.0,0.0,0,,,
4,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,121,,False,0.3333333333333333,1,0.7705570291777188,480,128.73924250002347,0.0,0.0020833333333333333,0,,,
5,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,194,89,194,True,1.0,3,0.7066755083996463,388,118.43824690727958,0.0,0.010309278350515464,0,,,
6,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,170,24,170,True,1.0,3,0.6067639257294429,340,135.78588705889106,0.0,0.020588235294117647,0,,,
7,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,103,57,103,True,1.0,3,0.40738284703801947,206,104.9684679610878,0.0,0.014563106796116505,0,,,
8,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,225,85,225,True,1.0,3,0.6642351900972591,450,129.32854577782564,0.0,0.07333333333333333,0,,,
9,open_water,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,28,,False,0.6666666666666666,2,0.7097701149425287,480,107.29691208335528,0.0,0.0,0,,,
0,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,143,,False,0.3333333333333333,1,0.7900219298245614,480,125.06460874997174,0.0,0.020833333333333332,0,,,
1,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,144,,False,0.6666666666666666,2,0.8453947368421053,480,142.33091916670068,0.0,0.04583333333333333,0,,,
2,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,134,,False,0.6666666666666666,2,0.8226425438596491,480,125.72570124992428,0.0,0.01875,0,,,
3,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,40,13,40,True,1.0,3,0.2513706140350877,80,92.43862250004895,0.0,0.0,0,,,
4,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,160,12,160,True,1.0,3,0.715734649122807,320,105.93332312515713,0.0,0.065625,0,,,
5,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,212,53,212,True,1.0,3,0.8253837719298246,424,111.91324622642533,0.0,0.0,0,,,
6,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,70,18,70,True,1.0,3,0.40597587719298245,140,98.49460142850148,0.0,0.0,0,,,
7,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,32,,False,0.6666666666666666,2,0.7648026315789473,480,129.9990233333953,0.0,0.022916666666666665,0,,,
8,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,220,75,220,True,1.0,3,0.8207236842105263,440,108.75643318188601,0.0,0.07272727272727272,0,,,
9,harbor_cove,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,238,25,238,True,1.0,3,0.8514254385964912,476,134.89346386549408,0.0,0.02100840336134454,0,,,
0,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,107,,False,0.3333333333333333,1,0.7486229344016024,480,317.9324516666611,0.0,0.0,0,,,
1,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,17,,False,0.6666666666666666,2,0.6952929394091136,480,176.6767287500064,0.0,0.0020833333333333333,0,,,
2,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,14,,False,0.6666666666666666,2,0.6649974962443665,480,145.58836041666532,0.0,0.0,0,,,
3,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,89,,False,0.3333333333333333,1,0.7190786179268903,480,197.37595750008646,0.0,0.0,0,,,
4,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,all_found,155,52,155,True,1.0,3,0.6261892839258888,310,212.3391387096842,0.0,0.0,0,,,
5,peninsula_passage,static,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,simple_ring_v1,max_iters,240,27,,False,0.6666666666666666,2,0.7205808713069605,480,212.41573041669804,0.0,0.0,0,,,
