episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,viewpoint_generation_mode,path_safety_mode,anomaly_tail_quantile,anomaly_weight_lambda,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,101,,0.6666666666666666,2,0.8207803992740472,16.075975510203737,240,0.0026041666666666665,0.0026041666666666665,8.770833333333334,0,0.09900990099009901,0.05121678326459852
1,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,66,232,1.0,3,0.6247731397459165,14.438443750001065,232,0.0026939655172413795,0.0026939655172413795,7.327586206896552,0,0.3939393939393939,0.0560046334497969
2,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,53,139,1.0,3,0.5453720508166969,16.700928571426385,139,0.0044964028776978415,0.0044964028776978415,8.690647482014388,0,0.1509433962264151,0.04615175609634131
3,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,152,,0.6666666666666666,2,0.677858439201452,14.008900000002313,240,0.006076388888888889,0.006076388888888889,8.4625,0,0.375,0.048067094353428284
4,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,38,161,1.0,3,0.559437386569873,14.173018181815788,161,0.0038819875776397515,0.0038819875776397515,6.484472049689441,0,0.13157894736842105,0.051806082203403
5,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,11,54,1.0,3,0.23139745916515425,14.423718181810521,54,0.011574074074074073,0.011574074074074073,6.537037037037037,0,0.09090909090909091,0.05003406762774005
6,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,28,95,1.0,3,0.35390199637023595,16.36495499999171,95,0.006578947368421052,0.006578947368421052,9.589473684210526,0,0.6428571428571429,0.05371746153250975
7,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,40,109,1.0,3,0.4101633393829401,15.089031818180585,109,0.005733944954128441,0.005733944954128441,9.495412844036696,0,0.125,0.04691453394371604
8,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,156,,0.6666666666666666,2,0.7726860254083484,22.010489795925004,240,0.0026041666666666665,0.0026041666666666665,8.041666666666666,0,0.1987179487179487,0.049010269995917004
9,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,66,88,1.0,3,0.3588929219600726,22.221272222222094,88,0.007102272727272727,0.007102272727272727,7.9772727272727275,0,0.4696969696969697,0.05299773574992678
0,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,20,88,1.0,3,0.3755630630630631,23.094216666669986,88,0.007102272727272727,0.007102272727272727,8.522727272727273,0,0.5,0.07217091940674719
1,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,38,,0.6666666666666666,2,0.8592342342342343,21.675893999997697,240,0.0026041666666666665,0.0026041666666666665,4.841666666666667,0,0.39473684210526316,0.05948317690317186
2,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,36,145,1.0,3,0.6807432432432432,18.51802666666534,145,0.004310344827586207,0.004310344827586207,6.255172413793104,0,0.027777777777777776,0.06041609392483639
3,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,36,,0.6666666666666666,2,0.8181306306306306,26.58819215685851,240,0.0026041666666666665,0.0026041666666666665,4.041666666666667,0,0.16666666666666666,0.055064035671878564
4,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,62,214,1.0,3,0.6762387387387387,18.487584782606163,214,0.0029205607476635513,0.0029205607476635513,4.91588785046729,0,0.12903225806451613,0.07388422280302669
5,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,18,,0.6666666666666666,2,0.7297297297297297,18.388052000003654,240,0.0026041666666666665,0.0026041666666666665,5.208333333333333,0,0.16666666666666666,0.05691801276328486
6,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,46,,0.6666666666666666,2,0.8496621621621622,16.308196000002226,240,0.0067708333333333336,0.0067708333333333336,4.929166666666666,0,0.13043478260869565,0.05595894087347009
7,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,35,217,1.0,3,0.6936936936936937,16.64312826086762,217,0.002880184331797235,0.002880184331797235,4.529953917050691,0,0.0,0.050010461307298665
8,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,18,,0.6666666666666666,2,0.8063063063063063,21.618331999993643,240,0.0026041666666666665,0.0026041666666666665,5.020833333333333,0,1.0,0.08458487499246074
9,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,17,,0.6666666666666666,2,0.7623873873873874,15.444008163274015,240,0.0026041666666666665,0.0026041666666666665,5.375,0,0.11764705882352941,0.05103616375779609
0,peninsula_passage,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,64,,0.6666666666666666,2,0.7338501291989664,22.009922916673474,240,0.0026041666666666665,0.0026041666666666665,3.3958333333333335,0,0.296875,0.055960709997663664
1,peninsula_passage,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,30,154,1.0,3,0.5963824289405685,20.97925483871765,154,0.004058441558441558,0.004058441558441558,3.9220779220779223,0,0.5,0.05498230074644568
2,peninsula_passage,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,88,,0.6666666666666666,2,0.7338501291989664,19.50764901962385,240,0.0026041666666666665,0.0026041666666666665,3.691666666666667,0,0.375,0.0693033924716742
3,peninsula_passage,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,53,,0.6666666666666666,2,0.7395348837209302,18.786897916662326,240,0.0026041666666666665,0.0026041666666666665,3.7083333333333335,0,0.05660377358490566,0.05559230047242251
