episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,viewpoint_generation_mode,path_safety_mode,anomaly_tail_quantile,anomaly_weight_lambda,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,64,118,1.0,3,0.45462794918330307,14.864562500254882,118,0.005296610169491525,0.005296610169491525,7.076271186440678,0,0.375,0.050145101438836305
1,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,59,172,1.0,3,0.6120689655172413,14.799340000068437,172,0.003633720930232558,0.003633720930232558,7.843023255813954,0,0.4067796610169492,0.050665021101046995
2,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,84,,0.6666666666666666,2,0.631578947368421,22.595320000327774,240,0.0026041666666666665,0.0026041666666666665,5.920833333333333,0,0.2857142857142857,0.05954751692591587
3,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,38,,0.6666666666666666,2,0.7000907441016334,17.012624489603805,240,0.0026041666666666665,0.0026041666666666665,8.541666666666666,0,0.07894736842105263,0.047331544448202686
4,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,34,,0.6666666666666666,2,0.6683303085299456,18.965904081875234,240,0.0026041666666666665,0.0026041666666666665,7.758333333333334,0,0.4117647058823529,0.05059382407219224
5,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,12,215,1.0,3,0.6365698729582577,16.370320454701538,215,0.0029069767441860465,0.0029069767441860465,10.065116279069768,0,0.16666666666666666,0.05552688961194375
6,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,42,102,1.0,3,0.3911070780399274,16.31773809484522,102,0.006127450980392157,0.006127450980392157,8.823529411764707,0,0.40476190476190477,0.05067882170343249
7,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,41,225,1.0,3,0.574410163339383,18.75693913066441,225,0.002777777777777778,0.002777777777777778,9.737777777777778,0,0.14634146341463414,0.04779653371282252
8,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,61,,0.6666666666666666,2,0.7817604355716878,19.659689795603022,240,0.0026041666666666665,0.0026041666666666665,8.179166666666667,0,0.3442622950819672,0.03959734567175931
9,open_water,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,52,,0.6666666666666666,2,0.6442831215970962,18.49980833352068,240,0.0026041666666666665,0.0026041666666666665,9.604166666666666,0,0.3269230769230769,0.04869584630000284
0,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,41,96,1.0,3,0.4594594594594595,14.203649999581103,96,0.006510416666666667,0.006510416666666667,7.15625,0,0.2682926829268293,0.07758580418660821
1,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,45,,0.6666666666666666,2,0.7432432432432432,19.02184807687053,240,0.0026041666666666665,0.0026041666666666665,5.416666666666667,0,0.3333333333333333,0.06865793621165517
2,harbor_cove,single_usv_infosampled,static,ucb,adaptive,marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,0.9,1.25,1.0,38,,0.6666666666666666,2,0.7635135135135135,21.40729999996884,240,0.0026041666666666665,0.0026041666666666665,5.625,0,0.07894736842105263,0.04780218001795623
