episode_seed,map_kind,system_name,assignment_mode,viewpoint_generation_mode,target_motion_mode,clue_acquisition_mode,anomaly_tail_quantile,anomaly_weight_lambda,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,11,90,1.0,3,0.4396551724137931,109.62289000000284,0.0,0.0,0,0,0,0.0,0,0,0.36363636363636365,0.031017761543938736
1,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,233,1.0,3,0.8419540229885057,102.01224763948484,0.0,0.002145922746781116,0,0,0,0.0,0,0,0.19047619047619047,0.025567017629607947
2,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,82,,0.6666666666666666,2,0.8167550839964633,138.81808333333458,0.0,0.0,0,0,0,0.0,0,0,0.25609756097560976,0.023762498521802247
3,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,158,230,1.0,3,0.8286914235190097,155.3416930434769,0.0,0.0,0,0,0,0.0,0,0,0.2974683544303797,0.020421690162520025
4,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,194,,0.3333333333333333,1,0.8045977011494253,142.14223291666457,0.0,0.0,0,0,0,0.0,0,0,0.2422680412371134,0.019109571912437794
5,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,68,146,1.0,3,0.5919540229885057,143.18419999999887,0.0,0.0,0,0,0,0.0,0,0,0.19852941176470587,0.02371521916437326
6,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,,0.6666666666666666,2,0.8351016799292661,135.9435650000061,0.0,0.0,0,0,0,0.0,0,0,0.14285714285714285,0.026039156527304628
7,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,43,169,1.0,3,0.6083112290008842,117.92109289941035,0.0,0.01775147928994083,0,0,0,0.0,0,0,0.12790697674418605,0.023513811827398586
8,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,20,,0.6666666666666666,2,0.8238284703801945,85.49090916666462,0.0,0.00625,0,0,0,0.0,0,0,0.35,0.029089709094688745
9,open_water,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,29,217,1.0,3,0.7519893899204244,94.87553225806629,0.0,0.0,0,0,0,0.0,0,0,0.06896551724137931,0.023945586917541437
0,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,148,,0.6666666666666666,2,0.884046052631579,78.72908250000516,0.0,0.0,0,0,0,0.0,0,0,0.24324324324324326,0.023692309404582414
1,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,72,,0.6666666666666666,2,0.8782894736842105,79.33294333333454,0.0,0.0,0,0,0,0.0,0,0,0.2222222222222222,0.028481408789896197
2,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,52,200,1.0,3,0.731359649122807,85.42124449999504,0.0,0.005,0,0,0,0.0,0,0,0.22115384615384615,0.02836684260493987
3,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,7,143,1.0,3,0.6025219298245614,81.91308881118556,0.0,0.006993006993006993,0,0,0,0.0,0,0,0.42857142857142855,0.038321600104769954
4,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,19,,0.6666666666666666,2,0.8993969298245614,83.59604416666335,0.0,0.0,0,0,0,0.0,0,0,0.18421052631578946,0.03511014401787454
5,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,18,147,1.0,3,0.6274671052631579,105.93788503401703,0.0,0.0,0,0,0,0.0,0,0,0.027777777777777776,0.03492472041296526
6,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,14,,0.6666666666666666,2,0.8495065789473685,140.19946583333743,0.0,0.05625,0,0,0,0.0,0,0,0.17857142857142858,0.03546906132568984
7,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,16,,0.6666666666666666,2,0.8859649122807017,126.83379708333338,0.0,0.0,0,0,0,0.0,0,0,0.0625,0.03974496179890743
8,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,119,,0.6666666666666666,2,0.8829495614035088,117.18745999999622,0.0,0.0,0,0,0,0.0,0,0,0.15966386554621848,0.029982427074769405
9,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,47,,0.6666666666666666,2,0.9117324561403509,111.97823458333478,0.0,0.0,0,0,0,0.0,0,0,0.19148936170212766,0.03529978788342863
