episode_seed,map_kind,system_name,assignment_mode,viewpoint_generation_mode,target_motion_mode,clue_acquisition_mode,anomaly_tail_quantile,anomaly_weight_lambda,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,7,,0.6666666666666666,2,0.8174182139699381,108.05892875000609,0.0,0.016666666666666666,0,0,0,0.0,0,0,0.42857142857142855,0.03523991513323586
1,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,41,178,1.0,3,0.6790450928381963,107.55320842705014,0.0,0.05337078651685393,0,0,0,0.0,0,0,0.24390243902439024,0.03352037260611443
2,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,166,,0.3333333333333333,1,0.8404067197170646,132.57479291667855,0.0,0.0,0,0,0,0.0,0,0,0.3313253012048193,0.029639332675705874
3,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,140,,0.3333333333333333,1,0.6427939876215738,172.8337016667259,0.0,0.04583333333333333,0,0,0,0.0,0,0,0.32142857142857145,0.01776349380287572
4,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,121,,0.6666666666666666,2,0.8218390804597702,156.29952291663662,0.0,0.010416666666666666,0,0,0,0.0,0,0,0.34297520661157027,0.020949745528981243
5,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,73,,0.3333333333333333,1,0.6589301503094607,149.91004541663338,0.0,0.0125,0,0,0,0.0,0,0,0.2328767123287671,0.022995625265019252
6,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,24,50,1.0,3,0.2495579133510168,120.71510400004627,0.0,0.03,0,0,0,0.0,0,0,0.16666666666666666,0.030390022186307153
7,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,61,83,1.0,3,0.3660477453580902,121.52649397545926,0.0,0.05421686746987952,0,0,0,0.0,0,0,0.2459016393442623,0.02580537118720688
8,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,76,204,1.0,3,0.7086648983200707,144.0822235296996,0.0,0.058823529411764705,0,0,0,0.0,0,0,0.3355263157894737,0.02838028808049118
9,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,28,,0.6666666666666666,2,0.8083554376657824,183.8213066667322,0.0,0.01875,0,0,0,0.0,0,0,0.07142857142857142,0.02493839418434681
0,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,146,,0.3333333333333333,1,0.7982456140350878,176.37307291674915,0.0,0.041666666666666664,0,0,0,0.0,0,0,0.21575342465753425,0.027968761471243365
1,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,78,,0.6666666666666666,2,0.8506030701754386,169.34873791674363,0.0,0.008333333333333333,0,0,0,0.0,0,0,0.23076923076923078,0.028045499589590527
2,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,49,,0.3333333333333333,1,0.8305921052631579,143.78432291681142,0.0,0.058333333333333334,0,0,0,0.0,0,0,0.2857142857142857,0.023089737663121182
3,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,12,44,1.0,3,0.2722039473684211,123.28086590886497,0.0,0.0,0,0,0,0.0,0,0,0.125,0.03696347291172007
4,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,13,,0.6666666666666666,2,0.8199013157894737,157.87242166675242,0.0,0.0,0,0,0,0.0,0,0,0.46153846153846156,0.038846189172098866
5,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,25,134,1.0,3,0.5940241228070176,136.20756716401087,0.0,0.011194029850746268,0,0,0,0.0,0,0,0.2,0.03549577484067714
6,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,15,175,1.0,3,0.6302083333333334,138.71283085702868,0.0,0.0,0,0,0,0.0,0,0,0.23333333333333334,0.03855878365952113
7,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,63,,0.6666666666666666,2,0.7754934210526315,153.50934333317431,0.0,0.0,0,0,0,0.0,0,0,0.2777777777777778,0.03494383582899445
8,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,63,,0.3333333333333333,1,0.825109649122807,175.4111454165013,0.0,0.0,0,0,0,0.0,0,0,0.23015873015873015,0.02880854736881315
9,harbor_cove,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,19,161,1.0,3,0.6633771929824561,142.29351180136584,0.0,0.018633540372670808,0,0,0,0.0,0,0,0.21052631578947367,0.0345337108950303
0,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,81,,0.6666666666666666,2,0.800200300450676,194.06881041663837,0.0,0.01875,0,0,0,0.0,0,0,0.20987654320987653,0.02481001533347388
1,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,,0.6666666666666666,2,0.8247371056584877,251.25655583309103,0.0,0.004166666666666667,0,0,0,0.0,0,0,0.38095238095238093,0.03372607085008327
2,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,12,,0.6666666666666666,2,0.628442663995994,183.1257287500648,0.0,0.0,0,0,0,0.0,0,0,0.5416666666666666,0.03869131005399185
3,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,184,227,1.0,3,0.8763144717075614,361.57539118933164,0.0,0.05286343612334802,0,0,0,0.0,0,0,0.20108695652173914,0.025533761274256907
4,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,32,,0.6666666666666666,2,0.7674011016524788,234.44590125010714,0.0,0.025,0,0,0,0.0,0,0,0.15625,0.03252512123554326
5,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,25,166,1.0,3,0.6169253880821232,199.42605843375148,0.0,0.0,0,0,0,0.0,0,0,0.34,0.03236586165381347
6,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,37,192,1.0,3,0.6226840260390586,204.62485572907477,0.0,0.0,0,0,0,0.0,0,0,0.22972972972972974,0.0268598034672452
7,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,178,228,1.0,3,0.7308462694041061,203.8567092105886,0.0,0.0,0,0,0,0.0,0,0,0.21348314606741572,0.026338891693246807
8,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,74,228,1.0,3,0.7521281922884326,177.65060570172065,0.0,0.03070175438596491,0,0,0,0.0,0,0,0.11486486486486487,0.031203289189999626
9,peninsula_passage,two_usv_coordinated,coordinated,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,72,,0.6666666666666666,2,0.6990485728592889,176.9667558333822,0.0,0.010416666666666666,0,0,0,0.0,0,0,0.0763888888888889,0.023481038459782725
0,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,7,,0.6666666666666666,2,0.6881078691423519,137.81806416665555,0.0,0.0,0,0,0,0.0,0,0,0.5,0.03513776156915978
1,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,44,,0.6666666666666666,2,0.8107869142351901,150.57836333329155,0.0,0.004166666666666667,0,0,0,0.0,0,0,0.3522727272727273,0.03430501072799477
2,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,94,177,1.0,3,0.7082228116710876,140.84471807907872,0.0,0.0,0,0,0,0.0,0,0,0.2978723404255319,0.025192055333002804
3,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,74,,0.3333333333333333,1,0.7579575596816976,191.0726375001559,0.0,0.0,0,0,0,0.0,0,0,0.22972972972972974,0.018166813094271452
4,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,196,,0.3333333333333333,1,0.7911140583554377,146.04220124995967,0.0,0.0,0,0,0,0.0,0,0,0.29591836734693877,0.021791080803232235
5,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,72,,0.6666666666666666,2,0.7068965517241379,119.04276624995873,0.0,0.004166666666666667,0,0,0,0.0,0,0,0.2361111111111111,0.021322782747401035
6,open_water,two_usv_coordinated,coordinated,simple_ring_v1,static,anomaly_upper_tail,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,24,52,1.0,3,0.258841732979664,94.2100519230455,0.0,0.028846153846153848,0,0,0,0.0,0,0,0.16666666666666666,0.030390022186307153
