episode_seed,map_kind,system_name,assignment_mode,viewpoint_generation_mode,target_motion_mode,clue_acquisition_mode,anomaly_tail_quantile,anomaly_weight_lambda,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,123,149,1.0,3,0.5663129973474801,50.20041342281684,0.006711409395973154,0.1644295302013423,0,0,0,0.0,0,0,0.34959349593495936,0.02497353515139348
1,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,95,,0.6666666666666666,2,0.7199381078691424,53.57102333333022,0.08333333333333333,0.35625,0,0,0,0.0,0,0,0.4473684210526316,0.030646189063027764
2,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,108,225,1.0,3,0.7524314765694076,93.87829822222126,0.05333333333333334,0.33111111111111113,0,0,0,0.0,0,0,0.3055555555555556,0.022110630338586942
3,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,211,,0.3333333333333333,1,0.671971706454465,75.1482787500012,0.0,0.24791666666666667,0,0,0,0.0,0,0,0.2938388625592417,0.020547233477127464
4,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,110,194,1.0,3,0.5970380194518126,72.24457474227005,0.0,0.03865979381443299,0,0,0,0.0,0,0,0.2909090909090909,0.01952264458892354
5,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,44,232,1.0,3,0.6916445623342176,80.9651991379315,0.21551724137931033,0.3857758620689655,2,2,0,0.0035919540229885053,0,0,0.22727272727272727,0.021732080322773014
6,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,25,,0.6666666666666666,2,0.7270114942528736,81.68870041666784,0.008333333333333333,0.23958333333333334,0,0,0,0.0,0,0,0.22,0.032227776461499186
7,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,43,97,1.0,3,0.4447391688770999,66.70427113401635,0.010309278350515464,0.15979381443298968,0,0,0,0.0,0,0,0.3023255813953488,0.023475645106015686
8,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,9,,0.6666666666666666,2,0.7336427939876216,65.98307083333263,0.0375,0.46875,0,0,0,0.0,0,0,0.0,0.02987268682065162
9,open_water,two_usv_independent,independent,simple_ring_v1,random_walk,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,133,,0.3333333333333333,1,0.6419098143236074,84.71421749999544,0.020833333333333332,0.3458333333333333,1,1,0,0.002673611111111111,0,0,0.2556390977443609,0.022223104988233842
