episode_seed,map_kind,system_name,assignment_mode,viewpoint_generation_mode,target_motion_mode,clue_acquisition_mode,anomaly_tail_quantile,anomaly_weight_lambda,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,7,221,1.0,3,0.5585764809902741,87.67150859738942,0.004524886877828055,0.3212669683257919,0,0,0,0.0008484162895927602,0,0,0.8571428571428571,0.034881554470864246
1,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,94,,0.6666666666666666,2,0.6485411140583555,86.07665291660851,0.0,0.38958333333333334,0,0,0,0.00026041666666666666,0,0,0.3829787234042553,0.02809344583008164
2,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,,,0.0,0,0.41423519009725907,39.74290583326668,0.0125,0.34375,2,2,0,0.004166666666666667,0,0,0.2125,0.021190644064942137
3,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,,,0.0,0,0.40981432360742703,45.91118375002831,0.04583333333333333,0.36666666666666664,4,4,0,0.005798611111111111,0,0,0.30416666666666664,0.017141019462285408
4,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,223,,0.3333333333333333,1,0.5426613616268788,59.74697416665246,0.008333333333333333,0.51875,0,0,0,0.0018799603174603173,0,0,0.289237668161435,0.020535947387931408
5,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,46,,0.3333333333333333,1,0.5713969938107869,77.40093041664598,0.008333333333333333,0.3375,0,0,0,0.0,0,0,0.25,0.02092536802762109
6,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,26,122,1.0,3,0.3138815207780725,62.986211475066234,0.0,0.13934426229508196,0,0,0,0.0005122950819672131,0,0,0.21153846153846154,0.03136795983613692
7,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,46,60,1.0,3,0.28779840848806365,55.724971666798716,0.0,0.05,0,0,0,0.0,0,0,0.31521739130434784,0.02372419571186926
8,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,44,164,1.0,3,0.5691865605658709,68.13185914662182,0.0,0.039634146341463415,0,0,0,0.0,0,0,0.26136363636363635,0.03411431709716634
9,open_water,two_usv_independent,independent,simple_ring_v1,static,ucb,0.9,1.25,soft_clearance_astar_v1,reservation_v1,1.0,1.0,129,,0.6666666666666666,2,0.6450044208664898,69.29923791653891,0.008333333333333333,0.30416666666666664,0,0,0,0.0,0,0,0.3372093023255814,0.02261556468300567
