episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,49,,0.3333333333333333,1,0.3547745358090186,35.9768135135218,240,0.0026041666666666665,0.0026041666666666665,16.1625,0,0.24489795918367346,0.021756815582512804
1,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,70,,0.3333333333333333,1,0.3010610079575597,32.54265263163497,240,0.0026041666666666665,0.0026041666666666665,16.8125,0,0.42857142857142855,0.02180491709577043
2,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3249336870026525,32.48195789474027,240,0.0026041666666666665,0.0026041666666666665,18.15,0,0.26666666666666666,0.020497072760090124
3,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,5,,0.3333333333333333,1,0.3052608311229001,32.38855526316049,240,0.0026041666666666665,0.0026041666666666665,17.120833333333334,0,0.0,0.02518044046044339
4,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,26,,0.3333333333333333,1,0.3353227232537577,31.994843589811165,240,0.0026041666666666665,0.0026041666666666665,15.025,0,0.6923076923076923,0.02175042004632963
5,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3068081343943413,31.50190526306879,240,0.0026041666666666665,0.0026041666666666665,17.529166666666665,0,0.44166666666666665,0.018895302446915375
6,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,74,,0.6666666666666666,2,0.36693191865605657,37.376421621563686,240,0.0026041666666666665,0.0026041666666666665,15.879166666666666,0,0.47297297297297297,0.025679033491266982
7,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,76,229,1.0,3,0.34880636604774534,32.50375277783254,229,0.0027292576419213972,0.0027292576419213972,15.729257641921397,0,0.42105263157894735,0.025197327361864863
8,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,43,,0.3333333333333333,1,0.30437665782493367,32.95647000002191,240,0.0026041666666666665,0.0026041666666666665,16.791666666666668,0,0.16279069767441862,0.02672455977205067
9,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.33355437665782495,31.7596567567946,240,0.0026041666666666665,0.0026041666666666665,16.820833333333333,0,0.4041666666666667,0.022705409670775677
