episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,55,223,1.0,3,0.838475499092559,18.593397058820674,223,0.002802690582959641,0.002802690582959641,7.488789237668161,0,0.0,0.04916368234791334
1,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,64,231,1.0,3,0.8071687840290381,18.47964054055361,231,0.0027056277056277055,0.0027056277056277055,8.134199134199134,0,0.40625,0.05269480261997906
2,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,64,,0.6666666666666666,2,0.7894736842105263,23.159708108053294,240,0.0026041666666666665,0.0026041666666666665,6.920833333333333,0,0.0,0.04567927651033089
3,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,84,,0.6666666666666666,2,0.7962794918330308,28.224759459467226,240,0.0026041666666666665,0.0026041666666666665,7.579166666666667,0,0.09523809523809523,0.045193015350877615
4,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,38,108,1.0,3,0.441470054446461,21.53892499995891,108,0.005787037037037037,0.005787037037037037,7.666666666666667,0,0.4473684210526316,0.05134025891141633
5,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,11,60,1.0,3,0.24954627949183303,20.40544444450158,60,0.010416666666666666,0.010416666666666666,7.6,0,0.0,0.049522119042283236
6,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,53,235,1.0,3,0.7513611615245009,17.677319444449797,235,0.0026595744680851063,0.0026595744680851063,7.85531914893617,0,0.41509433962264153,0.06165296809871411
7,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,38,68,1.0,3,0.28629764065335755,20.07685999979003,68,0.009191176470588236,0.009191176470588236,8.382352941176471,0,0.0,0.04705780184447975
8,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,92,,0.6666666666666666,2,0.7568058076225045,18.963780000080988,240,0.0026041666666666665,0.0026041666666666665,8.25,0,0.25,0.045133511928504205
9,open_water,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,78,98,1.0,3,0.382486388384755,18.537868750001962,98,0.006377551020408163,0.006377551020408163,8.071428571428571,0,0.5384615384615384,0.049384020199138824
0,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,50,,0.6666666666666666,2,0.829954954954955,21.487402777842767,240,0.0026041666666666665,0.0026041666666666665,5.125,0,0.0,0.0920791003931854
1,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,38,,0.6666666666666666,2,0.8125,20.45600263155441,240,0.0026041666666666665,0.0026041666666666665,4.2375,0,0.3684210526315789,0.059121196471560535
2,harbor_cove,single_usv_infosampled,random_walk,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,36,176,1.0,3,0.49605855855855857,21.32309310349981,176,0.0035511363636363635,0.0035511363636363635,3.6193181818181817,0,0.2222222222222222,0.06030826447635531
