episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,60,89,1.0,3,0.38475499092558985,18.018899999918045,89,0.007022471910112359,0.007022471910112359,7.022471910112359,0,0.06666666666666667,0.04701059076800659
1,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,60,120,1.0,3,0.4809437386569873,21.454489473734085,120,0.005208333333333333,0.005208333333333333,7.616666666666666,0,0.48333333333333334,0.050139973977289816
2,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,54,170,1.0,3,0.5821234119782214,17.425122222145244,170,0.003676470588235294,0.003676470588235294,8.3,0,0.18518518518518517,0.05230235381326602
3,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,52,,0.6666666666666666,2,0.7250453720508166,23.021313157809537,240,0.0026041666666666665,0.0026041666666666665,9.233333333333333,0,0.19230769230769232,0.052187906824667125
4,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,37,119,1.0,3,0.4532667876588022,20.847633333232807,119,0.005252100840336135,0.005252100840336135,7.705882352941177,0,0.43243243243243246,0.05105170368153453
5,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,12,69,1.0,3,0.2872050816696915,25.134780000189494,69,0.009057971014492754,0.009057971014492754,6.72463768115942,0,0.0,0.05486022763092142
6,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,65,235,1.0,3,0.7159709618874773,21.36638157887654,235,0.0026595744680851063,0.0026595744680851063,8.497872340425532,0,0.15384615384615385,0.06378126072578783
7,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,43,157,1.0,3,0.4823049001814882,22.747328000004927,157,0.003980891719745223,0.003980891719745223,8.171974522292993,0,0.18604651162790697,0.050883030642712115
8,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,65,,0.3333333333333333,1,0.7400181488203267,22.428452631581756,240,0.0026041666666666665,0.0026041666666666665,7.1125,0,0.35384615384615387,0.041930842885523976
9,open_water,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,50,74,1.0,3,0.30898366606170596,21.139700000028164,74,0.008445945945945946,0.008445945945945946,7.554054054054054,0,0.44,0.04878667280432122
0,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,57,191,1.0,3,0.5737612612612613,19.330986666712608,191,0.0032722513089005235,0.0032722513089005235,4.7539267015706805,0,0.017543859649122806,0.08661462974980275
1,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,39,,0.6666666666666666,2,0.7882882882882883,20.1662702703362,240,0.0026041666666666665,0.0026041666666666665,4.4125,0,0.23076923076923078,0.06230171949359124
2,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,38,190,1.0,3,0.7055180180180181,19.34857419353413,190,0.003289473684210526,0.003289473684210526,5.8578947368421055,0,0.07894736842105263,0.04804127281999995
3,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,38,,0.6666666666666666,2,0.7956081081081081,21.15686842097076,240,0.0026041666666666665,0.0026041666666666665,5.6375,0,0.2631578947368421,0.05602364281818911
4,harbor_cove,single_usv_infosampled,static,ucb,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,40,100,1.0,3,0.4408783783783784,17.932999999842043,100,0.00625,0.00625,7.13,0,0.125,0.07377700360673381
