Figure,Group,Map,Δsuccess (pp),ΔT_first
fig5_4_delta,single_static,open_water,30.0,-1.3
fig5_4_delta,single_static,obstacle_field,10.0,3.4
fig5_4_delta,single_static,peninsula_passage,30.0,3.9
fig5_4_delta,single_random_walk,open_water,10.0,-14.9
fig5_4_delta,single_random_walk,obstacle_field,20.0,-19.5
fig5_4_delta,single_random_walk,peninsula_passage,-10.0,-6.4
fig5_4_delta,two_static,open_water,0.0,-10.7
fig5_4_delta,two_static,obstacle_field,-10.0,1.6
fig5_4_delta,two_static,peninsula_passage,0.0,-6.4
fig5_4_delta,two_random_walk,open_water,20.0,-1.0
fig5_4_delta,two_random_walk,obstacle_field,10.0,0.6
fig5_4_delta,two_random_walk,peninsula_passage,10.0,15.2
