step,policy_name,clue_acquisition_mode,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,search_info_gain_raw,search_info_gain_norm,recency_bias_raw,recency_bias_norm,exec_cost_raw,exec_cost_norm,clearance_penalty_raw,segment_min_clearance_cells,segment_mean_clearance_cells,near_obstacle_step_flag,near_obstacle_step_ratio,path_safety_mode,planner_adaptation_mode,safe_nav_lambda_clearance,marginal_information_gain_raw,marginal_information_gain_norm,execution_cost_raw,execution_cost_norm,continuity_bonus_raw,continuity_bonus_anchor_raw,continuity_bonus_viewpoint_raw,marginal_information_gain_score_term,recency_bias_score_term,execution_cost_score_term,continuity_bonus_score_term,maneuver_penalty_raw,maneuver_penalty_score_term,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,anchor_info_clue_share,anchor_info_intensity_share,candidate_pool_size,reachable_pool_size,a_star_checked_pool_size,selected_viewpoint_rank,sampling_priority_raw,sampling_priority_norm,viewpoint_sampling_mode,selected_by_final_score,sssp_build_time_ms,path_reconstruct_time_ms,sampling_pool_build_time_ms,priority_feature_time_ms,tree_depth,tree_first_layer_top_m,tree_second_layer_top_n,tree_discount_gamma,tree_root_rank,tree_child_rank,tree_root_score_raw,tree_child_score_raw,tree_total_score,tree_conditional_gain_lvl2,tree_redundant_visible_ratio_lvl2,tree_unique_visible_count_lvl1,tree_unique_visible_count_lvl2,tree_expansion_count,tree_planning_time_ms,tree_child_oracle_score_raw,tree_child_budget_score_raw,tree_child_oracle_gap_raw,tree_child_oracle_rank_of_budgeted,tree_child_budget_matches_oracle,tree_child_oracle_viewpoint_cell,tree_child_budget_viewpoint_cell,tree_child_full_candidate_count,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,search_info_map_peak,search_info_map_mean,anomaly_viewpoint_prob,anomaly_viewpoint_weight,anomaly_viewpoint_acq,anomaly_visible_mean,selected_in_anomaly_top_band,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,initial_plan|commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,0,False,0,21,3.0,1.0099858793454168,0.01287128712871287,1.0,0.9283953279785104,0.4999999276192361,1.4999999276192362,0.02666855108435801,0.6050657853435824,False,0.0,0.0,0,False,,0
2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,1,False,0,22,2.9999999999999982,1.0113987562197344,0.01287128712871287,1.0,0.9415157155735544,0.5438171314026834,1.5438171314026834,0.03570713631247032,0.6188398103192794,True,0.0,0.0,0,False,,0
3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,2,False,0,23,3.0000000000000004,1.0121300189370048,0.01287128712871287,1.0,0.9362898552544052,0.46012428001009464,1.4601242800100946,0.026758952808015275,0.5718925939220901,False,0.0,0.0,0,False,,0
4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,3,False,0,24,3.0000000000000004,1.0125241084299397,0.01287128712871287,1.0,0.9250392487142367,0.3974869404152487,1.3974869404152486,0.025575683371325507,0.5080481719397925,False,0.0,0.0,0,False,,0
5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,4,False,0,25,3.0,1.0127424842808677,0.01287128712871287,1.0,0.9406422213620299,0.348426141880285,1.348426141880285,0.021853697335891976,0.5115894729866395,False,0.0,0.0,0,False,,0
6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,5,False,0,26,2.9999999999999996,1.0128659808856166,0.01287128712871287,1.0,0.9429706543962383,0.48809544934971755,1.4880954493497176,0.03617149937873578,0.5677350499424841,False,0.0,0.0,0,False,,0
7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,6,False,0,27,3.0,1.0129369198017744,0.01287128712871287,1.0,0.9461471462040726,0.5352199899079307,1.5352199899079308,0.04095834488055081,0.5839441758099118,True,0.0,0.0,0,False,,0
8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,7,False,0,28,3.0000000000000004,1.0129781767336283,0.01287128712871287,1.0,0.9564990420301431,0.5579006618759995,1.5579006618759994,0.04357089674075438,0.5887305173146214,True,0.0,0.0,0,False,,0
9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,8,False,0,29,3.0,1.0130024147035621,0.01287128712871287,1.0,0.9542618737577683,0.6918718083908775,1.6918718083908775,0.0569820025754311,0.6567679441444413,True,0.0,0.0,0,False,,0
10,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,9,False,0,30,3.0,1.013016774349387,0.01287128712871287,1.0,0.9558908128426546,0.6422458933593236,1.6422458933593236,0.0530129927978807,0.6213436411736034,True,0.0,0.0,0,False,,0
11,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",fallback_local,"(1, 1)",0,0.0,0.0,safe_nav_wait_fallback,True,commit_expired|segment_empty,0,0,safe_nav_wait,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,soft_clearance_astar_v1,no_kappa,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,,0.0,0.0,0.0,10,False,0,31,3.0,1.0130253422487365,0.01287128712871287,1.0,0.9516453166822596,0.6508178399368897,1.6508178399368898,0.0515082355527871,0.6335400801476686,True,0.0,0.0,0,False,,0
