step,policy_name,clue_acquisition_mode,mode,robot_cell,viewpoint_cell,segment_endpoint_cell,anchor_cell,anchor_source,anchor_centroid_cell,anchor_cluster_size,anchor_cluster_peak,anchor_cluster_mean,viewpoint_rule,replanned_this_step,replan_reason,commit_remaining,planned_commit_window,commit_policy,path_length_current,planned_segment_length,planned_viewpoint_path_length,segment_path_length,fraction_of_path_executed_before_replan,switch_count,explore_utility_raw,explore_utility_norm,focus_utility_raw,focus_utility_norm,recency_utility_raw,recency_utility_norm,search_info_gain_raw,search_info_gain_norm,recency_bias_raw,recency_bias_norm,exec_cost_raw,exec_cost_norm,clearance_penalty_raw,segment_min_clearance_cells,segment_mean_clearance_cells,near_obstacle_step_flag,near_obstacle_step_ratio,path_safety_mode,planner_adaptation_mode,safe_nav_lambda_clearance,marginal_information_gain_raw,marginal_information_gain_norm,execution_cost_raw,execution_cost_norm,continuity_bonus_raw,continuity_bonus_anchor_raw,continuity_bonus_viewpoint_raw,marginal_information_gain_score_term,recency_bias_score_term,execution_cost_score_term,continuity_bonus_score_term,maneuver_penalty_raw,maneuver_penalty_score_term,segment_turn_count,alpha_focus,kappa_commit,same_anchor_cluster,viewpoint_drift_norm,anchor_retention_bonus,viewpoint_retention_bonus,anchor_info_clue_share,anchor_info_intensity_share,candidate_pool_size,reachable_pool_size,a_star_checked_pool_size,selected_viewpoint_rank,sampling_priority_raw,sampling_priority_norm,viewpoint_sampling_mode,selected_by_final_score,sssp_build_time_ms,path_reconstruct_time_ms,sampling_pool_build_time_ms,priority_feature_time_ms,tree_depth,tree_first_layer_top_m,tree_second_layer_top_n,tree_discount_gamma,tree_root_rank,tree_child_rank,tree_root_score_raw,tree_child_score_raw,tree_total_score,tree_conditional_gain_lvl2,tree_redundant_visible_ratio_lvl2,tree_unique_visible_count_lvl1,tree_unique_visible_count_lvl2,tree_expansion_count,tree_planning_time_ms,tree_child_oracle_score_raw,tree_child_budget_score_raw,tree_child_oracle_gap_raw,tree_child_oracle_rank_of_budgeted,tree_child_budget_matches_oracle,tree_child_oracle_viewpoint_cell,tree_child_budget_viewpoint_cell,tree_child_full_candidate_count,u_turn_penalty_term,u_turn_penalty_applied,planned_first_move_dir,current_viewpoint_score,best_alternative_score,total_score,anchor_switch_count,focus_anchor_active,focus_on_anchor_cluster_steps,time_since_last_detection,remaining_intensity_mass,peak_intensity_ratio,known_free_observation_ratio,search_info_map_peak,search_info_map_mean,anomaly_viewpoint_prob,anomaly_viewpoint_weight,anomaly_viewpoint_acq,anomaly_visible_mean,selected_in_anomaly_top_band,effective_observation_gain,stale_refresh_ratio,detected_count_this_step,collision_this_step,collision_cell,path_invalidations_per_episode
1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(1, 2)","(27, 32)","(2, 8)","(30, 34)",search_info,"(30, 34)",3571,1.0,0.996947641394176,infosampled_priority,True,initial_plan|commit_expired|segment_empty,4,4,adaptive_knownmap_soft,8,8,57,8,0.0,1,44.26863961953124,0.0,5.086726895849682,0.0,0.0,0.0,49.35536651538092,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.35536651538092,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.49892417062180394,0.5010758293781961,16,16,16,1,-0.12697646623555503,1.0,shell,True,7.164599999669008,0.2553999947849661,0.594900000578491,0.28059999749530107,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,1,21,3.0,1.0062627044790298,0.008771929824561403,1.0,0.9842296645845047,0.4999999999999996,1.4999999999999996,0.7503374240966524,0.6093325151628053,True,0.1935483870967742,0.0,0,False,,0
2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(2, 2)","(27, 32)","(2, 8)","(30, 34)",search_info,"(30, 34)",3571,1.0,0.996947641394176,infosampled_priority,False,,3,4,adaptive_knownmap_soft,7,8,57,8,0.125,1,44.26863961953124,0.0,5.086726895849682,0.0,0.0,0.0,49.35536651538092,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.35536651538092,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.49892417062180394,0.5010758293781961,16,16,16,1,-0.12697646623555503,1.0,shell,True,7.164599999669008,0.2553999947849661,0.594900000578491,0.28059999749530107,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,2,22,3.0,1.008162145935549,0.010416666666666666,1.0,0.9445914698081547,0.4999999999999996,1.4999999999999996,0.7503374240966524,0.6093325151628053,True,0.16216216216216217,0.0,0,False,,0
3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(2, 3)","(27, 32)","(2, 8)","(30, 34)",search_info,"(30, 34)",3571,1.0,0.996947641394176,infosampled_priority,False,,2,4,adaptive_knownmap_soft,6,8,57,8,0.25,1,44.26863961953124,0.0,5.086726895849682,0.0,0.0,0.0,49.35536651538092,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.35536651538092,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.49892417062180394,0.5010758293781961,16,16,16,1,-0.12697646623555503,1.0,shell,True,7.164599999669008,0.2553999947849661,0.594900000578491,0.28059999749530107,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,3,23,3.000000000000001,1.0098874589594364,0.01206140350877193,1.0,0.9695661191514074,0.4999999999999996,1.4999999999999996,0.7503374240966524,0.6093325151628053,True,0.13953488372093023,0.0,0,False,,0
4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(2, 4)","(27, 32)","(2, 8)","(30, 34)",search_info,"(30, 34)",3571,1.0,0.996947641394176,infosampled_priority,False,,1,4,adaptive_knownmap_soft,5,8,57,8,0.375,1,44.26863961953124,0.0,5.086726895849682,0.0,0.0,0.0,49.35536651538092,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.35536651538092,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.49892417062180394,0.5010758293781961,16,16,16,1,-0.12697646623555503,1.0,shell,True,7.164599999669008,0.2553999947849661,0.594900000578491,0.28059999749530107,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,4,24,2.999999999999999,1.0116278846250093,0.013980263157894737,1.0,0.976051216429231,0.4999999999999996,1.4999999999999996,0.7503374240966524,0.6093325151628053,True,0.14285714285714285,0.0,0,False,,0
5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(2, 5)","(27, 32)","(2, 8)","(30, 34)",search_info,"(30, 34)",3571,1.0,0.996947641394176,infosampled_priority,False,,0,4,adaptive_knownmap_soft,4,8,57,8,0.5,1,44.26863961953124,0.0,5.086726895849682,0.0,0.0,0.0,49.35536651538092,0.0,0.0,0.0,8.625,0.0,0.125,1.0,1.875,True,0.125,soft_clearance_astar_v1,adaptive,1.0,49.35536651538092,0.0,8.625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2,0.0,0.0,False,0.0,0.0,0.0,0.49892417062180394,0.5010758293781961,16,16,16,1,-0.12697646623555503,1.0,shell,True,7.164599999669008,0.2553999947849661,0.594900000578491,0.28059999749530107,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",0.0,0.0,0.0,0,True,5,25,2.999999999999999,1.0133927863293513,0.015899122807017545,1.0,0.9755786037463998,0.4999999999999996,1.4999999999999996,0.7503374240966524,0.6093325151628053,True,0.12962962962962962,0.0,0,False,,0
6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(2, 6)","(28, 33)","(2, 13)","(31, 35)",search_info,"(31, 35)",3496,1.0,0.9984330520640735,infosampled_priority,True,commit_expired,4,4,adaptive_knownmap_soft,8,8,54,8,0.625,2,47.12113961953124,1.0,4.57758829346352,1.0,0.0,0.0,51.69872791299476,1.0,0.0,0.0,8.0,1.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69872791299476,1.0,8.0,1.0,0.0,0.0,0.0,6.5,0.0,-0.35,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4999999615446417,0.5000000384553583,24,24,18,2,0.028565795459925936,0.6951963026223985,shell,True,7.510899999033427,0.4881000095338095,1.3220999971963465,0.7414999890897889,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",6.15,6.15,6.15,0,True,6,26,3.000000000000001,1.0151760133764036,0.01781798245614035,1.0,0.9166697990529864,0.5,1.5,0.7503374240966526,0.5883768441659759,True,0.12727272727272726,0.0,0,False,,0
7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(2, 7)","(28, 33)","(2, 13)","(31, 35)",search_info,"(31, 35)",3496,1.0,0.9984330520640735,infosampled_priority,False,,3,4,adaptive_knownmap_soft,7,8,54,8,0.125,2,47.12113961953124,1.0,4.57758829346352,1.0,0.0,0.0,51.69872791299476,1.0,0.0,0.0,8.0,1.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69872791299476,1.0,8.0,1.0,0.0,0.0,0.0,6.5,0.0,-0.35,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4999999615446417,0.5000000384553583,24,24,18,2,0.028565795459925936,0.6951963026223985,shell,True,7.510899999033427,0.4881000095338095,1.3220999971963465,0.7414999890897889,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",6.15,6.15,6.15,0,True,7,27,2.999999999999999,1.0169684150787952,0.019736842105263157,1.0,0.9711205312258195,0.5,1.5,0.7503374240966526,0.5883768441659759,True,0.12727272727272726,0.0,0,False,,0
8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(2, 8)","(28, 33)","(2, 13)","(31, 35)",search_info,"(31, 35)",3496,1.0,0.9984330520640735,infosampled_priority,False,,2,4,adaptive_knownmap_soft,6,8,54,8,0.25,2,47.12113961953124,1.0,4.57758829346352,1.0,0.0,0.0,51.69872791299476,1.0,0.0,0.0,8.0,1.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69872791299476,1.0,8.0,1.0,0.0,0.0,0.0,6.5,0.0,-0.35,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4999999615446417,0.5000000384553583,24,24,18,2,0.028565795459925936,0.6951963026223985,shell,True,7.510899999033427,0.4881000095338095,1.3220999971963465,0.7414999890897889,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",6.15,6.15,6.15,0,True,8,28,3.0000000000000004,1.018767753836051,0.021655701754385966,1.0,0.9683997965618091,0.5,1.5,0.7503374240966526,0.5883768441659759,True,0.12727272727272726,0.0,0,False,,0
9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(2, 9)","(28, 33)","(2, 13)","(31, 35)",search_info,"(31, 35)",3496,1.0,0.9984330520640735,infosampled_priority,False,,1,4,adaptive_knownmap_soft,5,8,54,8,0.375,2,47.12113961953124,1.0,4.57758829346352,1.0,0.0,0.0,51.69872791299476,1.0,0.0,0.0,8.0,1.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69872791299476,1.0,8.0,1.0,0.0,0.0,0.0,6.5,0.0,-0.35,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4999999615446417,0.5000000384553583,24,24,18,2,0.028565795459925936,0.6951963026223985,shell,True,7.510899999033427,0.4881000095338095,1.3220999971963465,0.7414999890897889,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",6.15,6.15,6.15,0,True,9,29,2.999999999999999,1.0205741983600811,0.023574561403508772,1.0,0.9663589313818113,0.5,1.5,0.7503374240966526,0.5883768441659759,True,0.12727272727272726,0.0,0,False,,0
10,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,SEARCH,"(2, 10)","(28, 33)","(2, 13)","(31, 35)",search_info,"(31, 35)",3496,1.0,0.9984330520640735,infosampled_priority,False,,0,4,adaptive_knownmap_soft,4,8,54,8,0.5,2,47.12113961953124,1.0,4.57758829346352,1.0,0.0,0.0,51.69872791299476,1.0,0.0,0.0,8.0,1.0,0.0,2.0,2.0,False,0.0,soft_clearance_astar_v1,adaptive,1.0,51.69872791299476,1.0,8.0,1.0,0.0,0.0,0.0,6.5,0.0,-0.35,0.0,0.0,-0.0,0,0.0,0.0,True,0.282842712474619,0.0,0.0,0.4999999615446417,0.5000000384553583,24,24,18,2,0.028565795459925936,0.6951963026223985,shell,True,7.510899999033427,0.4881000095338095,1.3220999971963465,0.7414999890897889,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,False,,,0,0.0,False,"(0, 1)",6.15,6.15,6.15,0,True,10,30,3.0,1.0223872971996915,0.02549342105263158,1.0,0.9603524198581828,0.5,1.5,0.7503374240966526,0.5883768441659759,True,0.12727272727272726,0.0,0,False,,0
