episode_seed,map_kind,system_name,assignment_mode,target_motion_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,10,85,1.0,3,0.4208664898320071,129.23750823530528,0.0,0.0,0,0,0,0.0,0,0,0.45,0.026377010335305817
1,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,,0.6666666666666666,2,0.7559681697612732,107.58547708333595,0.0,0.004166666666666667,0,0,0,0.0,0,0,0.0,0.025317593625628132
2,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,83,,0.6666666666666666,2,0.8554376657824934,115.70309624999975,0.0,0.0,0,0,0,0.0,0,0,0.24096385542168675,0.02185108221604859
3,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,81,,0.3333333333333333,1,0.7508841732979664,108.23689083333458,0.0,0.029166666666666667,0,0,0,0.0,0,0,0.24074074074074073,0.02006434730375187
4,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,152,238,1.0,3,0.8320070733863837,104.28358907563411,0.0,0.0,0,0,0,0.0,0,0,0.26973684210526316,0.02210113221293564
5,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,67,,0.6666666666666666,2,0.7869142351900973,105.08832249999405,0.0,0.03125,0,0,0,0.0,0,0,0.1865671641791045,0.025507740121688296
6,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,,0.6666666666666666,2,0.8591954022988506,112.99039375000366,0.0,0.0,0,0,0,0.0,0,0,0.09523809523809523,0.026071372735985254
7,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,43,77,1.0,3,0.3768788682581786,115.98241428569881,0.0,0.0,0,0,0,0.0,0,0,0.1744186046511628,0.023272918165696876
8,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,113,,0.6666666666666666,2,0.862290008841733,103.36551958332052,0.0,0.0,0,0,0,0.0,0,0,0.2831858407079646,0.03200621976991558
9,open_water,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,30,151,1.0,3,0.5815649867374005,108.26709470198325,0.0,0.0,0,0,0,0.0,0,0,0.03333333333333333,0.024247660497444957
0,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,152,222,1.0,3,0.8105811403508771,112.85583378378817,0.0,0.0,0,0,0,0.0,0,0,0.21710526315789475,0.023003429125808487
1,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,157,,0.6666666666666666,2,0.871984649122807,113.40077124999746,0.0,0.0625,0,0,0,0.0,0,0,0.2770700636942675,0.024564069210346966
2,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,43,,0.6666666666666666,2,0.7891995614035088,115.96034000000846,0.0,0.0,0,0,0,0.0,0,0,0.1511627906976744,0.025306720781735157
3,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,7,,0.6666666666666666,2,0.8717105263157895,118.17582333332835,0.0,0.05,0,0,0,0.0,0,0,0.2857142857142857,0.037710285479630984
4,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,24,140,1.0,3,0.6691337719298246,112.74348071428092,0.0,0.0,0,0,0,0.0,0,0,0.10416666666666667,0.04301022781371199
5,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,64,,0.6666666666666666,2,0.8640350877192983,117.75077124999598,0.0,0.008333333333333333,0,0,0,0.0,0,0,0.21875,0.03461182779215565
6,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,15,132,1.0,3,0.6354166666666666,106.55695227271598,0.0,0.0,0,0,0,0.0,0,0,0.06666666666666667,0.03864934593104812
7,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,45,,0.6666666666666666,2,0.9172149122807017,108.64561750000709,0.0,0.0,0,0,0,0.0,0,0,0.2222222222222222,0.03880473573269496
8,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,63,,0.6666666666666666,2,0.7916666666666666,122.2660783333358,0.0,0.04791666666666667,0,0,0,0.0,0,0,0.1984126984126984,0.02690174174704351
9,harbor_cove,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,60,,0.6666666666666666,2,0.8596491228070176,125.70440291666311,0.0,0.029166666666666667,0,0,0,0.0,0,0,0.13333333333333333,0.032880776961023074
0,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,86,,0.3333333333333333,1,0.9028542814221332,161.50801041666418,0.0,0.17291666666666666,0,0,0,0.0,0,0,0.22093023255813954,0.026771735886767244
1,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,20,,0.6666666666666666,2,0.8627941912869304,150.73750333332993,0.0,0.10416666666666667,0,0,0,0.0,0,0,0.2,0.03179319617105187
2,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,11,81,1.0,3,0.3768152228342514,154.67713580249628,0.0,0.0,0,0,0,0.0,0,0,0.09090909090909091,0.062089078231755745
3,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,88,175,1.0,3,0.7333500250375563,154.7278302857012,0.0,0.037142857142857144,0,0,0,0.0,0,0,0.2727272727272727,0.025204416837631638
4,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,26,,0.6666666666666666,2,0.8880821231847772,146.2053366666756,0.0,0.12083333333333333,0,0,0,0.0,0,0,0.09615384615384616,0.03240955551150588
5,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,106,161,1.0,3,0.6009013520280421,180.8309217391262,0.0,0.12732919254658384,0,0,0,0.0,0,0,0.30660377358490565,0.030361950407525706
6,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,58,159,1.0,3,0.5878818227341012,131.66177106918812,0.0,0.006289308176100629,0,0,0,0.0,0,0,0.3706896551724138,0.02800548280784735
7,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,143,221,1.0,3,0.7731597396094141,144.48183619910756,0.0,0.11764705882352941,0,0,0,0.0,0,0,0.27972027972027974,0.02641055395926663
8,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,201,,0.6666666666666666,2,0.857035553329995,141.51163083334384,0.0,0.11666666666666667,0,0,0,0.0,0,0,0.26865671641791045,0.022986915242045883
9,peninsula_passage,two_usv_coordinated,coordinated,random_walk,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,,,0.0,0,0.8517776664997496,185.04740250000395,0.0,0.027083333333333334,0,0,0,0.0,0,0,0.3,0.024793541865558964
0,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,11,82,1.0,3,0.41158267020335987,118.66313170730237,0.0,0.0,0,0,0,0.0,0,0,0.5454545454545454,0.030475781790922
1,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,,0.6666666666666666,2,0.8074712643678161,110.36859208332619,0.0,0.11458333333333333,0,0,0,0.0,0,0,0.0,0.025317593625628132
2,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,75,181,1.0,3,0.7495579133510168,113.75938784530871,0.0,0.0,0,0,0,0.0,0,0,0.24666666666666667,0.02215140571302042
3,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,81,,0.6666666666666666,2,0.8362068965517241,116.76633874999236,0.0,0.0,0,0,0,0.0,0,0,0.20987654320987653,0.020051417723578095
4,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,207,,0.6666666666666666,2,0.8868258178603006,114.0827675000196,0.0,0.0,0,0,0,0.0,0,0,0.2246376811594203,0.022244529732554454
5,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,44,172,1.0,3,0.613395225464191,116.19799418599806,0.0,0.03197674418604651,0,0,0,0.0,0,0,0.125,0.02136799188349319
6,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,56,1.0,3,0.26702033598585323,110.97067142859325,0.0,0.0,0,0,0,0.0,0,0,0.09523809523809523,0.026071372735985254
7,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,43,74,1.0,3,0.36847922192749777,120.00308108108706,0.0,0.0,0,0,0,0.0,0,0,0.16279069767441862,0.023272918165696876
8,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,58,,0.6666666666666666,2,0.8399646330680813,117.39946791666777,0.0,0.014583333333333334,0,0,0,0.0,0,0,0.19827586206896552,0.036065819614873866
9,open_water,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,30,171,1.0,3,0.6511936339522546,139.2693461988481,0.0,0.0,0,0,0,0.0,0,0,0.03333333333333333,0.024247660497444957
0,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,159,237,1.0,3,0.8870614035087719,121.31212447258481,0.0,0.008438818565400843,0,0,0,0.0,0,0,0.2578616352201258,0.023424285507890868
1,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,88,,0.3333333333333333,1,0.7996162280701754,126.08645833332162,0.0,0.0125,0,0,0,0.0,0,0,0.32386363636363635,0.025306942351137854
2,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,108,,0.3333333333333333,1,0.846765350877193,118.35784708330834,0.0,0.022916666666666665,0,0,0,0.0,0,0,0.2361111111111111,0.03169245654305411
3,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,8,58,1.0,3,0.35526315789473684,138.92744482758457,0.0,0.0,0,0,0,0.0,0,0,0.3125,0.041431273345595585
4,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,24,150,1.0,3,0.7058662280701754,120.08762400001008,0.0,0.0,0,0,0,0.0,0,0,0.16666666666666666,0.04301022781371199
5,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,60,220,1.0,3,0.8360745614035088,138.20085863634506,0.0,0.004545454545454545,0,0,0,0.0,0,0,0.125,0.03447100362529755
6,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,14,81,1.0,3,0.4766995614035088,136.14838888885555,0.0,0.0,0,0,0,0.0,0,0,0.07142857142857142,0.036343232088664364
7,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,,,0.0,0,0.8368969298245614,119.77015041665975,0.0,0.0,0,0,0,0.0,0,0,0.24791666666666667,0.027729823112400794
8,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,150,,0.6666666666666666,2,0.8185307017543859,120.02874999999449,0.0,0.0,0,0,0,0.0,0,0,0.2,0.025783283855766455
9,harbor_cove,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,159,,0.3333333333333333,1,0.8212719298245614,133.6968783333115,0.0,0.014583333333333334,0,0,0,0.0,0,0,0.25157232704402516,0.02927099790358676
0,peninsula_passage,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,96,219,1.0,3,0.7986980470706059,151.67478310501158,0.0,0.04337899543378995,0,0,0,0.0,0,0,0.19791666666666666,0.026133324838239012
1,peninsula_passage,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,24,,0.6666666666666666,2,0.9068602904356535,151.0443283333283,0.0,0.07708333333333334,0,0,0,0.0,0,0,0.2708333333333333,0.03351935549523091
2,peninsula_passage,two_usv_coordinated,coordinated,random_walk,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,11,77,1.0,3,0.3189784677015523,168.25083376623346,0.0,0.0,0,0,0,0.0,0,0,0.09090909090909091,0.062089078231755745
