episode_seed,map_kind,system_name,assignment_mode,target_motion_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,8,120,1.0,3,0.5134836427939876,164.1604725000055,0.0,0.020833333333333332,0,0,0,0.0,0,0,0.75,0.035311186653919795
1,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,37,,0.3333333333333333,1,0.7617152961980548,210.283267916653,0.0,0.035416666666666666,0,0,0,0.0,0,0,0.05405405405405406,0.03323929870655274
2,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,95,,0.3333333333333333,1,0.7537577365163572,191.86931458337236,0.0,0.0,0,0,0,0.0,0,0,0.22631578947368422,0.025684045131918493
3,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,78,,0.3333333333333333,1,0.8465959328028294,259.9058237499965,0.0,0.0,0,0,0,0.0,0,0,0.23717948717948717,0.018076372535058335
4,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,190,235,1.0,3,0.7546419098143236,188.79312425529434,0.0,0.0,0,0,0,0.0,0,0,0.2710526315789474,0.023136813050086493
5,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,46,223,1.0,3,0.7765251989389921,203.88972511202743,0.0,0.0,0,0,0,0.0,0,0,0.11956521739130435,0.02172466300948056
6,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,50,,0.6666666666666666,2,0.8320070733863837,179.89029041667285,0.0,0.0,0,0,0,0.0,0,0,0.31,0.04240758268224839
7,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,45,66,1.0,3,0.32360742705570295,167.7978378787829,0.0,0.0,0,0,0,0.0,0,0,0.17777777777777778,0.02370041847797815
8,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,57,,0.3333333333333333,1,0.830238726790451,9515.542986666685,0.0,0.0020833333333333333,0,0,0,0.0,0,0,0.21929824561403508,0.03557777694622696
9,open_water,two_usv_coordinated,coordinated,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,30,152,1.0,3,0.5999115826702034,380.810459868467,0.0,0.0,0,0,0,0.0,0,0,0.03333333333333333,0.026680181111838685
