episode_seed,map_kind,system_name,assignment_mode,target_motion_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,6,212,1.0,3,0.7115384615384616,219.7039089622383,0.0047169811320754715,0.25943396226415094,0,0,0,0.0,0,0,0.8333333333333334,0.03360098314667859
1,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,18,,0.6666666666666666,2,0.5366931918656057,86.37737666672365,0.0,0.275,0,0,0,0.0,0,0,0.0,0.027877702315431904
2,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,195,,0.3333333333333333,1,0.7106542882404951,111.88355166668013,0.0,0.6666666666666666,0,0,0,0.0,0,0,0.36153846153846153,0.02237990741872486
3,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,128,,0.3333333333333333,1,0.5592396109637489,78.46599750001435,0.004166666666666667,0.23541666666666666,0,0,0,0.0,0,0,0.3671875,0.01822591055594139
4,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,189,,0.3333333333333333,1,0.6162687886825818,84.45400750006229,0.0,0.22083333333333333,0,0,0,0.0,0,0,0.3544973544973545,0.022260477483904608
5,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,46,,0.3333333333333333,1,0.5820070733863837,87.42490583335136,0.10416666666666667,0.36666666666666664,0,0,0,0.0,0,0,0.2826086956521739,0.020859681719457585
6,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,25,188,1.0,3,0.5435455349248453,111.3868648936427,0.0,0.4148936170212766,0,0,0,0.0,0,0,0.02,0.029038127332784665
7,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,47,126,1.0,3,0.45711759504862953,95.99956904745225,0.0,0.15476190476190477,0,0,0,0.0,0,0,0.4148936170212766,0.023569867586223463
8,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,11,151,1.0,3,0.5373563218390804,108.33190331130099,0.013245033112582781,0.22847682119205298,0,0,0,0.0,0,0,0.0,0.02728164859742002
9,open_water,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,92,175,1.0,3,0.6242263483642794,102.47535999999465,0.0,0.0,0,0,0,0.0,0,0,0.2391304347826087,0.023105525985691197
0,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,147,,0.3333333333333333,1,0.7828947368421053,137.46295333326088,0.0,0.18541666666666667,0,0,0,0.0,0,0,0.3333333333333333,0.027845580673478212
1,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,79,,0.3333333333333333,1,0.6614583333333334,112.51567541669374,0.004166666666666667,0.33125,0,0,0,0.0,0,0,0.23417721518987342,0.03090037472338659
2,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,54,,0.3333333333333333,1,0.8270285087719298,170.11073625006551,0.0,0.0125,0,0,0,0.0,0,0,0.2962962962962963,0.02320949519726686
3,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,108,124,1.0,3,0.5411184210526315,101.95883709672759,0.16129032258064516,0.18951612903225806,0,0,0,0.0,0,0,0.26851851851851855,0.034900170732258935
4,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,144,,0.3333333333333333,1,0.8928179824561403,151.28770000001168,0.004166666666666667,0.06041666666666667,0,0,0,0.0,0,0,0.3298611111111111,0.03995121515289897
5,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,64,,0.6666666666666666,2,0.7650767543859649,148.3849345832899,0.0,0.2791666666666667,0,0,0,0.0,0,0,0.2734375,0.027916904924829674
6,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,90,,0.6666666666666666,2,0.5992324561403509,100.54462041666739,0.0,0.26666666666666666,0,0,0,0.0002976190476190476,0,0,0.2833333333333333,0.03621038587493734
7,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,209,,0.6666666666666666,2,0.924890350877193,156.80152458334456,0.08333333333333333,0.18125,0,0,0,0.0,0,0,0.24880382775119617,0.025410162164115593
8,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,142,220,1.0,3,0.8796600877192983,151.70138818182087,0.0,0.07272727272727272,0,0,0,0.0,0,0,0.2746478873239437,0.02688475775041946
9,harbor_cove,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,11,79,1.0,3,0.4536732456140351,91.51735696190072,0.0,0.06962025316455696,0,0,0,0.0,0,0,0.0,0.03575920714630876
0,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,120,,0.6666666666666666,2,0.6367050575863795,116.4047933333677,0.0,0.42916666666666664,0,0,0,0.00026041666666666666,0,0,0.35833333333333334,0.02317832620422262
1,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,25,,0.6666666666666666,2,0.6166750125187782,223.65825083331097,0.08333333333333333,0.4166666666666667,0,0,0,0.0,0,0,0.24,0.0287397748994706
2,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,17,,0.6666666666666666,2,0.613420130195293,113.59008499997951,0.0125,0.35208333333333336,0,0,0,0.0,0,0,0.14705882352941177,0.03669862395899792
3,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,61,157,1.0,3,0.6249374061091637,123.10722038215596,0.0,0.60828025477707,0,0,0,0.0,0,0,0.26229508196721313,0.024242840624527938
4,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,94,132,1.0,3,0.4752128192288433,101.2771856060984,0.0,0.4696969696969697,0,0,0,0.0,0,0,0.3617021276595745,0.025494932388448167
5,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,201,,0.3333333333333333,1,0.584877315973961,93.2234604165842,0.008333333333333333,0.475,1,1,0,0.0003472222222222222,0,0,0.3383084577114428,0.02452863566041833
6,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,41,154,1.0,3,0.514271407110666,102.8631454545658,0.012987012987012988,0.5,1,1,0,0.003084415584415584,0,0,0.18292682926829268,0.028593998921664195
7,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,138,,0.6666666666666666,2,0.6514772158237356,112.38603124998765,0.0,0.39375,0,0,0,0.0,0,0,0.35507246376811596,0.02404690279510754
8,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,,,0.0,0,0.6459689534301453,136.88909458335274,0.0375,0.3375,0,0,0,0.0,0,0,0.2520833333333333,0.025648877585291285
9,peninsula_passage,two_usv_independent,independent,static,ucb,soft_clearance_astar_v1,reservation_v1,1.0,1.0,76,,0.6666666666666666,2,0.699799699549324,108.11070249998617,0.008333333333333333,0.63125,0,0,0,0.0,0,0,0.3618421052631579,0.02361828788403942
0,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,6,,0.6666666666666666,2,0.7774093722369585,125.64761208334403,0.0,0.6416666666666667,0,0,0,0.0,0,0,0.9166666666666666,0.033481540635734476
1,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,18,77,1.0,3,0.34084880636604775,77.03974545455077,0.0,0.1038961038961039,0,0,0,0.0,0,0,0.0,0.027877702315431904
2,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,165,211,1.0,3,0.6492042440318302,84.5856421801641,0.0,0.36729857819905215,0,0,0,0.0,0,0,0.3303030303030303,0.02195099964561789
3,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,168,,0.6666666666666666,2,0.75552608311229,97.7458658332883,0.008333333333333333,0.11458333333333333,0,0,0,0.0018229166666666667,0,0,0.35119047619047616,0.018313236692451308
4,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,95,,0.3333333333333333,1,0.71131741821397,109.95708958334187,0.0,0.18541666666666667,0,0,0,0.0,0,0,0.37894736842105264,0.02192222329999591
5,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,46,,0.6666666666666666,2,0.5906277630415562,78.33028458328499,0.0125,0.19166666666666668,0,0,0,0.0026041666666666665,0,0,0.2391304347826087,0.020859681719457585
6,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,25,196,1.0,3,0.5647656940760389,81.63876479598838,0.0,0.21683673469387754,0,0,0,0.0,0,0,0.02,0.029038127332784665
7,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,47,108,1.0,3,0.40495137046861185,86.18188888882557,0.046296296296296294,0.26851851851851855,0,0,0,0.0,0,0,0.40425531914893614,0.023569867586223463
8,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,11,119,1.0,3,0.5125994694960212,83.67238823519669,0.01680672268907563,0.08823529411764706,0,0,0,0.0,0,0,0.0,0.02728164859742002
9,open_water,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,80,232,1.0,3,0.6262157382847038,110.01034568969239,0.0,0.0625,0,0,0,0.0,0,0,0.29375,0.023110944700804218
0,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,92,,0.6666666666666666,2,0.8259320175438597,158.16104291662518,0.0,0.008333333333333333,0,0,0,0.0,0,0,0.32065217391304346,0.02825689807689764
1,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,78,,0.3333333333333333,1,0.7478070175438597,119.97249375000744,0.0,0.22083333333333333,0,0,0,0.002591765873015873,0,0,0.30128205128205127,0.02832908353510744
2,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,51,,0.6666666666666666,2,0.7261513157894737,134.35091458331195,0.004166666666666667,0.29375,0,0,0,0.0,0,0,0.29411764705882354,0.022459359667239928
3,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,36,186,1.0,3,0.7234100877192983,103.30347473121438,0.0,0.15053763440860216,0,0,0,0.0,0,0,0.25,0.03467232342538197
4,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,63,152,1.0,3,0.7201206140350878,101.70505657890173,0.0,0.11842105263157894,0,0,0,0.0,0,0,0.2619047619047619,0.03837982507755813
5,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,64,,0.6666666666666666,2,0.7209429824561403,97.85246791666395,0.0125,0.32083333333333336,0,0,0,0.0,0,0,0.34375,0.028246658074558412
6,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,74,,0.3333333333333333,1,0.6773574561403509,121.93853791667,0.029166666666666667,0.4041666666666667,0,0,0,0.0,0,0,0.2702702702702703,0.03788076188633026
7,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,211,,0.6666666666666666,2,0.912828947368421,140.85394833330156,0.06666666666666667,0.19583333333333333,0,0,0,0.0,0,0,0.2725118483412322,0.025489952787662737
8,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,125,,0.6666666666666666,2,0.9054276315789473,152.5507566666647,0.08333333333333333,0.13333333333333333,0,0,0,0.0,0,0,0.248,0.02694361410884043
9,harbor_cove,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,11,79,1.0,3,0.43969298245614036,81.52886075952699,0.0,0.0189873417721519,0,0,0,0.0,0,0,0.0,0.03575920714630876
0,peninsula_passage,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,156,,0.6666666666666666,2,0.5988983475212819,108.95807708325265,0.0125,0.27291666666666664,1,1,0,0.002901785714285714,0,0,0.375,0.021763287998209636
1,peninsula_passage,two_usv_independent,independent,static,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,1.0,1.0,25,,0.6666666666666666,2,0.7481221832749124,142.723058333263,0.0,0.4354166666666667,0,0,0,0.0,0,0,0.22,0.0287397748994706
