assignment_mode,avoidance_group,map_kind,episode_seed,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,known_free_observation_ratio_final,planning_time_ms_mean,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count
coordinated,execution_only,open_water,0,off,off,1.0,1.0,7,207,1.0,0.743368700265252,92.57162463771255,0,0,0,0.0,0,0
coordinated,execution_only,open_water,1,off,off,1.0,1.0,46,,0.6666666666666666,0.6996021220159151,93.91850833332758,0,0,0,0.0,0,0
coordinated,execution_only,open_water,2,off,off,1.0,1.0,145,,0.3333333333333333,0.8852785145888594,92.18014166669566,0,0,0,0.0,0,0
coordinated,execution_only,open_water,3,off,off,1.0,1.0,104,,0.6666666666666666,0.8300176834659593,90.50616416666344,0,0,0,0.0,0,0
coordinated,execution_only,open_water,4,off,off,1.0,1.0,175,,0.3333333333333333,0.6030061892130858,84.76045750000291,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,0,off,off,1.0,1.0,85,172,1.0,0.7351973684210527,81.98316395348843,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,1,off,off,1.0,1.0,99,,0.6666666666666666,0.8475877192982456,90.69121083334342,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,2,off,off,1.0,1.0,51,,0.3333333333333333,0.8662280701754386,77.38893166665169,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,3,off,off,1.0,1.0,12,102,1.0,0.45010964912280704,76.57990588229808,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,4,off,off,1.0,1.0,13,219,1.0,0.7302631578947368,79.14606118721919,0,0,0,0.0,0,0
coordinated,execution_only,peninsula_passage,0,off,off,1.0,1.0,138,,0.3333333333333333,0.7986980470706059,82.35890833335588,0,0,0,0.0,0,0
coordinated,execution_only,peninsula_passage,1,off,off,1.0,1.0,48,,0.6666666666666666,0.7320981472208312,92.16935333336853,0,0,0,0.0,0,0
coordinated,execution_only,peninsula_passage,2,off,off,1.0,1.0,13,136,1.0,0.46870305458187284,86.45976250007232,0,0,0,0.0,0,0
coordinated,execution_only,peninsula_passage,3,off,off,1.0,1.0,79,,0.6666666666666666,0.7498748122183275,92.22229583331227,1,1,0,0.0,0,0
coordinated,execution_only,peninsula_passage,4,off,off,1.0,1.0,94,,0.6666666666666666,0.6291937906860291,77.10118958329986,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,0,soft_clearance_astar_v1,off,1.0,1.0,8,120,1.0,0.5134836427939876,99.71846833329892,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,1,soft_clearance_astar_v1,off,1.0,1.0,37,,0.3333333333333333,0.7617152961980548,122.31848750000533,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,2,soft_clearance_astar_v1,off,1.0,1.0,95,,0.3333333333333333,0.7537577365163572,110.53492500002069,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,3,soft_clearance_astar_v1,off,1.0,1.0,78,,0.3333333333333333,0.8465959328028294,131.34370000001354,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,4,soft_clearance_astar_v1,off,1.0,1.0,190,235,1.0,0.7546419098143236,108.68760425529855,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,0,soft_clearance_astar_v1,off,1.0,1.0,132,157,1.0,0.7475328947368421,102.24389171969288,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,1,soft_clearance_astar_v1,off,1.0,1.0,88,238,1.0,0.9144736842105263,107.72452394955714,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,2,soft_clearance_astar_v1,off,1.0,1.0,50,,0.3333333333333333,0.7680921052631579,115.09821124997946,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,3,soft_clearance_astar_v1,off,1.0,1.0,12,47,1.0,0.29139254385964913,88.98132553202502,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,4,soft_clearance_astar_v1,off,1.0,1.0,13,79,1.0,0.45915570175438597,102.61299367089181,0,0,0,0.0,0,0
coordinated,obstacle_only,peninsula_passage,0,soft_clearance_astar_v1,off,1.0,1.0,90,,0.6666666666666666,0.7481221832749124,142.1697645833433,0,0,0,0.0,0,0
coordinated,obstacle_only,peninsula_passage,1,soft_clearance_astar_v1,off,1.0,1.0,21,,0.6666666666666666,0.7078117175763645,141.0682037499972,0,0,0,0.0,0,0
coordinated,obstacle_only,peninsula_passage,2,soft_clearance_astar_v1,off,1.0,1.0,13,,0.6666666666666666,0.8813219829744617,170.67379583336333,0,0,0,0.0,0,0
coordinated,obstacle_only,peninsula_passage,3,soft_clearance_astar_v1,off,1.0,1.0,192,,0.3333333333333333,0.8532799198798198,166.46857625001226,0,0,0,0.0,0,0
