assignment_mode,avoidance_group,map_kind,episode_seed,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,known_free_observation_ratio_final,planning_time_ms_mean,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count
coordinated,execution_only,open_water,0,off,off,1.0,1.0,7,207,1.0,0.743368700265252,95.80395507247516,0,0,0,0.0,0,0
coordinated,execution_only,open_water,1,off,off,1.0,1.0,46,,0.6666666666666666,0.6996021220159151,93.82027124995223,0,0,0,0.0,0,0
coordinated,execution_only,open_water,2,off,off,1.0,1.0,145,,0.3333333333333333,0.8852785145888594,91.16140500003667,0,0,0,0.0,0,0
coordinated,execution_only,open_water,3,off,off,1.0,1.0,104,,0.6666666666666666,0.8300176834659593,89.84662250001065,0,0,0,0.0,0,0
coordinated,execution_only,open_water,4,off,off,1.0,1.0,175,,0.3333333333333333,0.6030061892130858,79.76705458335876,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,0,off,off,1.0,1.0,85,172,1.0,0.7351973684210527,83.58306860465513,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,1,off,off,1.0,1.0,99,,0.6666666666666666,0.8475877192982456,89.66903416663854,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,2,off,off,1.0,1.0,51,,0.3333333333333333,0.8662280701754386,82.83371375001707,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,3,off,off,1.0,1.0,12,102,1.0,0.45010964912280704,81.4048156862733,0,0,0,0.0,0,0
coordinated,execution_only,harbor_cove,4,off,off,1.0,1.0,13,219,1.0,0.7302631578947368,86.0367187214621,0,0,0,0.0,0,0
coordinated,execution_only,peninsula_passage,0,off,off,1.0,1.0,138,,0.3333333333333333,0.7986980470706059,84.30446875000068,0,0,0,0.0,0,0
coordinated,execution_only,peninsula_passage,1,off,off,1.0,1.0,48,,0.6666666666666666,0.7320981472208312,92.89063499997307,0,0,0,0.0,0,0
coordinated,execution_only,peninsula_passage,2,off,off,1.0,1.0,13,136,1.0,0.46870305458187284,88.65283088237796,0,0,0,0.0,0,0
coordinated,execution_only,peninsula_passage,3,off,off,1.0,1.0,79,,0.6666666666666666,0.7498748122183275,97.50188208332702,1,1,0,0.0,0,0
coordinated,execution_only,peninsula_passage,4,off,off,1.0,1.0,94,,0.6666666666666666,0.6291937906860291,79.6658791666952,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,0,soft_clearance_astar_v1,off,1.0,1.0,8,120,1.0,0.5134836427939876,99.65708083325353,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,1,soft_clearance_astar_v1,off,1.0,1.0,37,,0.3333333333333333,0.7617152961980548,127.40873833335324,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,2,soft_clearance_astar_v1,off,1.0,1.0,95,,0.3333333333333333,0.7537577365163572,114.75972583331213,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,3,soft_clearance_astar_v1,off,1.0,1.0,78,,0.3333333333333333,0.8465959328028294,136.67608875001255,0,0,0,0.0,0,0
coordinated,obstacle_only,open_water,4,soft_clearance_astar_v1,off,1.0,1.0,190,235,1.0,0.7546419098143236,113.37650297871423,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,0,soft_clearance_astar_v1,off,1.0,1.0,132,157,1.0,0.7475328947368421,103.81356050954895,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,1,soft_clearance_astar_v1,off,1.0,1.0,88,238,1.0,0.9144736842105263,112.5795571428851,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,2,soft_clearance_astar_v1,off,1.0,1.0,50,,0.3333333333333333,0.7680921052631579,122.5639491666205,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,3,soft_clearance_astar_v1,off,1.0,1.0,12,47,1.0,0.29139254385964913,93.47659361702291,0,0,0,0.0,0,0
coordinated,obstacle_only,harbor_cove,4,soft_clearance_astar_v1,off,1.0,1.0,13,79,1.0,0.45915570175438597,97.45414936709425,0,0,0,0.0,0,0
coordinated,obstacle_only,peninsula_passage,0,soft_clearance_astar_v1,off,1.0,1.0,90,,0.6666666666666666,0.7481221832749124,141.42429541668284,0,0,0,0.0,0,0
coordinated,obstacle_only,peninsula_passage,1,soft_clearance_astar_v1,off,1.0,1.0,21,,0.6666666666666666,0.7078117175763645,140.2506225000252,0,0,0,0.0,0,0
coordinated,obstacle_only,peninsula_passage,2,soft_clearance_astar_v1,off,1.0,1.0,13,,0.6666666666666666,0.8813219829744617,170.3480016666807,0,0,0,0.0,0,0
coordinated,obstacle_only,peninsula_passage,3,soft_clearance_astar_v1,off,1.0,1.0,192,,0.3333333333333333,0.8532799198798198,166.26768041667978,0,0,0,0.0,0,0
coordinated,obstacle_only,peninsula_passage,4,soft_clearance_astar_v1,off,1.0,1.0,37,,0.3333333333333333,0.7986980470706059,168.18399291664718,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,open_water,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,8,120,1.0,0.5134836427939876,105.64151416661691,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,open_water,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,37,,0.3333333333333333,0.7617152961980548,140.4053195833285,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,open_water,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,95,,0.3333333333333333,0.7537577365163572,123.6255829166339,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,open_water,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,78,,0.3333333333333333,0.8465959328028294,150.7220800000065,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,open_water,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,190,235,1.0,0.7546419098143236,122.6826557446831,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,harbor_cove,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,132,157,1.0,0.7475328947368421,117.24699363064715,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,harbor_cove,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,88,238,1.0,0.9144736842105263,127.52025336136712,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,harbor_cove,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,50,,0.3333333333333333,0.7680921052631579,136.47166916671267,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,harbor_cove,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,12,47,1.0,0.29139254385964913,100.08278297879015,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,harbor_cove,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,13,79,1.0,0.45915570175438597,104.46457594947718,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,90,,0.6666666666666666,0.7481221832749124,196.43272583330145,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,21,,0.6666666666666666,0.7078117175763645,185.66273541663728,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,13,,0.6666666666666666,0.8813219829744617,224.21168833328315,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,192,,0.3333333333333333,0.8532799198798198,244.38309541657569,0,0,0,0.0,0,0
coordinated,full_dual_avoidance_v1,peninsula_passage,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,37,,0.3333333333333333,0.7986980470706059,249.34102708324795,0,0,0,0.0,0,0
independent,execution_only,open_water,0,off,off,1.0,1.0,6,,0.6666666666666666,0.623342175066313,51.82266333335216,0,0,0,0.0,0,0
independent,execution_only,open_water,1,off,off,1.0,1.0,21,,0.6666666666666666,0.6273209549071618,62.90676041671759,0,0,0,0.0,0,0
independent,execution_only,open_water,2,off,off,1.0,1.0,,,0.0,0.5497347480106101,47.87628166664035,0,0,0,0.0,0,0
independent,execution_only,open_water,3,off,off,1.0,1.0,168,,0.3333333333333333,0.5570291777188329,48.97616458329139,0,0,0,0.0,0,0
independent,execution_only,open_water,4,off,off,1.0,1.0,,,0.0,0.6074270557029178,53.45747541662907,0,0,0,0.0,0,0
independent,execution_only,harbor_cove,0,off,off,1.0,1.0,,,0.0,0.778234649122807,58.55957541659033,0,0,0,0.0,0,0
independent,execution_only,harbor_cove,1,off,off,1.0,1.0,76,,0.6666666666666666,0.7439692982456141,56.68795458339749,0,0,0,0.0,0,0
independent,execution_only,harbor_cove,2,off,off,1.0,1.0,53,,0.6666666666666666,0.8610197368421053,55.55904083328187,0,0,0,0.0,0,0
