stage,w_s,w_r,w_e,n_episodes,success_all_found_rate,time_to_all_found_censored_mean,time_to_all_found_censored_std,detection_rate_mean,found_count_mean,time_to_first_detection_censored_mean,known_free_observation_ratio_final_mean,planning_time_ms_mean,path_length_mean,switch_count_mean,anchor_switch_count_mean,rank_overall,is_current_weight
axis_wr,6.5,2.0,-0.35,15,0.6666666666666666,191.53333333333333,54.23143819675898,0.8444444444444444,2.533333333333333,50.2,0.6339104490891939,21.52240003671888,191.2,22.866666666666667,8.133333333333333,1,False
axis_wr,6.5,4.0,-0.35,15,0.6,192.8,53.60124376666397,0.8666666666666667,2.6,51.06666666666667,0.6296515013092694,21.46849725116906,192.4,22.4,7.666666666666667,2,False
axis_ws,4.5,3.0,-0.35,15,0.6,193.86666666666667,49.03721942452375,0.8444444444444444,2.533333333333333,51.06666666666667,0.6105082883288472,20.826245545809776,193.46666666666667,22.533333333333335,7.733333333333333,3,False
axis_wr,6.5,5.0,-0.35,15,0.5333333333333333,191.2,51.11972874210765,0.8222222222222222,2.466666666666667,51.333333333333336,0.588291559402225,20.894949688912977,190.73333333333332,20.866666666666667,7.866666666666666,4,False
axis_we,6.5,3.0,-0.25,15,0.5333333333333333,201.33333333333334,44.56705310228872,0.8222222222222222,2.466666666666667,50.13333333333333,0.6456586327178907,23.14147512758671,200.86666666666667,22.733333333333334,8.666666666666666,5,False
axis_we,6.5,3.0,-0.15,15,0.5333333333333333,201.33333333333334,44.56705310228872,0.8222222222222222,2.466666666666667,50.13333333333333,0.6456586327178907,23.549578189398666,200.86666666666667,22.733333333333334,8.666666666666666,6,False
axis_ws,5.5,3.0,-0.35,15,0.4666666666666667,202.26666666666668,51.232107987949206,0.7999999999999999,2.4,51.06666666666667,0.6360844788358189,21.854253201162035,201.73333333333332,23.933333333333334,8.4,7,False
axis_ws,8.5,3.0,-0.35,15,0.4666666666666667,205.6,42.85914915938797,0.7999999999999999,2.4,50.13333333333333,0.6741608370705572,23.32987566495239,205.06666666666666,23.733333333333334,9.533333333333333,8,False
axis_we,6.5,3.0,-0.55,15,0.4666666666666667,206.46666666666667,43.82520837245259,0.7999999999999999,2.4,50.2,0.652521160104096,23.820872352915707,205.93333333333334,24.466666666666665,9.533333333333333,9,False
axis_we,6.5,3.0,-0.45,15,0.4666666666666667,206.46666666666667,43.82520837245259,0.7999999999999999,2.4,50.2,0.6611688775890228,23.939838085006144,205.93333333333334,24.066666666666666,9.333333333333334,10,False
axis_ws,6.5,3.0,-0.35,15,0.4666666666666667,207.06666666666666,43.28427992803957,0.7999999999999999,2.4,50.2,0.6596118397129244,22.69167449427823,206.53333333333333,23.866666666666667,8.866666666666667,11,True
axis_ws,7.5,3.0,-0.35,15,0.4,208.86666666666667,43.57501832727351,0.7777777777777778,2.3333333333333335,50.13333333333333,0.6570834108070844,22.841154761850145,208.26666666666668,24.2,9.933333333333334,12,False
axis_wr,6.5,1.0,-0.35,15,0.3333333333333333,207.06666666666666,53.03390948775656,0.7333333333333333,2.2,49.8,0.6603874400505262,22.53329343607012,206.4,23.933333333333334,8.066666666666666,13,False
