stage,w_s,w_r,w_e,map_kind,episode_seed,policy_name,target_motion_mode,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count
stage2_ws_wr_grid,4.5,2.0,-0.35,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,60,60,,241,0.6666666666666666,2,0.7844827586206896,26.077823684126518,240,30,10
stage2_ws_wr_grid,4.5,2.0,-0.35,open_water,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,60,60,120,120,1.0,3,0.4809437386569873,19.436857894585334,120,14,6
stage2_ws_wr_grid,4.5,2.0,-0.35,open_water,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,54,54,,241,0.3333333333333333,1,0.7118874773139746,19.743870270561988,240,28,11
stage2_ws_wr_grid,4.5,2.0,-0.35,open_water,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,52,52,,241,0.6666666666666666,2,0.7599818511796733,18.72257027010877,240,29,11
stage2_ws_wr_grid,4.5,2.0,-0.35,open_water,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,37,37,124,124,1.0,3,0.46823956442831216,16.92872631591806,124,15,4
stage2_ws_wr_grid,4.5,2.0,-0.35,harbor_cove,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,57,57,,241,0.6666666666666666,2,0.6407657657657657,17.898211627843285,240,32,8
stage2_ws_wr_grid,4.5,2.0,-0.35,harbor_cove,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,39,39,,241,0.6666666666666666,2,0.7680180180180181,23.320376923108526,240,25,7
stage2_ws_wr_grid,4.5,2.0,-0.35,harbor_cove,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,38,38,175,175,1.0,3,0.6672297297297297,17.397071428344393,175,21,8
stage2_ws_wr_grid,4.5,2.0,-0.35,harbor_cove,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,38,38,,241,0.6666666666666666,2,0.793918918918919,19.331661538905255,240,29,10
stage2_ws_wr_grid,4.5,2.0,-0.35,harbor_cove,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,40,40,102,102,1.0,3,0.46396396396396394,16.465675000517876,102,12,2
stage2_ws_wr_grid,4.5,2.0,-0.35,peninsula_passage,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,70,70,,241,0.6666666666666666,2,0.8020671834625323,30.68466578942638,240,25,8
stage2_ws_wr_grid,4.5,2.0,-0.35,peninsula_passage,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,34,34,171,171,1.0,3,0.6599483204134367,25.47816296296164,171,19,5
stage2_ws_wr_grid,4.5,2.0,-0.35,peninsula_passage,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,58,58,,241,0.6666666666666666,2,0.6005167958656331,25.27050256368313,240,29,10
stage2_ws_wr_grid,4.5,2.0,-0.35,peninsula_passage,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,169,169,,241,0.3333333333333333,1,0.81343669250646,38.85505945947591,240,27,11
stage2_ws_wr_grid,4.5,2.0,-0.35,peninsula_passage,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,34,34,,241,0.6666666666666666,2,0.6356589147286822,26.377046154009758,240,30,9
stage2_ws_wr_grid,4.5,3.0,-0.35,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,72,72,108,108,1.0,3,0.4251361161524501,17.40341176478336,108,13,4
stage2_ws_wr_grid,4.5,3.0,-0.35,open_water,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,61,61,125,125,1.0,3,0.4904718693284936,18.961236841661094,125,15,5
stage2_ws_wr_grid,4.5,3.0,-0.35,open_water,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,54,54,161,161,1.0,3,0.5676043557168784,16.842103846311847,161,22,9
stage2_ws_wr_grid,4.5,3.0,-0.35,open_water,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,52,52,,241,0.6666666666666666,2,0.7599818511796733,19.225762162072037,240,29,11
