stage,w_s,w_r,w_e,map_kind,episode_seed,policy_name,target_motion_mode,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count
stage3_we_axis,6.5,2.0,-0.15,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,60,60,89,89,1.0,3,0.38475499092558985,18.458178571693548,89,11,5
stage3_we_axis,6.5,2.0,-0.15,open_water,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,60,60,120,120,1.0,3,0.4809437386569873,22.307873684200644,120,14,6
stage3_we_axis,6.5,2.0,-0.15,open_water,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,54,54,201,201,1.0,3,0.6361161524500908,19.094050000035168,201,28,13
stage3_we_axis,6.5,2.0,-0.15,open_water,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,52,52,,241,0.3333333333333333,1,0.7155172413793104,19.974231578759685,240,27,8
stage3_we_axis,6.5,2.0,-0.15,open_water,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,37,37,119,119,1.0,3,0.4532667876588022,19.048544444255338,119,14,4
stage3_we_axis,6.5,2.0,-0.15,harbor_cove,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,57,57,191,191,1.0,3,0.5737612612612613,19.257300000147854,191,23,6
stage3_we_axis,6.5,2.0,-0.15,harbor_cove,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,39,39,206,206,1.0,3,0.6807432432432432,19.394427272235397,206,26,8
stage3_we_axis,6.5,2.0,-0.15,harbor_cove,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,38,38,,241,0.6666666666666666,2,0.7978603603603603,21.39320769194269,240,30,10
stage3_we_axis,6.5,2.0,-0.15,harbor_cove,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,38,38,219,219,1.0,3,0.8378378378378378,25.34554411731198,219,25,10
stage3_we_axis,6.5,2.0,-0.15,harbor_cove,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,40,40,100,100,1.0,3,0.4408783783783784,18.10387999988355,100,12,2
stage3_we_axis,6.5,2.0,-0.15,peninsula_passage,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,70,70,,241,0.6666666666666666,2,0.759173126614987,35.33874166623718,240,24,7
stage3_we_axis,6.5,2.0,-0.15,peninsula_passage,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,34,34,,241,0.3333333333333333,1,0.8046511627906977,28.492410810498324,240,28,12
stage3_we_axis,6.5,2.0,-0.15,peninsula_passage,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,58,58,,241,0.6666666666666666,2,0.7855297157622739,30.514944736511865,240,28,10
stage3_we_axis,6.5,2.0,-0.15,peninsula_passage,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,82,82,,241,0.6666666666666666,2,0.6976744186046512,35.58247837861779,240,28,11
stage3_we_axis,6.5,2.0,-0.15,peninsula_passage,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,33,33,,241,0.6666666666666666,2,0.7689922480620155,34.22604054051319,240,27,9
stage3_we_axis,6.5,2.0,-0.25,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,60,60,89,89,1.0,3,0.38475499092558985,19.007507142565114,89,11,5
