episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,49,,0.3333333333333333,1,0.3123342175066313,43.65099199996621,240,0.0026041666666666665,0.0026041666666666665,16.766666666666666,0,0.20408163265306123,0.021756815582512804
1,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,75,,0.6666666666666666,2,0.39655172413793105,50.984048979537,240,0.0026041666666666665,0.0026041666666666665,15.475,0,0.5333333333333333,0.02202751075515344
2,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.30083996463306806,45.00805199995739,240,0.0026041666666666665,0.0026041666666666665,17.183333333333334,0,0.3875,0.020528991107641045
3,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,5,,0.3333333333333333,1,0.3057029177718833,43.656422449017484,240,0.0026041666666666665,0.0026041666666666665,17.425,0,0.0,0.02518044046044339
4,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,26,,0.3333333333333333,1,0.3123342175066313,43.75845800004754,240,0.0026041666666666665,0.0026041666666666665,16.658333333333335,0,0.6153846153846154,0.02175042004632963
5,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3087975243147657,44.9451020000015,240,0.0026041666666666665,0.0026041666666666665,17.025,0,0.31666666666666665,0.01896579972534801
6,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,70,193,1.0,3,0.32051282051282054,50.84026500001073,193,0.003238341968911917,0.003238341968911917,11.295336787564766,0,0.2857142857142857,0.024084110795715128
7,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,75,107,1.0,3,0.21971706454465076,46.37032272739816,107,0.005841121495327103,0.005841121495327103,11.327102803738319,0,0.26666666666666666,0.026399585800608014
8,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,35,,0.6666666666666666,2,0.374447391688771,44.54061836730368,240,0.0026041666666666665,0.0026041666666666665,17.175,0,0.2857142857142857,0.023688645662666936
9,open_water,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3065870910698497,43.941108000053646,240,0.0026041666666666665,0.0026041666666666665,17.895833333333332,0,0.4666666666666667,0.02146574201889255
0,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.4029605263157895,49.97991999993246,240,0.0026041666666666665,0.0026041666666666665,6.525,0,0.3541666666666667,0.02530616828802253
1,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,12,,0.6666666666666666,2,0.4799890350877193,48.928927083257655,240,0.0026041666666666665,0.0026041666666666665,10.083333333333334,0,1.0,0.03808926428643581
2,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.4629934210526316,61.772385999993276,240,0.0026041666666666665,0.0026041666666666665,6.908333333333333,0,0.45,0.023584605791766602
3,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,152,223,1.0,3,0.44024122807017546,41.14466222219764,223,0.002802690582959641,0.002802690582959641,11.753363228699552,0,0.40789473684210525,0.03388296130646218
4,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,116,,0.6666666666666666,2,0.5339912280701754,45.07283750003429,240,0.0026041666666666665,0.0026041666666666665,10.375,0,0.3879310344827586,0.03208915530036955
5,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,15,,0.6666666666666666,2,0.5671600877192983,42.92329166664407,240,0.0026041666666666665,0.0026041666666666665,11.791666666666666,0,0.3333333333333333,0.03480236216415672
6,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,51,161,1.0,3,0.39089912280701755,40.46099090911329,161,0.0038819875776397515,0.0038819875776397515,9.29192546583851,0,0.21568627450980393,0.031403974527111626
7,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,16,,0.3333333333333333,1,0.45997807017543857,53.732944897983174,240,0.0026041666666666665,0.0026041666666666665,9.233333333333333,0,0.0625,0.028272765469355685
8,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,101,,0.3333333333333333,1,0.40515350877192985,48.75355918371423,240,0.0026041666666666665,0.0026041666666666665,7.520833333333333,0,0.3564356435643564,0.027052471730795856
9,harbor_cove,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,12,,0.3333333333333333,1,0.5049342105263158,55.56581020421302,240,0.0026041666666666665,0.0026041666666666665,11.279166666666667,0,0.5833333333333334,0.037404162256651385
0,peninsula_passage,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.2946920380570856,44.388378000003286,240,0.01949404761904762,0.01949404761904762,3.9,0,0.3333333333333333,0.020020323772898502
1,peninsula_passage,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,62,,0.3333333333333333,1,0.2939409113670506,47.51166799986095,240,0.005208333333333333,0.005208333333333333,3.95,0,0.5161290322580645,0.023643899542135027
2,peninsula_passage,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3039559339008513,40.89527647055565,240,0.06232638888888888,0.06232638888888888,3.8875,0,0.5333333333333333,0.024396272356108806
3,peninsula_passage,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,74,,0.3333333333333333,1,0.29669504256384577,40.63634705890567,240,0.0026041666666666665,0.0026041666666666665,4.333333333333333,0,0.32432432432432434,0.023336546884815457
4,peninsula_passage,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,8,,0.6666666666666666,2,0.4241362043064597,43.596140816329616,240,0.0026041666666666665,0.0026041666666666665,5.070833333333334,0,1.0,0.04078767823301963
5,peninsula_passage,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.2774161241862794,48.57632040814363,240,0.0026041666666666665,0.0026041666666666665,3.716666666666667,0,0.35833333333333334,0.023781899962143555
6,peninsula_passage,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,61,,0.6666666666666666,2,0.3047070605908863,46.16807199992763,240,0.006076388888888889,0.006076388888888889,4.233333333333333,0,0.26229508196721313,0.03286606832543595
7,peninsula_passage,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.28217325988983477,40.613646153832846,240,0.0067708333333333336,0.0067708333333333336,3.525,0,0.42083333333333334,0.022576902203067777
8,peninsula_passage,single_usv_infosampled,static,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,28,,0.3333333333333333,1,0.30971457185778667,42.99672600007398,240,0.058854166666666666,0.058854166666666666,3.275,0,0.2857142857142857,0.0258979454101571
