motion,mode,vs,clue,n_pairs,success_all_found_delta_mean,success_all_found_paired_n,found_count_delta_mean,found_count_paired_n,detection_rate_delta_mean,detection_rate_paired_n,time_to_first_detection_delta_mean,time_to_first_detection_paired_n,time_to_all_found_delta_mean,time_to_all_found_paired_n,known_free_observation_ratio_final_delta_mean,known_free_observation_ratio_final_paired_n,planning_time_ms_mean_delta_mean,planning_time_ms_mean_paired_n,path_length_delta_mean,path_length_paired_n,replan_count_delta_mean,replan_count_paired_n,switch_count_delta_mean,switch_count_paired_n,clearance_penalty_raw_mean_delta_mean,clearance_penalty_raw_mean_paired_n,near_obstacle_step_ratio_delta_mean,near_obstacle_step_ratio_paired_n,min_clearance_cells_mean_delta_mean,min_clearance_cells_mean_paired_n,path_invalidations_per_episode_delta_mean,path_invalidations_per_episode_paired_n,search_info_gain_mean_delta_mean,search_info_gain_mean_paired_n,recency_bias_mean_delta_mean,recency_bias_mean_paired_n,candidate_pool_size_mean_delta_mean,candidate_pool_size_mean_paired_n,selected_viewpoint_rank_mean_delta_mean,selected_viewpoint_rank_mean_paired_n,alpha_focus_curve_mean_delta_mean,alpha_focus_curve_mean_paired_n,kappa_commit_curve_mean_delta_mean,kappa_commit_curve_mean_paired_n
static,no_alpha,adaptive,ALL,60,0.03333333333333333,60,0.16666666666666666,60,0.05555555555555556,60,-1.6666666666666667,42,-3.0,1,0.0003011054264921468,60,-0.21865416139197233,60,-0.5166666666666667,60,0.1,60,0.18333333333333332,60,0.0015700763397754594,60,0.0015700763397754594,60,-0.4031264582775845,60,0.0,60,0.24374960453988284,60,-0.01275702822103485,60,0.005092935348966066,60,0.09379602812816981,60,-0.2938297475045398,60,-0.0006684823623189275,60
static,no_alpha,adaptive,ucb,30,0.0,30,0.1,30,0.03333333333333333,30,5.888888888888889,18,-3.0,1,-0.0009450214788110571,30,0.32892742887823423,30,-0.1,30,0.16666666666666666,30,-0.3333333333333333,30,0.003178290969458077,30,0.003178290969458077,30,-0.16883415345244368,30,0.0,30,0.024051250638902625,30,-0.020616658144901538,30,-0.01862328863754333,30,0.12365204718475158,30,-0.28919430376447053,30,0.008066666577062474,30
static,no_alpha,adaptive,anomaly_upper_tail,30,0.06666666666666667,30,0.23333333333333334,30,0.07777777777777778,30,-7.333333333333333,24,,0,0.0015472323317953507,30,-0.7662357516621789,30,-0.9333333333333333,30,0.03333333333333333,30,0.7,30,-3.813828990715784e-05,30,-3.813828990715784e-05,30,-0.6374187631027252,30,0.0,30,0.46344795844086306,30,-0.0048973982971681615,30,0.02880915933547546,30,0.06394000907158803,30,-0.298465191244609,30,-0.009403631301700329,30
static,no_kappa,adaptive,ALL,60,0.1,60,0.26666666666666666,60,0.08888888888888888,60,-6.690476190476191,42,-122.0,1,0.004004953299298768,60,-0.666632507354755,60,-5.983333333333333,60,10.166666666666666,60,10.416666666666666,60,-0.0016904478240749464,60,-0.0016904478240749464,60,-0.12048036870474552,60,0.0,60,2.9185640355741937,60,-0.07897217980709459,60,-0.1313019779736798,60,-0.2120445020383598,60,-0.011673874759766934,60,-0.4385971019082921,60
static,no_kappa,adaptive,ucb,30,0.1,30,0.3,30,0.1,30,-0.8947368421052632,19,-122.0,1,-0.0008101040061185348,30,-0.9905451942152019,30,-8.833333333333334,30,9.566666666666666,30,9.833333333333334,30,0.0015588347571025242,30,0.0015588347571025242,30,-0.026078756313786148,30,0.0,30,2.9971452415359514,30,-0.1521841591938969,30,-0.234971449866192,30,-0.2634283804500874,30,-0.012412099091313076,30,-0.4436545793168964,30
static,no_kappa,adaptive,anomaly_upper_tail,30,0.1,30,0.23333333333333334,30,0.07777777777777778,30,-11.478260869565217,23,,0,0.008820010604716072,30,-0.34271982049430794,30,-3.1333333333333333,30,10.766666666666667,30,11.0,30,-0.004939730405252417,30,-0.004939730405252417,30,-0.2148819810957049,30,0.0,30,2.8399828296124365,30,-0.005760200420292268,30,-0.027632506081167563,30,-0.16066062362663225,30,-0.010935650428220792,30,-0.4335396244996878,30
static,no_alpha_kappa,adaptive,ALL,60,0.08333333333333333,60,0.18333333333333332,60,0.061111111111111116,60,-1.0232558139534884,43,,0,-0.006984245257152718,60,-1.6254903440718895,60,-1.7,60,11.016666666666667,60,10.583333333333334,60,-0.0018660227090551921,60,-0.0018660227090551921,60,-0.13219463619672067,60,0.0,60,0.5929862002102091,60,0.17132700824751473,60,-0.1676881094513125,60,-0.1783896374653407,60,-0.2938297475045398,60,-0.4385971019082921,60
static,no_alpha_kappa,adaptive,ucb,30,0.0,30,0.1,30,0.03333333333333333,30,5.4,20,,0,-0.010698164466071036,30,-1.6959698773750105,30,-1.1333333333333333,30,11.133333333333333,30,10.166666666666666,30,0.0008897049446994856,30,0.0008897049446994856,30,0.28722987347441487,30,0.0,30,-0.027108995016433112,30,0.14930186543240093,30,-0.32855865040297244,30,-0.19875838113723088,30,-0.28919430376447053,30,-0.4436545793168964,30
static,no_alpha_kappa,adaptive,anomaly_upper_tail,30,0.16666666666666666,30,0.26666666666666666,30,0.08888888888888889,30,-6.608695652173913,23,,0,-0.003270326048234401,30,-1.5550108107687683,30,-2.2666666666666666,30,10.9,30,11.0,30,-0.00462175036280987,30,-0.00462175036280987,30,-0.5516191458678563,30,0.0,30,1.2130813954368511,30,0.19335215106262849,30,-0.006817568499652538,30,-0.15802089379345052,30,-0.298465191244609,30,-0.4335396244996878,30
random_walk,no_alpha,adaptive,ALL,60,0.0,60,-0.05,60,-0.016666666666666666,60,-0.5,48,-12.0,2,-0.006927747424299307,60,0.719217841135989,60,-0.3,60,0.08333333333333333,60,0.06666666666666667,60,-0.0008815991187393039,60,-0.0008815991187393039,60,0.12405652763895736,60,0.0,60,-0.8649175549755322,60,0.19829902313536601,60,0.034687923441175765,60,0.01748675675022985,60,-0.3215318523985674,60,1.065748797256701e-06,60
random_walk,no_alpha,adaptive,ucb,30,0.0,30,-0.2,30,-0.06666666666666667,30,-0.9565217391304348,23,-12.0,2,-0.010122331170177327,30,1.0355768526930111,30,-2.566666666666667,30,-0.3333333333333333,30,-0.3,30,0.00030817340590390523,30,0.00030817340590390523,30,0.07914055016410532,30,0.0,30,-0.6277209843924244,30,0.15371580732620455,30,0.09305602913493587,30,-0.02775631012988893,30,-0.3239903734563939,30,0.00042421691669026205,30
