motion,mode,vs,clue,map_kind,n_pairs,success_all_found_delta_mean,success_all_found_paired_n,found_count_delta_mean,found_count_paired_n,detection_rate_delta_mean,detection_rate_paired_n,time_to_first_detection_delta_mean,time_to_first_detection_paired_n,time_to_all_found_delta_mean,time_to_all_found_paired_n,known_free_observation_ratio_final_delta_mean,known_free_observation_ratio_final_paired_n,planning_time_ms_mean_delta_mean,planning_time_ms_mean_paired_n,path_length_delta_mean,path_length_paired_n,replan_count_delta_mean,replan_count_paired_n,switch_count_delta_mean,switch_count_paired_n,clearance_penalty_raw_mean_delta_mean,clearance_penalty_raw_mean_paired_n,near_obstacle_step_ratio_delta_mean,near_obstacle_step_ratio_paired_n,min_clearance_cells_mean_delta_mean,min_clearance_cells_mean_paired_n,path_invalidations_per_episode_delta_mean,path_invalidations_per_episode_paired_n,search_info_gain_mean_delta_mean,search_info_gain_mean_paired_n,recency_bias_mean_delta_mean,recency_bias_mean_paired_n,candidate_pool_size_mean_delta_mean,candidate_pool_size_mean_paired_n,selected_viewpoint_rank_mean_delta_mean,selected_viewpoint_rank_mean_paired_n
random_walk,no_alpha,adaptive,ucb,open_water,10,0.1,10,0.1,10,0.03333333333333334,10,-4.666666666666667,9,,0,-0.010344827586206907,10,1.6620260766462613,10,-10.6,10,-1.7,10,-1.2,10,0.0002060012437810945,10,0.0002060012437810945,10,-0.6168781094527362,10,0.0,10,1.3430429334631413,10,-0.08419013483364776,10,0.21262548569673073,10,-0.0038125714409411593,10
random_walk,no_alpha,adaptive,ucb,harbor_cove,10,-0.1,10,-0.5,10,-0.16666666666666669,10,2.857142857142857,7,-12.0,1,-0.01869517543859649,10,0.16379026613707737,10,1.7,10,0.4,10,0.1,10,-1.47746300070323e-05,10,-1.47746300070323e-05,10,0.9685334328414703,10,0.0,10,-2.639921866172331,10,0.37727737192682215,10,-0.07508970955658789,10,-0.052647704419482896,10
random_walk,no_alpha,adaptive,ucb,peninsula_passage,10,0.0,10,-0.2,10,-0.06666666666666667,10,0.0,7,-12.0,1,-0.0013269904857285825,10,1.2809142152956945,10,1.2,10,0.3,10,0.2,10,0.0007332936039376535,10,0.0007332936039376535,10,-0.11423367289641803,10,0.0,10,-0.5862840204680836,10,0.16806018488543922,10,0.14163231126466477,10,-0.026808654529242727,10
random_walk,no_alpha,adaptive,anomaly_upper_tail,open_water,10,0.1,10,0.3,10,0.1,10,13.333333333333334,9,,0,-0.011383731211317421,10,-2.020853945110533,10,-3.3,10,0.1,10,1.0,10,4.15157004830918e-05,10,4.15157004830918e-05,10,0.6686292270531402,10,0.0,10,-0.5619166013058596,10,0.11765188832552889,10,-0.1908052561670978,10,0.11374202137360037,10
random_walk,no_alpha,adaptive,anomaly_upper_tail,harbor_cove,10,0.0,10,-0.1,10,-0.03333333333333333,10,-15.125,8,,0,-0.005098684210526311,10,0.5564284897341949,10,0.0,10,0.1,10,0.5,10,0.0006770833333333334,10,0.0006770833333333334,10,-0.05125000000000002,10,0.0,10,-0.525484729846108,10,0.23030953338095625,10,-0.0483212970055078,10,-0.01235060971903077,10
random_walk,no_alpha,adaptive,anomaly_upper_tail,peninsula_passage,10,-0.1,10,0.1,10,0.033333333333333326,10,-0.125,8,,0,0.005282924386579868,10,2.6730019441132384,10,9.2,10,1.3,10,-0.2,10,-0.006932713963963964,10,-0.006932713963963964,10,-0.11046171171171189,10,0.0,10,-2.2189410455239527,10,0.38068529512709726,10,0.16808600641485255,10,0.08679805923647628,10
random_walk,no_kappa,adaptive,ucb,open_water,10,0.0,10,-0.2,10,-0.06666666666666667,10,0.4444444444444444,9,,0,0.033465959328028295,10,3.7526948521880783,10,0.0,10,11.3,10,11.1,10,0.0,10,0.0,10,-1.215833333333333,10,0.0,10,5.67568150045453,10,-0.32297495630346207,10,-0.19151488453386456,10,-0.24851169698969078,10
random_walk,no_kappa,adaptive,ucb,harbor_cove,10,-0.2,10,-0.5,10,-0.16666666666666669,10,6.714285714285714,7,,0,0.010279605263157899,10,-0.4311498794974682,10,7.4,10,14.0,10,14.1,10,-0.0005125546846518411,10,-0.0005125546846518411,10,0.8485949082513068,10,0.0,10,-0.03929642902601245,10,0.27253669477139786,10,-0.24585006770648618,10,-0.2757478085673536,10
random_walk,no_kappa,adaptive,ucb,peninsula_passage,10,-0.1,10,-0.1,10,-0.03333333333333334,10,19.25,8,19.0,1,0.025338007010515785,10,0.5931082660440495,10,6.8,10,13.4,10,15.0,10,-0.00452692170963623,10,-0.00452692170963623,10,0.4967558355148343,10,0.0,10,1.9137493077158267,10,0.13414892087219568,10,0.1509234262427551,10,-0.22330195201203615,10
random_walk,no_kappa,adaptive,anomaly_upper_tail,open_water,10,0.0,10,0.0,10,0.0,10,0.875,8,,0,0.002541998231653403,10,-0.14143193260182158,10,0.0,10,11.4,10,12.8,10,0.0,10,0.0,10,0.07708333333333357,10,0.0,10,1.3562100732151827,10,0.07020503539621245,10,-0.16239076554865975,10,-0.09991886644142282,10
random_walk,no_kappa,adaptive,anomaly_upper_tail,harbor_cove,10,0.0,10,0.1,10,0.03333333333333333,10,-9.857142857142858,7,,0,-0.013623903508771934,10,-1.4648276570036984,10,0.0,10,12.4,10,12.9,10,0.0006076388888888889,10,0.0006076388888888889,10,-0.3758333333333333,10,0.0,10,-0.5947584121392595,10,0.27515478957454437,10,-0.13602951208203323,10,-0.19666951759731505,10
random_walk,no_kappa,adaptive,anomaly_upper_tail,peninsula_passage,10,-0.1,10,0.2,10,0.06666666666666665,10,4.0,6,,0,0.010065097646469696,10,-2.8609589826748154,10,9.2,10,14.2,10,13.9,10,-0.01656813063063063,10,-0.01656813063063063,10,0.3216216216216214,10,0.0,10,-1.0919131822104062,10,0.44211961327396054,10,0.007895432556101057,10,-0.2986473429642333,10
random_walk,no_alpha_kappa,adaptive,ucb,open_water,10,0.1,10,0.1,10,0.03333333333333334,10,-3.875,8,,0,-0.00121573828470381,10,1.2632130762333282,10,-5.5,10,10.4,10,10.1,10,7.742117117117121e-05,10,7.742117117117121e-05,10,-0.7530180180180179,10,0.0,10,2.58982684214877,10,0.019513924791179103,10,-0.05152274443458218,10,-0.3310523754232263,10
random_walk,no_alpha_kappa,adaptive,ucb,harbor_cove,10,-0.2,10,-0.3,10,-0.1,10,1.25,8,,0,-0.012938596491228072,10,-3.505121623136161,10,7.4,10,14.0,10,13.6,10,-0.0005125546846518411,10,-0.0005125546846518411,10,0.7677615749179733,10,0.0,10,-1.9830984442953856,10,0.5661683148704446,10,0.02789322961244132,10,-0.3482477085273376,10
random_walk,no_alpha_kappa,adaptive,ucb,peninsula_passage,10,-0.2,10,-0.5,10,-0.16666666666666669,10,-16.571428571428573,7,,0,0.020530796194291434,10,-3.423428016760988,10,18.0,10,15.8,10,15.8,10,0.008995213707030438,10,0.008995213707030438,10,0.2187870855148344,10,0.0,10,-1.7332507959348447,10,0.32347862843968056,10,0.0814196324175331,10,-0.14714208806645782,10
random_walk,no_alpha_kappa,adaptive,anomaly_upper_tail,open_water,10,0.3,10,0.4,10,0.13333333333333336,10,3.6666666666666665,9,,0,-0.0353448275862069,10,-0.8602869372679727,10,-18.2,10,7.6,10,10.4,10,0.0003125000000000001,10,0.0003125000000000001,10,0.7346474358974362,10,0.0,10,0.4814611616867701,10,0.23458189008521205,10,-0.08229738194198788,10,-0.061605220569637395,10
random_walk,no_alpha_kappa,adaptive,anomaly_upper_tail,harbor_cove,10,0.0,10,0.1,10,0.03333333333333333,10,3.625,8,,0,-0.025740131578947383,10,-2.4094670432428567,10,0.0,10,12.3,10,13.5,10,0.0,10,0.0,10,-0.2250000000000001,10,0.0,10,-1.7916653371565048,10,0.33628185466322547,10,-0.20473489423489433,10,-0.17081297498026826,10
random_walk,no_alpha_kappa,adaptive,anomaly_upper_tail,peninsula_passage,10,0.0,10,0.5,10,0.16666666666666666,10,-4.875,8,,0,-0.05220330495743617,10,-3.6309185277129643,10,-2.9,10,11.6,10,10.1,10,-0.01890750387993035,10,-0.01890750387993035,10,0.0741776440305851,10,0.0,10,-4.804423094869553,10,0.8439888275542066,10,0.08578658901868615,10,-0.3747102681343014,10
