episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,41,,0.3333333333333333,1,0.34858532272325377,38.54973421051143,240,0.0026041666666666665,0.0026041666666666665,15.425,0,0.2926829268292683,0.022475905208455948
1,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,119,,0.6666666666666666,2,0.4336870026525199,46.975962162267365,240,0.0026041666666666665,0.0026041666666666665,14.904166666666667,0,0.3949579831932773,0.021759854902558683
2,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,224,,0.3333333333333333,1,0.3737842617152962,44.47581351357528,240,0.0026041666666666665,0.0026041666666666665,16.995833333333334,0,0.3482142857142857,0.020572819269212297
3,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,7,,0.3333333333333333,1,0.42108753315649866,47.859547222085695,240,0.0026041666666666665,0.0026041666666666665,12.779166666666667,0,0.2857142857142857,0.030926583029110017
4,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,23,,0.6666666666666666,2,0.4374447391688771,43.56233888893257,240,0.0026041666666666665,0.0026041666666666665,14.283333333333333,0,0.6521739130434783,0.020168976652487836
5,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,164,,0.6666666666666666,2,0.47413793103448276,44.97956000024195,240,0.0026041666666666665,0.0026041666666666665,11.2,0,0.4329268292682927,0.02294887296229619
6,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,93,,0.6666666666666666,2,0.38417329796640143,39.45492894739513,240,0.0026041666666666665,0.0026041666666666665,15.845833333333333,0,0.25806451612903225,0.026158186549572533
7,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,67,,0.6666666666666666,2,0.39235190097259065,41.984843589559134,240,0.0026041666666666665,0.0026041666666666665,13.416666666666666,0,0.11940298507462686,0.02406348364489367
8,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,44,,0.3333333333333333,1,0.3253757736516357,41.11102439008658,240,0.0026041666666666665,0.0026041666666666665,14.820833333333333,0,0.1590909090909091,0.02447699541461381
9,open_water,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,200,,0.3333333333333333,1,0.3271441202475685,43.267836842221044,240,0.0026041666666666665,0.0026041666666666665,13.941666666666666,0,0.345,0.0206746984647131
0,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.45614035087719296,59.04026486510899,240,0.0026041666666666665,0.0026041666666666665,6.2875,0,0.23333333333333334,0.019933629262692917
1,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,7,,0.6666666666666666,2,0.5233004385964912,53.28723513510438,240,0.0026041666666666665,0.0026041666666666665,7.995833333333334,0,1.0,0.040687227814261956
2,harbor_cove,single_usv_infosampled,random_walk,ucb,adaptive,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,74,,0.6666666666666666,2,0.4536732456140351,48.55635135145103,240,0.0067708333333333336,0.0067708333333333336,5.866666666666666,0,0.4594594594594595,0.023704614620800132
