episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,41,,0.3333333333333333,1,0.34858532272325377,37.994665789531275,240,0.0026041666666666665,0.0026041666666666665,15.425,0,0.2926829268292683,0.022475905208455948
1,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,148,,0.6666666666666666,2,0.40406719717064543,47.07296842111406,240,0.0026041666666666665,0.0026041666666666665,14.108333333333333,0,0.4797297297297297,0.021861968989519715
2,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3132183908045977,44.89342972974063,240,0.0026041666666666665,0.0026041666666666665,16.504166666666666,0,0.32083333333333336,0.0200135318038251
3,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,7,,0.6666666666666666,2,0.40738284703801947,42.248794444478534,240,0.0026041666666666665,0.0026041666666666665,12.229166666666666,0,0.2857142857142857,0.030926583029110017
4,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,23,,0.6666666666666666,2,0.4416445623342175,45.09932162177024,240,0.0026041666666666665,0.0026041666666666665,10.683333333333334,0,0.6521739130434783,0.020168976652487836
5,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,132,,0.6666666666666666,2,0.47679045092838196,48.90041052648915,240,0.0026041666666666665,0.0026041666666666665,11.3,0,0.6363636363636364,0.021866350579874544
6,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,93,,0.6666666666666666,2,0.41379310344827586,44.72117297307311,240,0.0026041666666666665,0.0026041666666666665,14.6375,0,0.25806451612903225,0.02613993754776083
7,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,67,134,1.0,3,0.25,49.80204000012236,134,0.0046641791044776115,0.0046641791044776115,11.58955223880597,0,0.11940298507462686,0.02406348364489367
8,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,44,,0.3333333333333333,1,0.3211759504862953,43.20311999999831,240,0.0026041666666666665,0.0026041666666666665,15.2625,0,0.1590909090909091,0.02447699541461381
9,open_water,single_usv_infosampled,random_walk,ucb,no_alpha,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,161,,0.3333333333333333,1,0.4376657824933687,44.90592702702113,240,0.0026041666666666665,0.0026041666666666665,15.704166666666667,0,0.5900621118012422,0.021337466522665858
