episode_seed,map_kind,system_name,target_motion_mode,clue_acquisition_mode,planner_adaptation_mode,policy_name,path_safety_mode,safe_nav_lambda_clearance,time_to_first_detection,time_to_all_found,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean,path_invalidations_per_episode,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
0,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,42,,0.3333333333333333,1,0.39854111405835546,41.74378163250886,240,0.0026041666666666665,0.0026041666666666665,13.341666666666667,0,0.23809523809523808,0.02280576298405632
1,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,117,,0.3333333333333333,1,0.46463306808134397,66.53898333348707,240,0.0026041666666666665,0.0026041666666666665,11.9375,0,0.5726495726495726,0.02553065467536318
2,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.3532272325375774,45.469927999856736,240,0.0026041666666666665,0.0026041666666666665,17.104166666666668,0,0.4041666666666667,0.02003998786462202
3,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,7,,0.6666666666666666,2,0.4566755083996463,43.59380208325092,240,0.0026041666666666665,0.0026041666666666665,13.166666666666666,0,0.2857142857142857,0.030926583029110017
4,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,23,,0.6666666666666666,2,0.4290450928381963,46.209377551015365,240,0.0026041666666666665,0.0026041666666666665,12.095833333333333,0,0.5652173913043478,0.020168976652487836
5,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,185,,0.3333333333333333,1,0.4396551724137931,51.53325102044767,240,0.0026041666666666665,0.0026041666666666665,13.316666666666666,0,0.4594594594594595,0.020950341189502755
6,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,85,,0.6666666666666666,2,0.48143236074270557,40.20611874970351,240,0.0026041666666666665,0.0026041666666666665,14.1875,0,0.35294117647058826,0.02785656865444135
7,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,74,,0.3333333333333333,1,0.43147656940760387,44.19237959195832,240,0.0026041666666666665,0.0026041666666666665,11.4125,0,0.25675675675675674,0.025998342937707256
8,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,36,,0.6666666666666666,2,0.39389920424403185,47.92296122446269,240,0.0026041666666666665,0.0026041666666666665,9.8375,0,0.3055555555555556,0.02297065980909343
9,open_water,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,193,,0.3333333333333333,1,0.40384615384615385,42.33795510206582,240,0.0026041666666666665,0.0026041666666666665,15.054166666666667,0,0.45595854922279794,0.02149316749975554
0,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.4706688596491228,54.09735918373353,240,0.0026041666666666665,0.0026041666666666665,7.3875,0,0.2708333333333333,0.023100100379247743
1,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,7,,0.3333333333333333,1,0.4662828947368421,53.15216600018175,240,0.0026041666666666665,0.0026041666666666665,8.55,0,1.0,0.040687227814261956
2,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,74,,0.6666666666666666,2,0.45093201754385964,45.67305200002011,240,0.0026041666666666665,0.0026041666666666665,8.816666666666666,0,0.25675675675675674,0.023876385988357184
3,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,111,,0.3333333333333333,1,0.45394736842105265,48.21067000011681,240,0.0026041666666666665,0.0026041666666666665,8.116666666666667,0,0.36036036036036034,0.03019252021977647
4,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,76,,0.6666666666666666,2,0.5424890350877193,49.40110204091868,240,0.0026041666666666665,0.0026041666666666665,10.679166666666667,0,0.34210526315789475,0.040203519619495774
5,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,30,,0.3333333333333333,1,0.4786184210526316,54.01166875011162,240,0.0026041666666666665,0.0026041666666666665,7.3125,0,0.3333333333333333,0.03592442464528096
6,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.5197368421052632,49.85191632658825,240,0.0026041666666666665,0.0026041666666666665,8.3125,0,0.3333333333333333,0.024685922356026666
7,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,15,,0.3333333333333333,1,0.5148026315789473,50.396760416523044,240,0.0026041666666666665,0.0026041666666666665,7.791666666666667,0,0.3333333333333333,0.028087609397531896
8,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.5079495614035088,62.102797916471296,240,0.0026041666666666665,0.0026041666666666665,9.583333333333334,0,0.2916666666666667,0.02345998521353548
9,harbor_cove,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,11,,0.6666666666666666,2,0.44956140350877194,41.72056078427619,240,0.0026041666666666665,0.0026041666666666665,7.416666666666667,0,0.5454545454545454,0.031810665432798486
0,peninsula_passage,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,,,0.0,0,0.49949924887331,63.0537354165881,240,0.0026041666666666665,0.0026041666666666665,4.958333333333333,0,0.20833333333333334,0.025202307825187738
1,peninsula_passage,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,61,,0.3333333333333333,1,0.45968953430145215,71.73488749977726,240,0.0026041666666666665,0.0026041666666666665,4.833333333333333,0,0.5081967213114754,0.02482114116457052
2,peninsula_passage,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,99,,0.6666666666666666,2,0.4489233850776164,50.30718163266565,240,0.0026041666666666665,0.0026041666666666665,5.383333333333334,0,0.29292929292929293,0.021821256672066615
3,peninsula_passage,single_usv_infosampled,random_walk,ucb,no_kappa,marine_knownmap_path_v2_infosampled,soft_clearance_astar_v1,1.0,174,,0.3333333333333333,1,0.44767150726089133,67.05398541672973,240,0.0026041666666666665,0.0026041666666666665,5.666666666666667,0,0.13793103448275862,0.023584449687552547
